Payment Date, Description ,Gross Amount, Supplier Name ,Procurement Method
14-Dec-23,Victim Support Grant,"£125,595.00",RASA Centre Ltd,Local Contract - Quotation/Tender
14-Dec-23,Safer Streets Fund,"£71,133.00",Knowsley MBC,Grant
14-Dec-23,Victim Support Grant,"£60,237.00",Rape & Sexual Abuse Support Centre,Local Contract - Quotation/Tender
14-Dec-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
07-Dec-23,Victim Support Grant,"£45,000.00",Liverpool City Council,Grant
07-Dec-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
14-Dec-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
14-Dec-23,Victim Support Grant,"£42,000.00",The First Step Ltd,Grant
14-Dec-23,payment for services,"£41,892.00",Knowsley MBC,Grant
14-Dec-23,Victim Support Grant,"£35,500.00",Sefton Women's & Children's Aid (SWACA),Grant
14-Dec-23,Victim Support Grant,"£29,000.00",Chrysalis Centre for Change,Grant
14-Dec-23,Victim Support Grant,"£25,500.00",Health Energy Advice Team Ltd (H.E.A.T),Grant
21-Dec-23,Victim Support Grant,"£25,000.00",South Liverpool Domestic Abuse Services.,Grant
14-Dec-23,Victim Support Grant,"£19,000.00",Amadudu Women's Refuge,Grant
07-Dec-23,Community Safety Fund,"£16,308.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
14-Dec-23,Victim Support Grant,"£15,500.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
21-Dec-23,Victim Support Grant,"£14,500.00",Savera UK,Grant
21-Dec-23,Victim Support Grant,"£9,000.00",WEB Merseyside,Grant
07-Dec-23,H/W Purchases,"£3,497.94",Dell Corporation Limited,Considered Best Value
21-Dec-23,General Subscriptions,£900.00,Glow New Media Ltd,Considered Best Value
