Payment Date, Description ,Gross Amount, Supplier Name ,Procurement Method
16-Nov-23,Community Safety Fund,"£405,868.34",Liverpool City Council,Grant
16-Nov-23,Community Safety Fund,"£190,525.00",Wirral MBC,Grant
16-Nov-23,Community Safety Fund,"£167,000.00",Sefton M B C (General Payments),Grant
16-Nov-23,Community Safety Fund,"£130,739.45",Knowsley MBC,Grant
23-Nov-23,Immediate Justice Pilots Specific Grant,"£98,395.03",Causeway Charitable Services,Local Contract - Quotation/Tender
02-Nov-23,Victim Support Grant,"£87,800.00",Liverpool City Council,Grant
30-Nov-23,Victim Support Grant,"£68,523.25",Knowsley MBC,Grant
23-Nov-23,Safer Streets Fund,"£61,776.40",Liverpool City Council,Grant
16-Nov-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
16-Nov-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
09-Nov-23,Payment for Services,"£53,350.00",Community Foundation for Lancashire and Merseyside (High Sheriff Tst),Considered Best Value
09-Nov-23,DA Perpetrator Fund,"£52,487.22",Causeway Charitable Services,Local Contract - Quotation/Tender
16-Nov-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
02-Nov-23,Immediate Justice Pilots Specific Grant,"£43,040.84",Causeway Charitable Services,Local Contract - Quotation/Tender
16-Nov-23,Community Safety Fund,"£41,463.87",St Helens MBC,Grant
16-Nov-23,Safer Streets Fund,"£40,993.25",Liverpool City Council,Grant
02-Nov-23,Victim Support Grant,"£36,000.00",Restorative Solutions CIC,Grant
02-Nov-23,Victim Support Grant,"£30,000.00",Tomorrow`s Women Wirral,Grant
16-Nov-23,Community Safety Fund,"£29,287.38",Positive Futures North Liverpool Limited,Grant
02-Nov-23,Victim Support Grant,"£26,000.00",The Anthony Walker Foundation,Grant
02-Nov-23,Victim Support Grant,"£15,349.00",The Paul Lavelle Foundation,Grant
16-Nov-23,Victim Support Grant,"£13,778.00",Families Fighting for Justice,Grant
02-Nov-23,Victim Support Grant,"£13,500.00",Citizens Advice Liverpool,Grant
02-Nov-23,Victim Support Grant,"£10,000.00",Stop Hate UK,Grant
23-Nov-23,Community Safety Fund,"£6,500.00",Everton in the Community,Grant
02-Nov-23,Safer Streets Fund,"£2,107.20",Socialike Media Ltd t/a Springboard,Grant
02-Nov-23,Payment for Services,"£1,000.00",Fazakerley Community Federation,Grant
16-Nov-23,Payment for Services,"£1,000.00",Fairhaven Residents Association,Grant
23-Nov-23,General Subscriptions,£540.00,Glow New Media Ltd,Considered Best Value
