Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,03-Jan-23,51500838283,"-£503,757.82",Npower Ltd,Environment & Property,Head of Service - Highways,Electricity
Milton Keynes City Council,03-Jan-23,51500836485,£513.48,5 Paper Buildings,Environment & Property,Head of Service - Env and Waste,External Legal Fees
Milton Keynes City Council,03-Jan-23,51500840770,£520.00,Redacted Personal Data,Env & Prop (HRA),HRA Asset Management and Investment,Other Service User Support
Milton Keynes City Council,03-Jan-23,51500831360,£524.28,Teaching Personnel Ltd,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500831835,£528.00,Zaynah Carpets & Furniture Limited,Children's Services,Children's Social Work,"Fixtures, Fittings and Furnishings"
Milton Keynes City Council,03-Jan-23,51500836226,£540.00,PDR Roofing Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jan-23,51500831831,£550.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jan-23,51500832338,£568.80,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jan-23,51500831594,£572.28,Tough Furniture Ltd,Children's Services,Corporate Parenting,Furniture
Milton Keynes City Council,03-Jan-23,51500831600,£577.61,CCS Media Limited,Finance & Resources - Services,ICT,Computer hardware - purchase
Milton Keynes City Council,03-Jan-23,51500832052,£599.62,National World Publishing Limited,Environment & Property,Head of Service - Env and Waste,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,03-Jan-23,51500832366,£636.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,03-Jan-23,51500835800,£645.00,5 Paper Buildings,Environment & Property,Head of Service - Env and Waste,External Legal Fees
Milton Keynes City Council,03-Jan-23,51500831785,£645.12,Phoenix Software Ltd,Finance & Resources - Services,ICT,Computer software - annual licence agreement
Milton Keynes City Council,03-Jan-23,51500840779,£648.22,Redacted Personal Data,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,03-Jan-23,51500831970,£652.68,Amegreen Complex Homecare Ltd,Children's Services,Children's Social Work,Day Care
Milton Keynes City Council,03-Jan-23,51500840663,£655.41,Ashe Construction Limited,Adult Services,Homeless Prevention + Access,Building alterations
Milton Keynes City Council,03-Jan-23,51500828835,£681.60,Shaw & Sons Limited,Law & Governance,Democratic Services,Equipment and Tools
Milton Keynes City Council,03-Jan-23,51500835270,£708.46,BFS Group Limited T/a Bidvest 3663,Adult Services,Sheltered Housing and Care and Response,Catering Provisions
Milton Keynes City Council,03-Jan-23,51500831445,£736.92,Broughton Fields  School,Children's Services,Children's Centres Services,Specialist Servicing and Maintenance
Milton Keynes City Council,03-Jan-23,51500836225,£756.00,PDR Roofing Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,03-Jan-23,51500828898,£756.00,Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500831364,£780.00,Kirkby Diamond LLP,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500835230,£787.50,"G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jan-23,51500829371,£801.36,"G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jan-23,51500831015,£806.40,Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500829300,£810.00,Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500840523,£858.00,Milton Keynes Christian Centre,Children's Services,Corporate Parenting,Childcare Costs
Milton Keynes City Council,03-Jan-23,51500835253,£861.86,Tickford Park Primary School,Children's Services,Children's Centres Services,Electricity
Milton Keynes City Council,03-Jan-23,51500840782,£898.80,Redacted Personal Data,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,03-Jan-23,51500832367,£993.60,Abbott Toxicology Ltd,Children's Services,Children's Social Work,Day Care
Milton Keynes City Council,03-Jan-23,51500840681,"£1,008.00",Fields of Dreams,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,03-Jan-23,51500832404,"£1,035.00",Peacock Counselling Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500832417,"£1,120.00",Petite Ponies,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,03-Jan-23,51500831611,"£1,120.00",Family Futures CIC,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500831969,"£1,212.40",Amegreen Complex Homecare Ltd,Children's Services,Children's Social Work,Rehabilitation And Respite Care
Milton Keynes City Council,03-Jan-23,51500831569,"£1,221.00",Carrington West Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500840821,"£1,248.00",Leelin Ltd,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,03-Jan-23,51500840649,"£1,276.80",DWF LLP,Finance & Resources - Services,Insurance,Insurance Claims Paid
Milton Keynes City Council,03-Jan-23,51500831820,"£1,293.60",Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500840828,"£1,365.90",Samantha Knight T/A Affinity Lettings - maint. Amb Hse & Qway,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,03-Jan-23,51500831383,"£1,420.80",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jan-23,51500832377,"£1,428.57",Grand Union Housing Group,Adult Services,Learning Disability,Rents and Leases
Milton Keynes City Council,03-Jan-23,51500831380,"£1,465.20",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jan-23,51500831382,"£1,487.88",The Oyster Partnership Ltd,Customer and Community Services,Community Safety,Recruitment Costs
Milton Keynes City Council,03-Jan-23,51500831617,"£1,509.98",Deekay Technical Recruitment Ltd,Environment & Property,Head of Service - Highways,Agency Staff
Milton Keynes City Council,03-Jan-23,51500831377,"£1,512.00",The Oyster Partnership Ltd,Customer and Community Services,Community Safety,Recruitment Costs
Milton Keynes City Council,03-Jan-23,51500829301,"£1,528.80",Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500835231,"£1,530.00","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,03-Jan-23,51500831804,"£1,651.13",Millbrook Healthcare Ltd,Adult Services,Commissioning & Contracts,Building Repair and Maintenance
Milton Keynes City Council,03-Jan-23,51500840776,"£1,691.26",Flynn Lettings,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,03-Jan-23,51500840334,"£1,762.66",Build Recruitment,Env & Prop (HRA),HRA Asset Management and Investment,Agency Staff
Milton Keynes City Council,03-Jan-23,51500828901,"£1,764.00",Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,03-Jan-23,51500840773,"£1,779.00",Hayworth & Travis Lettings Limited,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,03-Jan-23,51500831568,"£1,813.75",Carrington West Ltd,Environment & Property,Head of Service - Highways,Agency Staff
