Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,02-Apr-24,51501063743,"-£1,735.14","""Hornbeam CPAM Ltd re Wildview Ltd Re 39 Farthing Grove, Netherfield""",Environment & Property,Head of Service - Property,Service Charges
Milton Keynes City Council,02-Apr-24,51501057684,£858.00,"""Hornbeam CPAM Ltd re Wildview Ltd Re 39 Farthing Grove, Netherfield""",Environment & Property,Head of Service - Property,Service Charges
Milton Keynes City Council,02-Apr-24,51501063749,"£1,735.14","""Hornbeam CPAM Ltd re Wildview Ltd Re 39 Farthing Grove, Netherfield""",Environment & Property,Head of Service - Property,Service Charges
Milton Keynes City Council,02-Apr-24,51501061348,"£24,268.35",16 to 21 Project Limited t/a Muswell Hill Children's Home,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Apr-24,51501073350,"£1,926.25",3R Finance t/a Leaders in Care Recruitment Limited,Adult Services,Mental Health,Agency Staff
Milton Keynes City Council,02-Apr-24,51501064733,"£4,932.00",Abovo-Consult (a trading name of Abovo Business Services Ltd),Finance & Resources (HRA),Finance - Housing (HRA),Consultancy
Milton Keynes City Council,02-Apr-24,51501069519,"£184,993.60",Access UK Limited t/a Adam,Children's Services,"Access to Education, Employment and Training",Home to School - Contract
Milton Keynes City Council,02-Apr-24,51501073069,"£4,768.92",Acorn @ Mulberry Bear,Children's Services,Early Years Block,Grants
Milton Keynes City Council,02-Apr-24,51501073416,"£11,237.60",Acorn @ Mulberry Bear,Children's Services,Early Years Block,Grants
Milton Keynes City Council,02-Apr-24,51501061681,"£22,024.64",AECOM,Environment & Property,Bridge Programme,Construction - External Professional Fees
Milton Keynes City Council,02-Apr-24,51501068462,"£1,584.00",Algeco UK Ltd,Customer and Community Services,Leisure & Community,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061793,£994.61,Anglian Water Services Limited,Customer and Community Services,Head of Service - Regulatory,Testing
Milton Keynes City Council,02-Apr-24,51501062153,"£6,000.00",Animal Antiks Education Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073105,"£13,512.00",Anspear Ltd,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073522,"£2,430.20",Arriva The Shires Limited,Environment & Property,Head of Service - Highways and Transport,Public Transport Fares
Milton Keynes City Council,02-Apr-24,51501073456,"£25,246.00",Arriva The Shires Limited,Environment & Property,Head of Service - Highways and Transport,Public Transport Fares
Milton Keynes City Council,02-Apr-24,51501073496,"£169,325.47",Arriva The Shires Limited,Environment & Property,Head of Service - Highways and Transport,Concessions - payments to transport operators
Milton Keynes City Council,02-Apr-24,51501073021,"£638,601.26",Ashe Construction Limited,Children and Families,"Education, Effectiveness & Participation","New Construction, Conversion and Renovation"
Milton Keynes City Council,02-Apr-24,51501069594,"£2,584.60",AVC Wise Ltd,Finance & Resources - Corporate Codes,Corporate Codes,Non Staff expenses
Milton Keynes City Council,02-Apr-24,51501061751,"£1,296.00",Baily Garner LLP,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,02-Apr-24,51501061678,"£4,362.18",Baily Garner LLP,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,02-Apr-24,51501063737,"£6,869.42",Bedford Borough Council,Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501068456,"£6,896.64",Bedford Borough Council,Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501063742,"£74,312.60",Bedford Borough Council,Public Health,Weight Management,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501067987,"£142,594.27",Bedford Borough Council,Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501069529,"£23,284.80",Bloom Procurement Services Limited,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501064902,"£7,200.00",Brightly Software Limited,Environment & Property,Head of Service - Highways and Transport,Computer software - annual licence agreement
Milton Keynes City Council,02-Apr-24,51501073326,"£1,456.44",Browne Jacobson LLP,Env & Prop (HRA),HRA Asset Management and Investment,External Legal Fees
Milton Keynes City Council,02-Apr-24,51501073303,"£1,638.96",Browne Jacobson LLP,Env & Prop (HRA),HRA Asset Management and Investment,External Legal Fees
Milton Keynes City Council,02-Apr-24,51501064760,£522.22,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501064714,£564.19,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501064759,£569.48,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501061875,£699.60,Build Recruitment,Env & Prop (HRA),HRA Asset Management and Investment,Agency Staff
Milton Keynes City Council,02-Apr-24,51501073191,£750.00,Cambridge Centre for Attachment Ltd,Children's Services,Safeguarding,Staff Training & Development
Milton Keynes City Council,02-Apr-24,51501065074,"£2,100.00",CAN Digital Solutions Limited,Adult Services,Commissioning & Contracts,Other Service User Support
Milton Keynes City Council,02-Apr-24,51501061993,"£37,642.85",Care2rise Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Apr-24,51501062280,"£4,245.76",Caretech Childers Services t/a Fostering Support Group Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Apr-24,51501062278,"£4,245.76",Caretech Childers Services t/a Fostering Support Group Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Apr-24,51501062279,"£7,351.34",Caretech Childers Services t/a Fostering Support Group Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,02-Apr-24,51501061716,"£1,788.91",Carrington West Ltd,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,02-Apr-24,51501073512,"£2,246.40",Carter Brown The Expert Service Ltd,Children's Services,Assistant Director - Children and Families,Testing
Milton Keynes City Council,02-Apr-24,51501073511,"£3,549.00",Carter Brown The Expert Service Ltd,Children's Services,Assistant Director - Children and Families,Testing
Milton Keynes City Council,02-Apr-24,51501061700,"£3,066.67",Central & North West London NHS Foundation Trust,Adult Services,Autism,Health Authority and NHS Trust Payments
Milton Keynes City Council,02-Apr-24,51501061685,"£3,649.20",Central & North West London NHS Foundation Trust,Adult Services,Director - Adult Services,Health Authority and NHS Trust Payments
Milton Keynes City Council,02-Apr-24,51501061695,"£6,978.00",Central & North West London NHS Foundation Trust,Adult Services,Commissioning & Contracts,Health Authority and NHS Trust Payments
Milton Keynes City Council,02-Apr-24,51501064248,"£15,125.00",Central & North West London NHS Foundation Trust,Adult Services,Commissioning & Contracts,Day Care
Milton Keynes City Council,02-Apr-24,51501061703,"£41,156.00",Central & North West London NHS Foundation Trust,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061702,"£64,208.00",Central & North West London NHS Foundation Trust,Public Health,0-19 Children’s Public Health,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061699,"£129,000.00",Central & North West London NHS Foundation Trust,Public Health,Substance Misuse,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061705,"£132,783.63",Central & North West London NHS Foundation Trust,Adult Services,Learning Disability,Health Authority and NHS Trust Payments
Milton Keynes City Council,02-Apr-24,51501061696,"£330,647.08",Central & North West London NHS Foundation Trust,Public Health,0-19 Children’s Public Health,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073188,-£594.00,Centrecom Limited,Customer and Community Services,Head of Service - Regulatory,Casual hire of facilities
Milton Keynes City Council,02-Apr-24,51501073187,£594.00,Centrecom Limited,Customer and Community Services,Head of Service - Regulatory,Casual hire of facilities
Milton Keynes City Council,02-Apr-24,51501073104,£688.99,Redacted Personal Data,Children's Services,Assistant Director - Children and Families,Testing
Milton Keynes City Council,02-Apr-24,51501073301,"£10,556.40",Civica Election Services Limited,Law & Governance,Democratic Services,Printing
Milton Keynes City Council,02-Apr-24,51501061245,£604.80,Clearguard Ltd,Customer and Community Services,Facilities Management,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061371,"£4,670.40",Clearguard Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501073236,"£4,774.08",Cornerstone Trading (Milton Keynes) Limited,Children's Services,"Access to Education, Employment and Training",Casual hire of facilities
Milton Keynes City Council,02-Apr-24,51501066781,£600.00,Creative Therapy Options Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501064762,"£1,450.00",Creative Therapy Options Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501064763,"£1,900.00",Creative Therapy Options Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501064761,"£1,900.00",Creative Therapy Options Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073110,£720.00,Redacted Personal Data,Law & Governance,Legal,Consultancy
Milton Keynes City Council,02-Apr-24,51501061585,"£1,914.44",Deekay Technical Recruitment Ltd,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,02-Apr-24,51501061995,"£16,473.60",Direct Teaching & Training Solutions (A part of Supply & Demand Consultancy LTD.),Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073442,£639.60,DNA Legal Limited,Children's Services,Assistant Director - Children and Families,Testing
Milton Keynes City Council,02-Apr-24,51501068271,£985.92,E.Novation UK LTD,Adult Services,Community Alarm & Sheltered Housing,Computer hardware - maintenance
Milton Keynes City Council,02-Apr-24,51501061775,£658.80,Eastern Shires Purchasing Organisation,Children's Services,Children's Centres Services,Catering Provisions
Milton Keynes City Council,02-Apr-24,51501061399,"£1,050.00",Edge Training & Consultancy Ltd,Adult Services,"Group Head, Adult Services",Staff Training & Development
Milton Keynes City Council,02-Apr-24,51501073218,£720.00,Redacted Personal Data,Law & Governance,Legal,Consultancy
Milton Keynes City Council,02-Apr-24,51501073401,£610.00,Fenny Stratford Residents Association,Public Health,Misc Public Health Services,Grants
Milton Keynes City Council,02-Apr-24,51501073116,"£3,708.00",Five Paper Fees Account,Adult Services (HRA),Housing Operations (HRA),External Legal Fees
Milton Keynes City Council,02-Apr-24,51501061908,"£6,437.02",Fountains Direct Limited,Customer and Community Services,Head of Service - Regulatory,Specialist Supplies and Materials
Milton Keynes City Council,02-Apr-24,51501061296,"£2,115.83",G&D Higgins Mechanical Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501061294,"£2,402.92",G&D Higgins Mechanical Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501061332,"£1,332.00","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,02-Apr-24,51501073209,£713.60,Geldards LLP,Adult Social Care and Health,Social Care,Acquisition of Land
Milton Keynes City Council,02-Apr-24,51501073011,"£11,811.15",Getfix Ltd,Children and Families,"Education, Effectiveness & Participation",Buildings - Mechanical and Electrical
Milton Keynes City Council,02-Apr-24,51501073007,"£76,638.94",Getfix Ltd,Children and Families,"Education, Effectiveness & Participation",Buildings - Mechanical and Electrical
Milton Keynes City Council,02-Apr-24,51501073386,£995.28,Golden Living Property Consultants Ltd,Adult Services,Physical Disability,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501061379,"£6,348.00",HEM DES LLP,Deputy Chief Executive,Deputy Chief Executive,Consultancy
Milton Keynes City Council,02-Apr-24,51501069659,"£9,149.11",Humly Milton Keynes Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501069658,"£9,303.34",Humly Milton Keynes Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501073515,"£1,056.00",Institute Of Revenues Rating & Valuation (IRRV),Finance & Resources - Services,Revenues and Benefits Service,Staff Training & Development
Milton Keynes City Council,02-Apr-24,51501073376,£527.86,JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501073374,£691.21,JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501073436,£717.60,JCW Energy Services Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501061985,£523.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,02-Apr-24,51501073304,£900.00,Redacted Personal Data,Law & Governance,Legal,Consultancy
Milton Keynes City Council,02-Apr-24,51501069797,"£22,625.86",Kirkby Diamond LLP,Environment & Property,Head of Service - Property,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501061285,"£2,123.50",Konica Minolta Business Solutions (UK) Ltd,Children's Services,"Access to Education, Employment and Training",Photocopier
Milton Keynes City Council,02-Apr-24,51501062208,"£7,200.00",KPMG,Finance & Resources - Services,Chief Internal Auditor,Accounting and Audit Fees
Milton Keynes City Council,02-Apr-24,51501069310,"£2,910.00",Lambert Smith Hampton,Environment & Property,Waste,Buildings - Externals
Milton Keynes City Council,02-Apr-24,51501073113,"£4,984.80",Lamont & Associates Ltd,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,02-Apr-24,51501069314,"£2,986.20",Local Partnerships LLP,Customer and Community Services,Head of Service - Regulatory,Consultancy
Milton Keynes City Council,02-Apr-24,51501069317,"£67,670.75",Local Partnerships LLP,Customer and Community Services,Head of Service - Regulatory,Consultancy
Milton Keynes City Council,02-Apr-24,51501061577,"£5,000.00",London Borough of Tower Hamlets,Finance & Resources - Services,Revenues and Benefits Service,External Legal Fees
Milton Keynes City Council,02-Apr-24,51501061669,£698.17,Matchtech,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061673,"£1,508.10",Matchtech,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061670,"£1,598.40",Matchtech,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,02-Apr-24,51501061672,"£1,723.68",Matchtech,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501061675,"£2,505.05",Matchtech,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,02-Apr-24,51501061671,"£2,936.41",Matchtech,Environment & Property,Major Schemes,Public Realm
Milton Keynes City Council,02-Apr-24,51501064555,"£1,421.02",Merebrook Infant School,Children's Services,Children's Centres Services,Electricity
Milton Keynes City Council,02-Apr-24,51501061894,"£1,809.83",Milton Keynes Development Partnership,Adult Services,Housing Operations (GF),Rents and Leases
Milton Keynes City Council,02-Apr-24,51501061893,"£5,036.06",Milton Keynes Development Partnership,Adult Services,Housing Operations (GF),Rents and Leases
Milton Keynes City Council,02-Apr-24,51501061595,"£331,689.67",Milton Keynes Parks Trust Ltd T/a The Parks Trust,Corporate Codes,Planning Obligations,Expenditure on Grants
Milton Keynes City Council,02-Apr-24,51501069698,"£1,725.25",Milton Keynes Womens Aid MKWA,Adult Services,Physical Disability,Rents and Leases
Milton Keynes City Council,02-Apr-24,51501073390,"£4,536.00",MKA1 TAXI LTD,Adult Services,Learning Disability,Social Care Transport
Milton Keynes City Council,02-Apr-24,51501073389,£533.02,Motion Picture Licensing Company Limited,Children's Services,Social Work - CWD & FAST,External Legal Fees
Milton Keynes City Council,02-Apr-24,51501062028,£842.18,National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Apr-24,51501062027,"£2,526.55",National World Publishing Limited,Finance & Resources - Services,Revenues and Benefits Service,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Apr-24,51501061933,£600.00,NEC Software Solutions UK Ltd,Finance & Resources - Services,Revenues and Benefits Service,Consultancy
Milton Keynes City Council,02-Apr-24,51501073123,£699.12,New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501073117,£757.38,New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501073121,£873.90,New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501073119,"£1,106.94",New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501073120,"£1,165.20",New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501073122,"£1,281.72",New Bradwell School,Children's Services,"Access to Education, Employment and Training",Vehicle Running Costs
Milton Keynes City Council,02-Apr-24,51501072993,"£473,439.52",Npower Ltd,Environment & Property,Head of Service - Highways and Transport,Electricity
Milton Keynes City Council,02-Apr-24,51501066786,"£3,540.00",Oxford Diocesan Board of Education,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Apr-24,51501064317,"£1,954.99",PMG Landscapes,Adult Services,Provider Services,Landscaping
Milton Keynes City Council,02-Apr-24,51501062006,"£3,528.00",PMG Landscapes,Adult Services,Provider Services,Landscaping
Milton Keynes City Council,02-Apr-24,51501073221,"£10,000.00",Post Office Ltd,Finance & Resources - Services,Lead Authority Shared Services,Miscellaneous Control Accounts
Milton Keynes City Council,02-Apr-24,51501061763,£599.35,Powerful Voices Ltd,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,02-Apr-24,51501061898,"£1,178.40",Premier Paper Group Ltd T/a Premier Beswick Northampton,Finance & Resources - Services,ICT,Printing
Milton Keynes City Council,02-Apr-24,51501061772,£831.17,Prentis Solutions Limited,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,02-Apr-24,51501073262,"£2,458.24",Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,02-Apr-24,51501073246,"£2,466.70",Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,02-Apr-24,51501073256,"£2,458.24",Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,02-Apr-24,51501073263,£712.95,Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,02-Apr-24,51501073247,"£2,466.70",Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,02-Apr-24,51501073061,"£6,754.95",Redacted Personal Data,Adult Services (HRA),Housing Operations (HRA),Other Service User Support
Milton Keynes City Council,02-Apr-24,51501040560,-£773.33,Redacted Personal Data,Children's Services,Early Years Block,Grants
