Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,01-Feb-23,51500854637,"-£41,202.98",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,01-Feb-23,65500005812,"-£9,807.13",0,Finance & Resources - Holding Accounts,Holding Accounts,Collection Fund Refunds
Milton Keynes City Council,01-Feb-23,65500005811,"-£1,146.69",0,Finance & Resources - Holding Accounts,Holding Accounts,Collection Fund Refunds
Milton Keynes City Council,01-Feb-23,51500856136,-£871.15,Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Feb-23,51500854439,£560.00,Lord Grey Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854245,£563.00,Redacted Personal Data,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - other
Milton Keynes City Council,01-Feb-23,51500848261,£583.20,Redacted Personal Data,Law & Governance,Legal,Testing
Milton Keynes City Council,01-Feb-23,51500854434,£606.00,Inspiring futures through Learning t/as Rickley Park Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854435,£606.00,Inspiring futures through Learning t/as Rickley Park Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854524,£608.40,Endura Ltd,Planning and Placemaking,Transport Projects,Clothing / Uniform
Milton Keynes City Council,01-Feb-23,51500854215,£672.75,Kingdom Coffee,Children's Services,"Access to Education, Employment and Training",Catering Provisions
Milton Keynes City Council,01-Feb-23,51500854411,£702.78,Loughton School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854216,£708.47,Kingdom Coffee,Children's Services,"Access to Education, Employment and Training",Catering Provisions
Milton Keynes City Council,01-Feb-23,51500854505,£770.00,Golden Living Property Consultants Ltd,Children's Services,Children's Social Work,Grants and Support for other Service Users
Milton Keynes City Council,01-Feb-23,51500854433,£825.00,DSLV E-act Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854446,£852.04,CMAT t/a Sharnbrook Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500853480,£858.00,Milton Keynes Christian Centre,Children's Services,Corporate Parenting,Childcare Costs
Milton Keynes City Council,01-Feb-23,51500843732,£867.28,Millbrook Healthcare Ltd,Adult Services,Commissioning & Contracts,Building Repair and Maintenance
Milton Keynes City Council,01-Feb-23,51500854432,£868.54,CMAT t/a Sharnbrook Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,65500005837,£871.15,Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Feb-23,51500854419,£880.00,Ousedale School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854235,£890.40,Academy21 Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854417,£900.00,5 Dimensions Trust t/a The Hazeley Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854428,£900.00,White Spire (Special) School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854445,£900.00,St Mary Magdalene Catholic Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854440,£900.00,Rugby Free Primary School - Learning Today Leading Tomorrow,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854444,£900.00,5 Dimensions Trust t/a Shenley Brook End School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854430,£900.00,Denbigh High School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854437,£900.00,Romans Field School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854415,£900.00,Broughton Fields  School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854442,£900.00,Whitehouse Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854447,£900.00,5 Dimensions Trust t/a Shenley Brook End School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854418,£900.00,"Ryhill Junior, Infant and Nursery School (Wakefield Council)",Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854429,£900.00,The Premier Academy Limited,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854438,£900.00,Broughton Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,01-Feb-23,51500854449,£900.00,Sir Thomas Fremantle School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
