Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,02-Dec-24,65500006933,-£858.00,Hornbeam CPAM Ltd re Wildview Ltd,Environment & Property,Assistant Director Property,Service Charges
Milton Keynes City Council,02-Dec-24,51501203460,£502.96,People Potential Possibilities T/A P3,Adult Services,Rough Sleeper,Other Service User Support
Milton Keynes City Council,02-Dec-24,51501188579,£505.15,Churchill Contract Services Limited,Environment & Property,Assistant Director Property,Building Cleaning
Milton Keynes City Council,02-Dec-24,51501191013,£506.02,JCW Energy Services Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,02-Dec-24,51501190945,£525.78,Post Office Limited,Finance & Resources - Services,Lead Authority Shared Services,Professional Fees and Hired Services
Milton Keynes City Council,02-Dec-24,51501203533,£534.26,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,02-Dec-24,51501196290,£540.00,Vertecol Ltd,Customer and Community Services,Head of Service - Regulatory,Landscaping
Milton Keynes City Council,02-Dec-24,51501184538,£556.80,Hawthorn Education Services Ltd,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,02-Dec-24,51501198331,£560.00,Transformations Fitness,Children's Services,High Needs Block,SEN Funding
Milton Keynes City Council,02-Dec-24,51501203546,£563.28,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,02-Dec-24,51501191655,£591.59,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Dec-24,51501190924,£599.40,Room44 Ltd,Environment & Property,Assistant Director Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Dec-24,51501191001,£602.50,Clearguard Ltd,Customer and Community Services,Facilities Management,Professional Fees and Hired Services
Milton Keynes City Council,02-Dec-24,51501196211,£675.60,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Dec-24,51501203527,£693.99,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
Milton Keynes City Council,02-Dec-24,51501203461,£703.30,Cansford Laboratories Limited,Children's Services,Assistant Director - Children and Families,Testing
Milton Keynes City Council,02-Dec-24,51501196234,£720.00,DAAC LTD,Children's Services,Corporate Parenting,Support and Grants to Foster Carers
Milton Keynes City Council,02-Dec-24,51501191625,£742.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Dec-24,51501203365,£758.68,Redacted Personal Data,Children's Services,High Needs Block,SEN Funding
Milton Keynes City Council,02-Dec-24,51501196199,£770.16,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Dec-24,51501191624,£812.40,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Dec-24,51501189039,£834.00,Road Data Services Ltd,Planning and Placemaking,Infrastructure,Public Realm
Milton Keynes City Council,02-Dec-24,51501190985,£837.00,Heathlands School,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,02-Dec-24,51501203545,£847.18,Marston Group Limited,Finance & Resources - Services,Revenues and Benefits Service,Debt Recovery
