Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,12-Jul-24,51501129083,"£3,000.00",Janes Care Homes Ltd T/A The White House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501129372,"£3,032.04",Eastview Healthcare Services Limited C/O Bibby Factors Leicester Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129154,"£3,032.04",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129421,"£3,215.80",Sarmey Healthcare Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129453,"£3,215.80",Ashlotrimcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129179,"£3,224.99",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129092,"£3,264.04",Resicare Homes Limited t/a Ashton Lodge,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501129090,"£3,278.57",GB Care Ltd t/a Oasis House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501116085,"£3,288.00",WEL Medical Ltd,Adult Services,Supported Housing for Older People,Specialist Equipment For Service Delivery
Milton Keynes City Council,12-Jul-24,51501128741,"£3,348.49",Npower Ltd,Environment & Property,Assistant Director Highways and Transport,Electricity
Milton Keynes City Council,12-Jul-24,51501129455,"£3,353.62",Ashlotrimcare Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501123216,"£3,377.40",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129087,"£3,400.00",GB Care Ltd t/a Oasis House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501123217,"£3,424.20",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501124928,"£3,470.83",Access UK Limited t/a Adam,Adult Services,Autism,Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501129155,"£3,491.44",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129048,"£3,565.80",St Christopher Homes Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129007,"£3,572.40",Diverse Educators,Chief Executive,Chief Executive,Staff Training & Development
Milton Keynes City Council,12-Jul-24,51501128744,"£3,678.49",Npower Ltd,Environment & Property,Assistant Director Property,Electricity
Milton Keynes City Council,12-Jul-24,51501123219,"£3,681.60",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501128047,"£3,696.00",Eastern Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501128683,"£3,791.02",Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,12-Jul-24,51501128836,"£3,800.00",Redacted Personal Data,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129509,"£3,858.96",Superior Homecare Services Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129385,"£3,858.96",HAVILAH CARE LTD,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501128027,"£3,879.00",Family First Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129094,"£3,917.88",Central England Healthcare Limited,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,12-Jul-24,51501124295,"£3,960.00",Coram Chambers,Law & Governance,Legal,Consultancy
Milton Keynes City Council,12-Jul-24,51501129081,"£4,000.00",Janes Care Homes Ltd T/A The White House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501121955,"£4,183.14",Fostering Connections Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129084,"£4,200.00",Janes Care Homes Ltd T/A The White House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501127935,"£4,213.93",Flourish Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501127932,"£4,213.93",Flourish Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129080,"£4,263.20",Bedfordshire Supported Housing Limited,Adult Services,Mental Health,Residential Care
Milton Keynes City Council,12-Jul-24,51501123215,"£4,369.00",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501127933,"£4,435.71",Flourish Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129470,"£4,502.12",EJC Group Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,12-Jul-24,51501129078,"£4,525.16",The Red House Nursing Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,12-Jul-24,51501129091,"£4,570.88",Contemplation Homes Ltd,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,12-Jul-24,51501129516,"£4,594.00",Superior Homecare Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129449,"£4,823.70",Ashlotrimcare Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501128735,"£4,943.09",Npower Ltd,Environment & Property,Assistant Director Environment and Waste,Electricity
Milton Keynes City Council,12-Jul-24,51501129156,"£4,961.52",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501128738,"£4,966.21",Npower Ltd,Children's Services,"Access to Education, Employment and Training",Electricity
Milton Keynes City Council,12-Jul-24,51501128734,"£5,153.05",Npower Ltd,Customer and Community Services,Head of Service - Regulatory,Electricity
Milton Keynes City Council,12-Jul-24,51501129160,"£5,168.25",One Hermitage,Adult Services,Learning Disability,Living support grants
