Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,04/05/2023,157.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,04/05/2023,182.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,04/05/2023,104.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,04/05/2023,210.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,22/05/2023,187.25
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,16/05/2023,160.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,16/05/2023,160.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Telford Taxi Hire Limited,15/05/2023,120.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,18/05/2023,142.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,12/05/2023,503.60
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,12/05/2023,623.06
Adult Social Care,"Assurance, Transformation & Financial Management",Employees,Staff Training,escalla,31/05/2023,"2,560.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Interpreters Fees,EXPRESS INTERPRETING & TRANSLATION,22/05/2023,"1,993.69"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,31/05/2023,"90,000.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,30/05/2023,"11,499.44"
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Private Contractors,POHWER,22/05/2023,"19,312.50"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),POHWER,31/05/2023,"2,500.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,18/05/2023,142.00
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Legal Expenses,WEIGHTMANS,31/05/2023,290.00
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Legal Expenses,WEIGHTMANS,05/05/2023,232.00
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Legal Expenses,WEIGHTMANS,05/05/2023,449.50
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Legal Expenses,WEIGHTMANS,05/05/2023,362.50
