Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,04/12/2023,728.03
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,04/12/2023,312.40
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,04/12/2023,180.00
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,04/12/2023,220.20
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,04/12/2023,"1,087.50"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Vehicle Parts,AEM GROUP LTD,19/12/2023,414.50
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Refreshments Meetings,AFC Telford Holdings Limited,21/12/2023,978.50
Policy & Governance,Governance & Legal Services,Premises-Related Expenditure,Hire Of Rooms,AFC Telford Holdings Limited,14/12/2023,375.00
Policy & Governance,Governance & Legal Services,Premises-Related Expenditure,Hire Of Rooms,AFC Telford Holdings Limited,14/12/2023,350.00
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,06/12/2023,"20,471.50"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,06/12/2023,"15,463.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,08/12/2023,"56,693.00"
Education & Skills,Skills,Supplies & Services,Exam Fees,AIM Qualifications and Assessment Group,05/12/2023,542.50
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Telecomms,Airband Community Internet,04/12/2023,295.00
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Telecomms,Airband Community Internet,04/12/2023,295.00
Prosperity & Investment,Development Management,Capital Expenditure,Payments to Contractor,AJB CONTRACTING LTD,22/12/2023,"10,000.00"
Prosperity & Investment,Development Management,Capital Expenditure,Payments to Contractor,AJB CONTRACTING LTD,11/12/2023,"5,500.00"
Prosperity & Investment,Development Management,Capital Expenditure,Payments to Contractor,AJB CONTRACTING LTD,11/12/2023,550.00
Prosperity & Investment,Development Management,Capital Expenditure,Payments to Contractor,AJB CONTRACTING LTD,11/12/2023,"2,250.00"
Prosperity & Investment,Development Management,Capital Expenditure,Payments to Contractor,AJB CONTRACTING LTD,11/12/2023,"9,850.00"
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Artistes Fees,ALAN CLAYTON CONCERTS LTD,05/12/2023,"9,574.76"
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,R&M -Building Other,ALBRO DOOR SYSTEMS LTD,08/12/2023,"3,794.00"
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,R&M -Building Other,ALBRO DOOR SYSTEMS LTD,14/12/2023,"12,309.00"
"Housing, Employment & Infrastructure",Inward Investment & Business Support,Supplies & Services,Other Services,Alcium Software Ltd,11/12/2023,250.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,13/12/2023,255.78
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Fuel,ALLSTAR BUSINESS SOLUTIONS LTD,12/12/2023,"9,104.04"
Children´s Safeguarding & Family Support,Child Protection & Family Support,Supplies & Services,Other Services,ALPHA BIOLABORATORIES LIMITED,29/12/2023,420.00
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Artistes Fees,Amande Concerts Ltd,05/12/2023,"7,156.40"
Neighbourhood & Enforcement Services,"Highways, Engineering & Project Delivery",Supplies & Services,Consultancy,Amey OW Ltd,13/12/2023,902.77
Neighbourhood & Enforcement Services,"Highways, Engineering & Project Delivery",Capital Expenditure,Payments to Contractor,Amey OW Ltd,13/12/2023,"4,219.22"
Neighbourhood & Enforcement Services,Waste & Neighbourhood Services,Premises-Related Expenditure,Grounds Maintenance - Other,Amey OW Ltd,12/12/2023,537.31
Prosperity & Investment,BiT,Premises-Related Expenditure,Solid Fuel,AMP CLEAN ENERGY,04/12/2023,"2,935.25"
"Housing, Employment & Infrastructure","Housing, Employment & Infrastructure",Capital Expenditure,Payments to Contractor,REDACTED PERSONAL INFORMATION,08/12/2023,"2,960.00"
"Communities, Customer & Commercial Services",Community Services,Supplies & Services,Grants To Voluntary Organis,Anstice Community Trust,18/12/2023,"1,500.00"
"Housing, Employment & Infrastructure",Inward Investment & Business Support,Supplies & Services,Other Services,ANTA Education Ltd,20/12/2023,"1,620.00"
"Housing, Employment & Infrastructure",Inward Investment & Business Support,Supplies & Services,Other Services,ANTA Education Ltd,20/12/2023,"2,400.00"
Prosperity & Investment,Regeneration & Investment,Supplies & Services,Consultancy,Anthony Collins Solicitors ,07/12/2023,750.00
"Communities, Customer & Commercial Services",Customer Relationships & Welfare Services,Supplies & Services,Permit Production - Blue Badge,APS Group,04/12/2023,941.60
"Communities, Customer & Commercial Services",Customer Relationships & Welfare Services,Supplies & Services,Permit Production - Blue Badge,APS Group,11/12/2023,"1,215.57"
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Sub Contractors,APT SKIDATA LTD,11/12/2023,103.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,AQUALOGIC LTD,07/12/2023,208.60
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,AQUALOGIC LTD,07/12/2023,238.60
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC LTD,08/12/2023,193.60
Neighbourhood & Enforcement Services,"Highways, Engineering & Project Delivery",Supplies & Services,Protective Clothing,ARCO LIMITED,13/12/2023,152.86
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/12/2023,600.00
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,ARJO UK LTD,22/12/2023,-580.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,ARJO UK LTD,07/12/2023,476.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,ARJO UK LTD,13/12/2023,121.00
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Concessionary Travel,ARRIVA MIDLANDS LTD,20/12/2023,"141,306.53"
Policy & Governance,Organisational Development & Delivery,Employees,Staff Training,Art of Brilliance Ltd,05/12/2023,"1,000.00"
Policy & Governance,Organisational Development & Delivery,Employees,Staff Training,Art of Brilliance Ltd,20/12/2023,"1,000.00"
