Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,595.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,600.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,350.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,300.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,970.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,540.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,550.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,440.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,"1,950.00"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,"1,350.00"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,29/06/2023,442.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,27/06/2023,387.50
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,600.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,484.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,229.50
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,810.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,405.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,265.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,300.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,380.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,520.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,780.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,940.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,27/06/2023,620.00
