Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,10/07/2023,"58,986.00"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,11/07/2023,265.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,1st Call Mobility,11/07/2023,205.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,210.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,450.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,"1,820.00"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,"1,170.00"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,180.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,620.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,11/07/2023,600.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,06/07/2023,160.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,13/07/2023,"7,200.00"
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,11/07/2023,160.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,11/07/2023,240.75
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,11/07/2023,214.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,11/07/2023,187.25
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,11/07/2023,187.25
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,13/07/2023,187.25
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,13/07/2023,187.25
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,675.80
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,457.60"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,349.50
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,532.95"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,724.03"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,622.03"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,375.44"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,068.10"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,11/07/2023,"1,781.50"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,378.00"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,339.20
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,393.20"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,374.00"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,744.70"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"2,520.25"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,448.40"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,719.50"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,737.90"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,747.10"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,481.20"
Adult Social Care,ASC Prevention & Enablement,Employees,Other Employee Costs,Medgen LTD,13/07/2023,"1,747.10"
Adult Social Care,ASC Prevention & Enablement,Employees,Staff Training,SHROPSHIRE COUNCIL ,21/07/2023,246.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,18/07/2023,678.10
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,18/07/2023,572.20
Adult Social Care,"Assurance, Transformation & Financial Management",Employees,Staff Training,escalla,11/07/2023,199.00
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),NCCTC Ltd,04/07/2023,285.60
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),B Operations Randlay Limited,03/07/2023,"7,700.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),COVERAGE CARE SERVICES LTD,31/07/2023,"69,499.91"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,13/07/2023,"90,000.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,31/07/2023,"11,499.44"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),POHWER,13/07/2023,"19,312.50"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,13/07/2023,"18,500.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),Engaging Communities Solutions CIC,21/07/2023,"25,000.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),POHWER,21/07/2023,"2,500.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Health & Safety Expenses,REDACTED PERSONAL INFORMATION,03/07/2023,542.76
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Medical Consultants Fees,JLS Medical Services Ltd,28/07/2023,"1,020.00"
Adult Social Care,Community Social Work (Principal Social Worker),Transfer Payments,Block Voids,First Choice Housing Association LTD,19/07/2023,"1,402.37"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,21/07/2023,"1,807,511.00"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,21/07/2023,"-103,500.00"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,21/07/2023,"2,364,258.00"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,14/07/2023,136.00
Adult Social Care,My Options,Supplies & Services,Training Costs - Participants Recharged,SHROPSHIRE COUNCIL ,28/07/2023,124.00
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,19/07/2023,125.22
Adult Social Care,My Options,Supplies & Services,Laundry & Towel Hire,PHS GROUP,17/07/2023,172.89
Adult Social Care,My Options,Premises-Related Expenditure,Hire Of Rooms,Dawley Baptist Church,17/07/2023,210.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,05/07/2023,718.99
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,995.63
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,"4,959.90"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"4,060.41"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"7,139.43"
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,05/07/2023,-286.50
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,05/07/2023,238.00
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,05/07/2023,317.88
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,25/07/2023,391.69
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,25/07/2023,214.90
Adult Social Care,My Options,Supplies & Services,Equipment - Hire,CARTWRIGHTS WASTE DISPOSAL SERV LTD,20/07/2023,430.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,159.75
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,311.35
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,323.33
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,249.56
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,255.55
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,179.63
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,311.35
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,263.45
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,383.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,171.72
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,223.45
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,239.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,171.72
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,159.75
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,171.72
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,323.33
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,323.33
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,323.33
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,179.63
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,183.70
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,319.25
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,323.33
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,243.57
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,167.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,239.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,331.23
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,331.23
Adult Social Care,My Options,Employees,Agency Supply Costs,Acton Banks Limited,25/07/2023,311.35
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,05/07/2023,"6,037.60"
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,05/07/2023,509.80
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,05/07/2023,139.65
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,"2,277.60"
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,634.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,"2,285.50"
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,419.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,209.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,574.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,"3,111.46"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,976.25
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,497.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,438.55
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,423.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,825.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,909.75
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,554.40
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"2,866.56"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,878.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"1,650.33"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,396.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,423.50
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,566.25
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,402.88
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,277.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,522.50
Adult Social Care,My Options,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,14/07/2023,136.00
Adult Social Care,My Options,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,27/07/2023,136.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"9,892.77"
Adult Social Care,My Options,Supplies & Services,Adult Flexi / Day Care,REDACTED PERSONAL INFORMATION,14/07/2023,"1,212.54"
Adult Social Care,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,14/07/2023,577.40
Adult Social Care,My Options,Supplies & Services,Other Travel,REDACTED PERSONAL INFORMATION,14/07/2023,378.00
Adult Social Care,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/07/2023,"1,030.40"
Adult Social Care,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/07/2023,175.35
Adult Social Care,My Options,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,27/07/2023,856.80
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,05/07/2023,"1,793.70"
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,"1,206.99"
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus Limited,25/07/2023,"1,137.16"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,"9,484.50"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,-275.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/07/2023,130.90
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,"7,737.95"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,25/07/2023,701.70
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,TELFORD TIMBER SUPPLIES,18/07/2023,112.00
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,TELFORD TIMBER SUPPLIES,18/07/2023,112.00
Adult Social Care,My Options,Supplies & Services,Equipment - Repair,WF Education Group Limited,21/07/2023,266.40
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/07/2023,304.91
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,REDACTED PERSONAL INFORMATION,04/07/2023,440.00
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,20/07/2023,"183,362.99"
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,Security Wise Ltd,31/07/2023,230.00
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,Security Wise Ltd,31/07/2023,130.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,14/07/2023,136.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,14/07/2023,136.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Hire,1st Call Mobility,05/07/2023,"3,565.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Hire,1st Call Mobility,05/07/2023,"3,220.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Hire,1st Call Mobility,05/07/2023,"3,565.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Hire,1st Call Mobility,05/07/2023,"1,265.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Third Party Payments,Other Care Purchasing,Wrekin Clearances,24/07/2023,550.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,05/07/2023,144.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,24/07/2023,344.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Telford Taxi Hire Limited,24/07/2023,900.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Telford Taxi Hire Limited,24/07/2023,800.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Easylink,18/07/2023,272.80
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Easylink,28/07/2023,169.90
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Easylink,18/07/2023,171.60
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Possum Ltd,17/07/2023,895.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Possum Ltd,26/07/2023,895.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,SARABEC LIMITED,26/07/2023,574.20
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,SARABEC LIMITED,26/07/2023,574.20
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,SARABEC LIMITED,28/07/2023,"1,087.20"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Accora,27/07/2023,"3,395.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Accora,27/07/2023,295.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,05/07/2023,"1,680.00"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Mobility Smart Limited,26/07/2023,349.95
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,27/07/2023,804.20
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,18/07/2023,912.88
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,27/07/2023,134.93
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,27/07/2023,152.60
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Carriage/Delivery Charge,PRISM MEDICAL WESTHOLME DIVISION,27/07/2023,117.15
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,13/07/2023,183.66
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Repair,STANNAH LIFT SERVICES LTD,07/07/2023,248.67
