Payment Date,Vendor Name,Vendor Type,Cost Centre Code,Cost Centre Description,Cost Centre Level 2 Code,Cost Centre Level 2 Description,Cost Centre Level 3 Code,Cost Centre Level 3 Description,Cost Centre Level 4 Code,Cost Centre Level 4 Description,Cost Centre Level 5 Code,Cost Centre Level 5 Description,Cost Centre Level 6 Code,Cost Centre Level 6 Description,Cost Centre Level 7 Code,Cost Centre Level 7 Description,Subjective Code,Subjective Description,Account Code,Account Description,Amount,Payment Number,Invoice Line Number,Distribution Number,Invoice Number,Invoice Creation Date
 08-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,875,2454996,1,1,INV921/MBL10, 17-Jul-2023
 25-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,1150,2459628,1,1,INV989/ESZ38, 02-Aug-2023
 25-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,875,2459652,1,1,INV995/MBL13, 01-Aug-2023
 25-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,750,2459655,1,1,INV992/HLA5, 01-Aug-2023
 25-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,915,2459656,1,1,INV987/PP63, 01-Aug-2023
 25-Aug-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,750,2459657,1,1,INV961/TW44, 02-Aug-2023
 23-Aug-2023,A Wilderness Way Group Limited,Commercial,C10288,EXTERNAL PLACEMENTS - RESIDENTIAL,C1248G,LOCAL PLACEMENTS,C1240F,CHILDREN IN CARE AND CARE EXPERIENCED YOUNG PEOPLE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,651780,Private Contractors Payment - Other, 1502,SEMI-INDEPENDENT ACCOMMODATION,65751,2459161,1,1,1351, 22-Aug-2023
 09-Aug-2023,AA Guesthouses Ltd,Commercial,C13402,HEAT AND INTERVENTION SERVICE,C1320G,EMERGENCY ACCOMMODATION,C1324F,HOMELESSNESS AND ASSESSMENTS,C1305E,HOUSING OPTIONS,C1300D,HOUSING,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,621400,Rents Payable, 2017,HOTEL CHARGES BED & BREAKFAST,26614,2455111,1,1,0623CR01, 18-Jul-2023
 09-Aug-2023,AA Guesthouses Ltd,Commercial,C13402,HEAT AND INTERVENTION SERVICE,C1320G,EMERGENCY ACCOMMODATION,C1324F,HOMELESSNESS AND ASSESSMENTS,C1305E,HOUSING OPTIONS,C1300D,HOUSING,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,621400,Rents Payable, 2017,HOTEL CHARGES BED & BREAKFAST,62460,2455111,2,1,0623CR01, 18-Jul-2023
 04-Aug-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,765,2453374,1,1,SI-9757, 04-Aug-2023
