Payment Date,Vendor Name,Vendor Type,Cost Centre Code,Cost Centre Description,Cost Centre Level 2 Code,Cost Centre Level 2 Description,Cost Centre Level 3 Code,Cost Centre Level 3 Description,Cost Centre Level 4 Code,Cost Centre Level 4 Description,Cost Centre Level 5 Code,Cost Centre Level 5 Description,Cost Centre Level 6 Code,Cost Centre Level 6 Description,Cost Centre Level 7 Code,Cost Centre Level 7 Description,Subjective Code,Subjective Description,Account Code,Account Description,Amount,Payment Number,Invoice Line Number,Distribution Number,Invoice Number,Invoice Creation Date
 05-Jul-2023,1 Garden Court Family Law Chambers,Commercial,C10210,LEGAL SERVICES,C1236F,CHILDREN'S SOCIAL CARE DIRECTORATE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,641620,Legal Fees, 7650,COUNSEL FEES,750,2443920,1,1,INV911/ESZ32, 15-Jun-2023
 20-Jul-2023,A Wilderness Way Group Limited,Commercial,C10288,EXTERNAL PLACEMENTS - RESIDENTIAL,C1248G,LOCAL PLACEMENTS,C1240F,CHILDREN IN CARE AND CARE EXPERIENCED YOUNG PEOPLE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,651780,Private Contractors Payment - Other, 1502,SEMI-INDEPENDENT ACCOMMODATION,63630,2448565,1,1,1282, 19-Jul-2023
 05-Jul-2023,AA Guesthouses Ltd,Commercial,C13402,HEAT AND INTERVENTION SERVICE,C1320G,EMERGENCY ACCOMMODATION,C1324F,HOMELESSNESS AND ASSESSMENTS,C1305E,HOUSING OPTIONS,C1300D,HOUSING,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,621400,Rents Payable, 2017,HOTEL CHARGES BED & BREAKFAST,26647.45,2443871,1,1,0523CR01, 16-Jun-2023
 05-Jul-2023,AA Guesthouses Ltd,Commercial,C13402,HEAT AND INTERVENTION SERVICE,C1320G,EMERGENCY ACCOMMODATION,C1324F,HOMELESSNESS AND ASSESSMENTS,C1305E,HOUSING OPTIONS,C1300D,HOUSING,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,621400,Rents Payable, 2017,HOTEL CHARGES BED & BREAKFAST,61989.69,2443871,2,1,0523CR01, 16-Jun-2023
 25-Jul-2023,AECOM Infrastructure & Environment UK,Commercial,C14929,HIGHWAYS DRAINAGE,C1106G,STREET SCENE & HIGHWAYS,C1120F,HIGHWAYS AND PARKING SERVICES,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,641440,Consultancy Fees, 0000,DEFAULT,2450,2450816,1,1,28533245, 25-Jul-2023
 13-Jul-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,520,2446671,1,1,SI-8981, 06-Jun-2023
 13-Jul-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,520,2446671,2,1,SI-8981, 06-Jun-2023
 13-Jul-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,650,2446671,3,1,SI-8981, 06-Jun-2023
 13-Jul-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,650,2446671,4,1,SI-8981, 06-Jun-2023
 13-Jul-2023,AJ Mobility & Training Services Limited,Commercial,C11047,SPEC EDUCATION TRANSPORT,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631140,Vehicle Hire, 2037,HOME TO SCHOOL,550,2446671,3,1,SI-8982, 06-Jun-2023
