Payment Date,Vendor Name,Vendor Type,Cost Centre Code,Cost Centre Description,Cost Centre Level 2 Code,Cost Centre Level 2 Description,Cost Centre Level 3 Code,Cost Centre Level 3 Description,Cost Centre Level 4 Code,Cost Centre Level 4 Description,Cost Centre Level 5 Code,Cost Centre Level 5 Description,Cost Centre Level 6 Code,Cost Centre Level 6 Description,Cost Centre Level 7 Code,Cost Centre Level 7 Description,Subjective Code,Subjective Description,Account Code,Account Description,Amount,Payment Number,Invoice Line Number,Distribution Number,Invoice Number,Invoice Creation Date
 11-Sep-2023,Allan White Motors Ltd,Commercial,C13965,CROYDON TRANSPORT FLEET,C1162G,CROYDON TRANSPORT SERVICE (CTS) SUMMARY,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,641080,Hire - Equipment Furniture And Materials, 7501,VEHICLE HIRE,500,2464035,1,1,6025115, 07-Sep-2023
 28-Sep-2023,Caridon Young Living,Commercial,C10357,LEAVING CARE ACCOMMODATION AND SUBSISTENCE,C1280E,"CHILDREN, YOUNG PEOPLE AND EDUCATION OBSOLETE CODES",C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,C0000A,ALL COST CENTRES,0,0,651780,Private Contractors Payment - Other, 1515,SUPPORTED LIVING,500,2469953,1,1,INV-1001357, 27-Sep-2023
 20-Sep-2023,Hands Free Computing Ltd,Commercial,C10906,VIRTUAL SCHOOLS,C1202G,PUPIL PREMIUM AND LAC,C1224F,ACCESS TO EDUCATION,C1220E,EDUCATION DIVISION,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,642140,Ict Maintenance And Support, 0000,DEFAULT,500,2467590,1,1,91252, 24-Aug-2023
 11-Sep-2023,KAT Transport Ltd,Commercial,C11041,MULTIPLE SITES ACTIVITIES,C1160G,INDEPENDENT TRAVEL SERVICE,C1140F,INDEPENDENT TRAVEL SERVICE TEAM,C1120E,SUSTAINABLE COMMUNITIES,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,631120,Vehicle Leases, 0000,DEFAULT,500,2464060,1,1,KAT 21677, 08-Sep-2023
 08-Sep-2023,Prospero Recruitment Ltd.,Commercial,C10684,SEND PRE AND POST 16 INDEPENDENT PROVISION,C1272G,SPECIAL EDUCATION NEEDS SUMMARY,C1250F,0-25 SEND SERVICE DSG BLOCK,C1220E,EDUCATION DIVISION,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,641640,Professional Services - General, 0000,DEFAULT,500,2463946,1,1,375124, 07-Sep-2023
 12-Sep-2023,Syrus Consultancy CIC,Commercial,C10208,ADOLESCENT SUPPORT TEAM,C1256G,YOUNG CROYDON,C1234F,SPECIALIST SERVICES FOR CHILDREN AND YOUNG PEOPLE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,651780,Private Contractors Payment - Other, 1509,SPECIAL PROGRAMMES,500,2465133,1,1,YOSA3, 15-Aug-2023
 29-Sep-2023,Redacted,Non Commercial Supplier,C10908,PUPIL PREMIUM ACTIVITIES-CHILDREN LOOKED AFTER,C1202G,PUPIL PREMIUM AND LAC,C1224F,ACCESS TO EDUCATION,C1220E,EDUCATION DIVISION,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,661360,Schools - Transfer Payment, 1627,SCHOOLS BLOCK - PP- FSM,500,2470028,2,1,27092023_EB00000017, 28-Sep-2023
 20-Sep-2023,Redacted,Non Commercial Supplier,C15330,BOROUGH OF CULTURE,C1146G,CULTURE GROWTH SUMMARY,C1150F,"CULTURE, LEISURE AND LIBRARIES",C1130E,CULTURE AND COMMUNITY SAFETY DIVISION,C1100D,TOTAL SUSTAINABLE COMMUNITIES REGEN & ECONOMIC RECOVERY,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,641520,Events, 0000,DEFAULT,500,2467565,1,1,CROY23082023, 23-Aug-2023
 29-Sep-2023,Redacted,Non Commercial Supplier,C13400,GUARANTEED MARKET RENT SCHEME,C1328G,TEMPORARY ACCOMMODATION AND HOUSING SOLUTIONS,C1324F,HOMELESSNESS AND ASSESSMENTS,C1305E,HOUSING OPTIONS,C1300D,HOUSING,C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,651800,Payment To Private Sector Landlords (Psl), 0000,DEFAULT,500,2470498,1,1,GRSN October2023 A, 28-Sep-2023
 12-Sep-2023,Redacted,Non Commercial Supplier,C10279,RESIDENCE AND SPECIAL GUARDIANSHIP ALLOWANCES,C1247G,FAMILY AND FRIENDS AND SPECIAL GUARDIANSHIP,C1234F,SPECIALIST SERVICES FOR CHILDREN AND YOUNG PEOPLE,C1210E,CHILDREN'S SOCIAL CARE,C1200D,"TOTAL CHILDREN, YOUNG PEOPLE AND EDUCATION",C1000C,TOTAL GENERAL FUND,C1000B,TOTAL GROUP REVENUE,651780,Private Contractors Payment - Other, 1503,SETTLING-IN GRANT,500,2464126,2,1,280795, 11-Sep-2023
