OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI
Staffordshire County Council,Independent Sch Fees Mainstr'm, Emmanuel School,29/01/2024,3973.33,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,EY 2 Year olds, Little Stars Childcare,12/01/2024,1868.62,EY Disadvantaged children,EY Disadvantaged children,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant, Little Stars Childcare,12/01/2024,6177.64,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,18 St John Street Chambers,10/01/2024,1500.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,19/01/2024,1459.20,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24 Taxis Lichfield Ltd,24/01/2024,51419.50,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Bridge Short Stay School,247 Cars Willenhall Ltd,26/01/2024,27361.57,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,24/01/2024,2745.60,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,26/01/2024,3686.40,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,24/01/2024,4377.60,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,24/01/2024,4377.60,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24x7 (Staffordshire) Ltd,26/01/2024,219038.69,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,09/01/2024,1500.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,11/01/2024,1080.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),15/01/2024,1200.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Statutory/Regulatory DutiesSLA,4-5 Gray's Inn Square,30/01/2024,1500.00,Supp Serv Legal,Supp Serv Legal,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Bridge Short Stay School,5 TEN CONTRACTS LTD,03/01/2024,73798.84,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to college transport SEN,530 Cars,17/01/2024,1136.16,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to college transport SEN,530 Cars,10/01/2024,1798.92,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,57 Cars Ltd,26/01/2024,61200.49,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Country Parks Team,A & J Designs (Staffs) Ltd,04/01/2024,700.62,Uniforms,Uniforms,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A & K TRAVEL,02/01/2024,21140.66,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A D RUTTER,19/01/2024,2387.20,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A DAVIES-HILL,12/01/2024,1042.48,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
