OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI
Staffordshire County Council,Improving Practice,18 St John Street Chambers,29/08/2023,900.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,24/08/2023,1368.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24 Taxis Lichfield Ltd,25/08/2023,52064.36,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,STAF Child in Care/Care Leaver,24/7 Cars Lichfield LTD,30/08/2023,504.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,STAF Child in Care/Care Leaver,24/7 Cars Lichfield LTD,30/08/2023,1915.20,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Chaselea Short Stay School,247 Cars Willenhall Ltd,25/08/2023,34566.66,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,30/08/2023,2088.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24x7 (Staffordshire) Ltd,25/08/2023,160678.11,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,08/08/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,14/08/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,21/08/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,08/08/2023,3240.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,14/08/2023,3240.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,21/08/2023,3240.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,30/08/2023,6480.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),25/08/2023,900.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,5 TEN CONTRACTS LTD,01/08/2023,2616.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Bridge Short Stay School,5 TEN CONTRACTS LTD,03/08/2023,98166.67,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,TAM Child in Care/Care Leavers,5 TEN CONTRACTS LTD,18/08/2023,810.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,TAM Child in Care/Care Leavers,5 TEN CONTRACTS LTD,01/08/2023,2754.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to college transport SEN,530 Cars,18/08/2023,1350.00,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to college transport SEN,530 Cars,08/08/2023,1800.00,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,57 Cars Ltd,25/08/2023,89296.28,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A & K TRAVEL,25/08/2023,17749.89,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A Bailey,14/08/2023,837.33,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Stat-OOC transport,A Cars,01/08/2023,4630.36,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A D RUTTER,21/08/2023,2041.12,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A DAVIES-HILL,14/08/2023,536.19,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Amey Routine Highway Maint,A L Franses T/a Audemex Ltd,16/08/2023,4430.32,Routine Maintenance - Drainage,Routine Maintenance - Drainage,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A M Horobin,14/08/2023,528.84,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Local Svc & Community Transprt,A Moore T/A Staffs Border Travel,30/08/2023,2620.38,Payments to Bus Operators,Payments to Bus Operators,http://opendatacommunities.org/id/county-council/staffordshire  
