OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI,
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,01/06/2023,912.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,23/06/2023,1641.60,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Bridge Short Stay School,24 Taxis Lichfield Ltd,23/06/2023,61186.74,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,STAF Child in Care/Care Leaver,24/7 Cars Lichfield LTD,09/06/2023,1008.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,LICH Child in Care/Care Leaver,24/7 Cars Lichfield LTD,29/06/2023,2160.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Chaselea Short Stay School,247 Cars Willenhall Ltd,09/06/2023,25392.91,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Chaselea Short Stay School,247 Cars Willenhall Ltd,28/06/2023,45411.48,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,24x7 (Staffordshire) Ltd,28/06/2023,180892.51,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,13/06/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,13/06/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,20/06/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,13/06/2023,3240.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,13/06/2023,2880.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),06/06/2023,1320.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Corporate Services,3PB Barristers (Chambers Account),22/06/2023,3600.00,Conference Fees,Conference Fees,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),26/06/2023,1020.00,legal services,legal services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Bridge Short Stay School,5 TEN CONTRACTS LTD,05/06/2023,50789.06,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to college transport SEN,530 Cars,09/06/2023,980.00,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to college transport SEN,530 Cars,28/06/2023,1620.00,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,57 Cars Ltd,28/06/2023,98567.66,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,A & K TRAVEL,01/06/2023,10985.66,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,A D RUTTER,23/06/2023,2296.26,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,A DAVIES-HILL,09/06/2023,1072.37,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Fees Mainstr'm,A DAVIES-HILL,09/06/2023,660.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Fees Mainstr'm,A DAVIES-HILL,30/06/2023,770.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,A Dewis,09/06/2023,690.30,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,A Hooker,09/06/2023,998.92,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,A M Horobin,09/06/2023,1057.68,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Loxley Hall School,A Matthews Travel,23/06/2023,1641.60,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Public Transp Support & Co-ord,A Moore T/A Staffs Border Travel,29/06/2023,2495.60,Payments to Bus Operators,Payments to Bus Operators,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HWS Unallocated,A R Richards Ltd,09/06/2023,5107.05,WASTE MANAGEMENT,WASTE MANAGEMENT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,A Ratcliffe,09/06/2023,1931.74,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Workforce Wellbeing Strategy,A Rose,05/06/2023,1385.00,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Saxon Hill School,,01/06/2023,733.75,Personal Travel Budgets,Personal Travel Budgets,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Saxon Hill School,,30/06/2023,733.75,Personal Travel Budgets,Personal Travel Budgets,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tamworth LD Team,A WOODS,09/06/2023,1376.12,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tamworth LD Team,A WOODS,26/06/2023,1376.12,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cedars Short Stay School,A1 Embassy Taxis Stoke Ltd,29/06/2023,22262.47,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,SS Children with Disabilities,A1 Embassy Taxis Stoke Ltd,28/06/2023,2520.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to college transport SEN,A1 Taxis,01/06/2023,1323.60,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to college transport SEN,A1 Taxis,30/06/2023,1985.40,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,A1 Wolves Taxis,28/06/2023,37868.81,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,A2B Airport Travel,09/06/2023,990.00,Rental of Vehicles,Rental of Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
