OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI
Staffordshire County Council,Local Members Initiatives,21st West Stafford Scout Group,09/10/2023,1550.00,Local Member Initiative Scheme,Local Member Initiative Scheme,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,27/10/2023,1641.60,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24 Taxis Lichfield Ltd,27/10/2023,54391.83,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,SS Assess & Staying Together,247 Cars Willenhall Ltd,27/10/2023,1008.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,27/10/2023,1872.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Chaselea Short Stay School,247 Cars Willenhall Ltd,27/10/2023,27131.08,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24x7 (Staffordshire) Ltd,27/10/2023,230374.96,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,16/10/2023,2250.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,24/10/2023,750.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ASC Discharge Fund��,3 Spirit Enterprise Uk Ltd,12/10/2023,4560.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),20/10/2023,1080.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,SEND Assessment Planning Serv,3PB Barristers (Chambers Account),02/10/2023,3300.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),26/10/2023,1020.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),26/10/2023,1020.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Strategic Management,3PB Barristers (Chambers Account),20/10/2023,10800.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
