Date Transaction Added,Beneficiary,Merchant Categories,Department,Purpose of Expenditure,Trans No,Net Amount
26/04/2024,Accessible Bathroom Solutions Ltd,Social Communiy Care - Home Improvements - Adaptations & Aids,Adult Social Care,Capital Expenditure,2400251,"7,576.50"
03/05/2024,Accessible Bathroom Solutions Ltd,Social Communiy Care - Home Improvements - Adaptations & Aids,Adult Social Care,Capital Expenditure,2400568,"6,849.00"
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,4.00
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,4.00
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,4.00
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,5.00
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,18.00
04/06/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31959606,4.00
04/06/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31959606,4.00
28/05/2024,Dr Steve Noone t/a Positive Behavioural Wellbeing,Consultancy - HR - Training Services,Adult Social Care,Training,528304,"1,152.00"
28/05/2024,Dr Steve Noone t/a Positive Behavioural Wellbeing,Consultancy - HR - Training Services,Adult Social Care,Training,528305,"1,152.00"
28/05/2024,Dr Steve Noone t/a Positive Behavioural Wellbeing,Consultancy - HR - Training Services,Adult Social Care,Training,528306,"1,152.00"
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Internet Charges (ISDN/Broadband Lines),31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Telephone Charges,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,1.08
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,1.41
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Telephone Charges,31962201,1.41
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Telephone Charges,31962201,333.62
01/05/2024,Changing Lives,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,2400354,"47,928.62"
31/05/2024,Changing Lives,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,10629705,"47,928.08"
29/05/2024,Cheshire Police,Emergency Services - Police,Adult Social Care,Emergency Duty,2401316,"30,000.00"
02/05/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,526090,"20,487.27"
12/06/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,528438,"20,487.27"
