Date Transaction Added,Beneficiary,Merchant Categories,Department,Purpose of Expenditure,Trans No,Net Amount
17/01/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32019084,16012.26
17/01/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32019084,16012.26
20/02/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32026512,16012.26
20/02/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32026512,16012.26
14/03/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031738,16012.26
14/03/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031738,16012.26
17/01/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32019084,17136.36
17/01/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32019084,17136.36
20/02/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32026512,17136.36
20/02/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32026512,17136.36
14/03/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031738,17136.36
14/03/2025,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031738,17136.36
13/01/2025,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,Transport Co-ordination,32018298,3584.70
19/02/2025,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,Transport Co-ordination,32025846,716.94
12/03/2025,365 Support Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031413,1674.72
12/03/2025,365 Support Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031439,744.96
12/03/2025,365 Support Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031439,2232.62
12/03/2025,365 Support Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,32031439,2232.71
07/02/2025,Aadhya Enterprises Ltd T/A Dr Ravi Vamsikiran,Training - Mental Health,Adult Social Care,Contracted Services,32023617,647.76
28/02/2025,Aadhya Enterprises Ltd T/A Dr Ravi Vamsikiran,Training - Mental Health,Adult Social Care,Contracted Services,32028718,741.60
13/01/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018288,2625.00
13/01/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32018300,36.00
13/01/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018300,1330.25
13/01/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018302,1500.00
24/01/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32020482,1350.00
05/02/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32022978,3325.00
05/02/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32022980,1625.00
07/02/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32023614,1800.00
07/02/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32023615,56.00
07/02/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32023615,2044.00
05/03/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030385,1350.00
05/03/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030386,2625.00
05/03/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030388,48.00
05/03/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030388,1752.00
05/03/2025,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030389,1500.00
31/03/2025,Access UK Limited,ICT - Software,Adult Social Care,General Computer Expenditure,551053,9575.00
31/03/2025,Access UK Limited,ICT - Software,Adult Social Care,General Computer Expenditure,551058,9575.00
31/03/2025,Access UK Limited,ICT - Software,Adult Social Care,General Computer Expenditure,551059,9575.00
16/01/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32018998,6577.20
16/01/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32018998,6577.20
17/01/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32019080,6577.20
17/01/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32019080,6577.20
10/02/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32024551,6577.20
10/02/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32024551,6577.20
07/03/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32030608,6577.20
07/03/2025,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,32030608,6577.20
16/01/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32019000,5776.12
16/01/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32019000,5776.16
17/02/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32025312,5776.12
17/02/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32025312,5776.16
20/02/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32026511,5776.12
20/02/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Domiciliary Care,32026511,5776.16
16/01/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,32019002,38418.15
