Date Transaction Added,Beneficiary,Merchant Categories,Department,Division,Purpose of Expenditure,Trans No,Net Amount
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,2640.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,2660.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4063.50
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4063.50
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4095.00
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4135.32
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4229.82
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4477.41
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4477.41
24/07/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,532422,4770.00
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,3432.68
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4198.95
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4198.95
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4231.50
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4273.16
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4370.81
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4626.66
06/08/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,534004,4929.00
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4198.95
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4198.95
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4231.50
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4273.16
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4370.81
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4626.66
25/09/2024,1st Affinity Fostering Service Limited,Fostering & Adoption - Fostering Support,Children & Family Services,,Foster Carer Payments,537231,4929.00
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,16012.26
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,16012.26
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,4003.07
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,4003.07
31/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31973940,12009.19
31/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31973940,12009.20
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,16012.26
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,16012.26
26/09/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31989656,16012.26
26/09/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31989656,16012.26
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,17136.36
05/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31966881,17136.36
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,17136.36
25/07/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31972486,17136.36
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,17136.36
22/08/2024,1st Enable Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,,Domiciliary Care,31982114,17136.36
26/07/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31973325,809.24
23/08/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31982922,809.24
20/09/2024,222 estates,Benefits,Finance Department,,Rent Allowances,31988847,809.24
16/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31969093,4779.60
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31979479,5496.54
09/09/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Adult Social Care,,Transport Co-ordination,31985177,5018.58
17/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,,Miscellaneous Transport Costs,31969791,1417.35
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,Children & Family Services,,Miscellaneous Transport Costs,31979577,1417.35
17/07/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",,Transport Co-ordination,31969791,1417.35
13/08/2024,24x7 (Cheshire) Limited,Transport - Passenger Transport,"Education, Inclusion & Provision",,Transport Co-ordination,31979577,1417.35
21/08/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,533874,45000.06
17/09/2024,4PUREHEART LIMITED,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,536496,66428.66
02/07/2024,6th Runcorn Scout Group,Education - Services,Community & Greenspace,,Grants to Voluntary Organisations,2402681,700.00
30/07/2024,6th Runcorn Scout Group,Education - Services,Community & Greenspace,,LSP - Area Panel Expenditure,2403743,1000.00
11/09/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Community & Greenspace,,Contracted Services,2404863,1200.00
18/07/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,,Contracted Services,2403230,600.00
26/07/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,,Contracted Services,2403597,600.00
03/09/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,,Contracted Services,2404260,600.00
13/09/2024,A & D DRAINAGE SERVICESLTD,Waste Man - Sewer & Drainage,Planning & Transportation,,Contracted Services,2404917,600.00
11/07/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Contracted Services,531934,4137.50
26/07/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Commissioned Services - Voluntary Orgs,533512,2810.00
26/07/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Commissioned Services - Voluntary Orgs,533520,2370.00
15/08/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Contracted Services,534603,4137.50
19/08/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Commissioned Services - Voluntary Orgs,534640,2370.00
12/09/2024,A Place for Us CIC,"Facilities Mgmt - Exhibition,Events & Trade Fair Orgs","Education, Inclusion & Provision",,Commissioned Services - Voluntary Orgs,536105,2810.00
09/09/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,535689,15428.70
09/09/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,535690,15942.99
27/09/2024,ABC Care and Education ltd,SCC-Commissioned Services- Childcare Res Placement,Children & Family Services,,Residential Care,537351,15942.99
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31969086,1800.00
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Vehicle Maintenance Unit,31969095,48.00
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31969095,1452.00
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31969100,1500.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31969731,21.76
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31979471,1350.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31979482,1750.00
09/09/2024,ABC Taxis NW Limited,Transport - Taxi Services,Adult Social Care,,Transport Co-ordination,31985180,1500.00
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,,Vehicle Maintenance Unit,31969105,80.00
16/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,,Transport Co-ordination,31969105,3767.20
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,,Vehicle Maintenance Unit,31979487,62.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,Children & Family Services,,Transport Co-ordination,31979487,2888.56
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969713,60.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969713,2400.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969717,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969717,3332.60
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969721,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969721,2166.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969724,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969724,1800.44
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969728,2200.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969731,60.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969731,2565.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969737,2025.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969743,80.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969743,3500.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969748,48.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969748,2201.60
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969750,2720.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969754,2030.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969758,2500.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969759,2270.40
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969762,2044.40
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969764,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969764,1789.80
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969765,2000.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969768,2600.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969772,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969772,2644.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969779,76.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969779,3829.20
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969789,48.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969789,1356.80
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31969796,80.00
17/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31969796,2570.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31970913,60.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31970913,2785.20
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31970914,3325.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31970917,40.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31970917,1337.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31970920,76.00
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31970920,1977.52
19/07/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31970921,3260.40
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979508,72.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979508,2880.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979511,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979511,2631.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979515,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979515,1710.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979518,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979518,1421.40
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979523,1100.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979524,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979524,2790.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979526,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979526,2565.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979532,2025.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979538,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979538,2625.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979543,3150.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979547,1885.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979550,1875.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979551,1702.80
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979554,1614.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979555,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979555,1413.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979556,1300.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979558,2340.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979562,72.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979562,2408.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979567,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979567,3037.50
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979579,56.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979579,1457.12
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979581,2402.40
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Vehicle Maintenance Unit,31979583,60.00
13/08/2024,ABC Taxis NW Limited,Transport - Taxi Services,"Education, Inclusion & Provision",,Transport Co-ordination,31979583,1927.50
06/09/2024,ABILITY HOUSING CIC,Benefits,Finance Department,,Rent Allowances,31985021,911.00
20/09/2024,ABILITY HOUSING CIC,Benefits,Finance Department,,Rent Allowances,31988874,1275.40
02/08/2024,Absolute Solar and Wind Limited,Construction,Corporate & Democracy,,Contracted Services,2403790,6195.00
18/09/2024,Absolute Solar and Wind Limited,Construction,Corporate & Democracy,,Contracted Services,2405093,3018.88
09/07/2024,Access UK Limited,ICT - Software,Adult Social Care,,General Computer Expenditure,531869,2220.49
07/08/2024,Access UK Limited,ICT - Software,Adult Social Care,,General Computer Expenditure,2403933,2278.45
17/09/2024,Access UK Limited,ICT - Software,Adult Social Care,,General Computer Expenditure,2405030,2288.11
05/08/2024,Accessible Bathroom Solutions Ltd,Social Communiy Care - Home Improvements - Adaptations & Aids,Adult Social Care,,Capital Expenditure,2403865,8028.00
30/09/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Contracted Services,537784,1932.20
10/07/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Contracted Services,2402993,2342.00
12/07/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Contracted Services,2403050,1500.00
12/07/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Contracted Services,2403051,2200.00
11/09/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Contracted Services,2404878,1126.00
16/07/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Hired Services,2403188,1243.20
30/07/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Hired Services,2403719,2883.15
13/08/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Children in Care,2404078,2435.00
11/09/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Hired Services,2404877,2317.80
19/09/2024,Accolade Associates Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Hired Services,2405155,1100.00
12/07/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Children in Care,2403047,1774.50
18/07/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Children in Care,2403316,744.00
24/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Children in Care,2405357,819.00
25/07/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2403590,540.00
31/07/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2403757,1985.00
08/08/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2403979,1985.00
14/08/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2404118,1985.00
21/08/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2404280,1830.00
28/08/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2404388,1830.00
05/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2404648,1364.00
18/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2405110,2382.00
18/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2405111,2196.00
18/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2405112,2272.80
25/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,2405426,2010.00
19/09/2024,Accolade Families Limited,SCC - Children - Social Care Agency,Children & Family Services,,Hired Services,536816,2196.00
08/08/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31978313,6577.20
08/08/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31978313,6577.20
04/09/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31983828,6577.20
04/09/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31983828,6577.20
20/09/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31988980,6577.20
20/09/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,,Domiciliary Care,31988980,6577.20
06/08/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31974175,6188.72
06/08/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31974175,6188.72
27/08/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31983038,6394.99
27/08/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31983038,6395.03
18/09/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31987379,6394.99
18/09/2024,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,,Domiciliary Care,31987379,6395.03
02/07/2024,Acorn Kennels Limited,Professional Services - Dog Warden / Collection,Public Health & Public Protection,,Contracted Services,531242,1500.00
02/08/2024,Acorn Kennels Limited,Professional Services - Dog Warden / Collection,Public Health & Public Protection,,Contracted Services,533956,1500.00
10/09/2024,Acorn Kennels Limited,Professional Services - Dog Warden / Collection,Public Health & Public Protection,,Contracted Services,535888,1500.00
02/09/2024,Activ Engagement & Education C.I.C,Consultancy - Childrens Education Services,"Education, Inclusion & Provision",,Contracted Services,535146,2127.50
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,218.83
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,250.00
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,250.00
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,250.00
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,250.00
04/07/2024,Active 8 Support Services Ltd,SCC - Childrens Independent Provider,Children & Family Services,,Residential Care,31966833,250.00
