BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Administration,44340,Consult.& Prof. Serv,440000,07/12/2023,5100564786,4000,GK Traffic Consultancy,113004
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Democratic Services,11400,Premises - Covid 19,299919,11/01/2024,5100568787,1174.5,Culture Warrington,100957
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Democratic Services,11400,Premises - Covid 19,299919,11/01/2024,5100568787,704,Culture Warrington,100957
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Projects,23300,Computer Hardware - Purchase,450700,20/02/2024,5100574320,883.5,Softcat,109539
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Computer Hardware - Maintenance,450750,20/02/2024,5100574370,1450,Triscan,100881
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,21/02/2024,5100574475,1010.66,Softcat,109539
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Walton Hall,45123,Maintenance of Plant & Machinery,250050,13/09/2024,5100588802,4880,Rapid Chiller Rentals Limited,118979
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Birchwood Park Ranger's Cabin,45184,Maintenance of Plant & Machinery,250050,13/09/2024,5100589296,3032.08,Rapid Chiller Rentals Limited,118979
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CYP,Secondary,81002,Consult.& Prof. Serv,440000,17/09/2024,5100589839,38646.44,Ellis Williams Architects,103022
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Broomfields Leisure Centre,51013,Furniture & Fittings,400150,17/09/2024,5100590184,578.24,J P Lennard Ltd,104844
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CYP,Secondary,81002,Consult.& Prof. Serv,440000,17/09/2024,5100590219,5482.5,Aecom Ltd,106088
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,19/06/2024,5100590546,539,Innovative Safety Systems Limited,117181
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Orford Park LC,51027,Equipment Purchase & Contract,400000,17/09/2024,5100591688,1166.23,Rentokil Initial PLC,117677
