BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,New Market - Operational Account,47000,Annual Maintenance,442100,20/04/2023,5100533934,2410,Protec Fire Detection Plc,105486
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,22/05/2023,5100539748,817,Direct Healthcare Group,116289
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Legal Fees Pre Court Work,31204,Legal Costs Incurred,440200,31/07/2023,5100548580,891,AlphaBiolabs,109403
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Finance Office Services,42110,Consult.& Prof. Serv,440000,09/02/2024,5100572700,6000,Wsp Uk Ltd,103007
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,28/02/2024,5100575302,4950,Creative Care (Todmorden) Ltd,116375
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,25/03/2024,5100576565,19187.49,Abbey School,119403
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Facilities,41112,Maintenance Work - Sub Contractors,301150,15/03/2024,5100577866,642.44,Bunzl Cleaning And Hygiene Supplies,104650
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Materials,400500,03/04/2024,5100580429,727.44,Agrovista Uk Ltd,101700
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CSC Director,31304,Fees (Including Agents Fees),441450,10/04/2024,5100581386,54000,Wirral Borough Council,440052
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Technical Surveys,532050,01/05/2024,5100582371,6975,Intelligent Data Collection Ltd,116726
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Technical Surveys,532050,01/05/2024,5100582372,4185,Intelligent Data Collection Ltd,116726
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Annual Maintenance,442100,25/04/2024,5100583088,779,Stertil Uk Ltd,102195
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Training,190150,26/04/2024,5100583176,4170,Associated Calibration & Training,117009
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,26/04/2024,5100583237,840,The Kassia Academy & Support Serv,118073
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Personal Education Budgets (PEB),32028,Fees (Including Agents Fees),441450,05/06/2024,5100583371,820,Integra People,116891
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ACO,Assistant Chief Executive Other,84003,Consult.& Prof. Serv,440000,03/06/2024,5100583786,1230,Lovelock Mitchell Architects,118978
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ACO,Assistant Chief Executive Other,84003,Consult.& Prof. Serv,440000,03/06/2024,5100583863,1200,Lovelock Mitchell Architects,118978
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ACO,Assistant Chief Executive Other,84003,Consult.& Prof. Serv,440000,03/06/2024,5100583868,2160.44,Lovelock Mitchell Architects,118978
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Consult.& Prof. Serv,440000,02/05/2024,5100584058,1467.69,Emily Clement Psychology Ltd,119935
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Tyres,300250,07/06/2024,5100584110,8518.53,Lodge Tyre Company,105203
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,12/06/2024,5100584133,3535.5,Dawsongroup Sweepers Ltd,118270
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,04/06/2024,5100584135,3535.5,Dawsongroup Sweepers Ltd,118270
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Bespoke Comm Outreach,31310,CP-LongStayExternal,441150,07/05/2024,5100584584,620,Accolade Families,119709
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Post-16 Special Educational Needs,32309,Fees (Including Agents Fees),441450,05/06/2024,5100584606,2454.51,Birchwood Academy High School,112025
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,13/06/2024,5100584620,1788.75,Vivid Resourcing Limited,115752
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,19/06/2024,5100584622,3330,Vivid Resourcing Limited,115752
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Bespoke Comm Outreach,31310,CP-LongStayExternal,441150,07/05/2024,5100584625,4145,247 Supervision Ltd,118929
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,07/05/2024,5100584630,5710.1,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,07/05/2024,5100584631,525,KDF Install,118723
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Homelessness,43650,Emergency Accommodation Allowance,550500,08/05/2024,5100584646,1380,The Patten Arms Hotel,115465
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Homelessness,43650,Emergency Accommodation Allowance,550500,08/05/2024,5100584647,1325,The Patten Arms Hotel,115465
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,Kennel Fees,440550,07/05/2024,5100584651,905,Acorn Kennels,116941
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Claims,443400,07/05/2024,5100584667,16230.25,Gallagher Bassett (Leeds),118350
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,13/06/2024,5100584669,590.46,F R Sharrock Ltd,105122
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584699,1217.1,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584699,8114,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584700,3463.5,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584700,1039.05,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584702,952.5,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/05/2024,5100584702,6350,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Agency Supply - GF,180000,07/05/2024,5100584732,1813,Non-Stop Recruitment,115592
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Security Systems,250000,08/05/2024,5100584838,1570.75,Adept Corporate Services Ltd,119334
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Educational Health & Care,32203,Fees (Including Agents Fees),441450,08/05/2024,5100584860,5050,Kids Finance Department,420158
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Educational Health & Care,32203,Fees (Including Agents Fees),441450,08/05/2024,5100584861,6130,Kids Finance Department,420158
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Materials,400500,09/05/2024,5100584865,2892.5,Marwood Electrical Co Ltd,104927
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Educational Health & Care,32203,Fees (Including Agents Fees),441450,10/05/2024,5100584884,1100,Wren Psychology Ltd,119510
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,08/05/2024,5100584909,1300,Panoramic Associates,117227
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,08/05/2024,5100584910,1400,Panoramic Associates,117227
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,08/05/2024,5100584911,1300,Panoramic Associates,117227
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,08/05/2024,5100584913,3900,Panoramic Associates,117227
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,08/05/2024,5100584919,1300,Panoramic Associates,117227
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Centralised Budget,23100,Computer Software - Maintenance,450850,08/05/2024,5100584931,13654,NBS Enterprises Limited,101070
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Agency Supply - GF,180000,08/05/2024,5100584934,1837.5,Non-Stop Recruitment,115592
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Agency Supply - GF,180000,08/05/2024,5100584935,1837.5,Non-Stop Recruitment,115592
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Agency Supply - GF,180000,08/05/2024,5100584937,1813,Non-Stop Recruitment,115592
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Birchwood Park Ranger's Cabin,45184,Maintenance of Plant & Machinery,250050,29/05/2024,5100584939,3032.08,Rapid Chiller Rentals Limited,118979
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Walton Hall,45123,Maintenance of Plant & Machinery,250050,16/05/2024,5100584940,4880,Rapid Chiller Rentals Limited,118979
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Accent Music Hub,32220,"Campaigns,  Projects and Events",491950,14/05/2024,5100584947,1194.38,Redacted due to personal data,118275
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Housing Benefit,10340,Consult.& Prof. Serv,440000,10/05/2024,5100584949,1613.2,Allied Publicity Services (Man) LTD,117019
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Zoo Materials,401250,08/05/2024,5100584959,588.11,The Willows Veterinary Group,105249
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CYP,Secondary,81002,Consult.& Prof. Serv,440000,08/05/2024,5100584966,39727.58,Ellis Williams Architects,103022
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Consult.& Prof. Serv,440000,08/05/2024,5100584981,4800,MAC Psychology Ltd,118752
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Equipment Purchase & Contract,400000,09/05/2024,5100584996,960,Duttons Traffic Management Services,115913
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Equipment Purchase & Contract,400000,09/05/2024,5100584996,860,Duttons Traffic Management Services,115913
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Equipment Purchase & Contract,400000,09/05/2024,5100584996,960,Duttons Traffic Management Services,115913
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Equipment Purchase & Contract,400000,09/05/2024,5100584996,960,Duttons Traffic Management Services,115913
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Equipment Purchase & Contract,400000,09/05/2024,5100584996,860,Duttons Traffic Management Services,115913
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Democratic Services,11400,Training,190150,09/05/2024,5100584997,2400,Edulaw Chambers,119940
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Printing & Graphics,23040,Materials,400500,09/05/2024,5100584998,519,Elliott Baxter & Company Limited,119593
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Building Work,200850,08/05/2024,5100585000,35181.6,Manchester & Cheshire Construction,119571
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Building Work,200850,16/05/2024,5100585002,13008.76,Manchester & Cheshire Construction,119571
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,General Contingencies,61000,"Campaigns,  Projects and Events",491950,09/05/2024,5100585058,3000,Newsquest Media Group,100070
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,09/05/2024,5100585072,7033.2,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Waste Initiatives,443200,09/05/2024,5100585083,3501.68,IPL Plastics (UK) Ltd,103465
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Waste Initiatives,443200,09/05/2024,5100585083,3501.68,IPL Plastics (UK) Ltd,103465
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Waste Recycling,41820,Waste Initiatives,443200,09/05/2024,5100585083,7720.96,IPL Plastics (UK) Ltd,103465
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Birchwood Tennis Centre,51005,Licences,492000,09/05/2024,5100585085,727.33,Les Mills Fitness UK Ltd,119750
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Great Sankey Leisure,51018,Licences,492000,09/05/2024,5100585085,727.33,Les Mills Fitness UK Ltd,119750
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,General Contingencies,61000,Corporate Initiative,491000,09/05/2024,5100585087,3204.96,Newsquest Media Group,100070
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,09/05/2024,5100585090,2966.5,AMW Lift & Mobility Services Ltd,112766
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CHX,Borough Elections,11560,"Campaigns,  Projects and Events",491950,09/05/2024,5100585098,2600,Childwall Table & Chair Hire,104603
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Centralised Budget,23100,Computer Software - Maintenance,450850,09/05/2024,5100585101,21000,Civica Uk Ltd,100585
