Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45351,1575542.97
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45300,1436022.12
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45308,1402331.84
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45335,1397027.28
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45369,1294625.64
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45335,1284442.07
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45350,1240780.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45294,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45324,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45356,1050990
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Oldham College,45356,1002306.02
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45306,982065.96
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45308,810274.65
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45364,810274.65
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45308,802390.31
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45372,801923.54
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45296,762281.34
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45336,757138.65
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45356,750290.85
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45316,745830
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45334,745274.96
Corporate Services,Corporate Services,Chief Executive,Partnership Support (Borough and GM),Non AGMA Services OMBC Contribution,The Greater Manchester Combined Authority,45357,729000
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45306,683985.94
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45350,660392.87
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,H Jenkinson & Co Ltd,45356,609000
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45376,543537.76
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Payments To Contractors,Oldham BSF Ltd,45377,531656.33
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45313,525858.11
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45322,512985.91
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45294,496296.57
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45376,489739
Place,Economy,Economy,Property Management,Premises Service Charges,Savills UK Limited,45302,487153.07
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45341,479913.44
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45301,459351.33
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45323,442604.05
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Electricity North West Ltd,45316,442030.25
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45373,422267.71
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45377,407287.64
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45355,399509.18
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45377,380023.58
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45316,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45337,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45365,366666.67
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45355,360547.23
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45355,356259.67
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45348,350204.3
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45378,331208.47
Place,Economy,Economy,Estates,Premises Service Charges,Savills UK Limited,45344,328196.63
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45345,312568.37
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Oldham Care & Support Ltd,45295,297577
People,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Grants,Oldham Coliseum Theatre Ltd,45362,294000
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45310,289069.26
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Leesbrook,45376,287277
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Positive Steps Oldham,45348,283630.1
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45341,275035.45
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45349,274196.28
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45369,270432.94
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45342,267267.13
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45302,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45328,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45364,252330.2
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45341,247988.54
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Acquisition Of Equipment,H Jenkinson & Co Ltd,45322,243921.38
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Bloom Procurement Services Ltd,45308,243180
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45378,242468.05
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Leesbrook,45322,240475
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45378,238661.54
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45342,235527.81
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Rochdale Borough Council Debt Recovery,45362,235097
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45341,233734.45
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45299,232012.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45376,219890.24
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45359,219368.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Imagine Act & Succeed,45320,213813.6
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45299,213720.06
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45359,211244.41
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45348,211189.98
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45330,209727.08
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45322,208987.34
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45375,207246.49
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45322,203299.08
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45350,203076.15
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Arthur J. Gallagher Insurance Brokers Limited,45327,202741.44
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45364,202330.18
People,Children´s Services,"Education, Skills & Early Years",Post 16 Service,Services - Professional Fees,Positive Steps Oldham,45299,200000
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45355,198056.99
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Arthur J. Gallagher Insurance Brokers Limited,45341,197262.28
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45299,193555.02
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45341,193292.28
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parenting Support,Action Together CIO,45349,189023
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45336,186846.64
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Services - Professional Fees,Carnall Farrar Limited,45373,185000
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Services - Payments To Contractors,Carnall Farrar Limited,45351,185000
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45376,168925.22
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45328,166236
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45355,163011.91
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45302,161241.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45377,161128.45
Place,Economy,Economy,Estates,Premises Service Charges,Savills UK Limited,45344,160762.63
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45365,160087
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45316,158152.39
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Harmony Trust Ltd T/A Greenhill Academy,45303,158079.33
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45306,158037.72
Place,Economy,Economy,Property Management,Premises Service Charges,Savills UK Limited,45302,155663.16
People,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Grants,Oldham Coliseum Theatre Ltd,45367,147000
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Action Together CIO,45315,146659.75
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45295,143024.15
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Comfort Call Limited,45310,142542.4
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Possibilities CIC,45320,142542.4
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Rowan Ashworth Ltd,45316,141551.99
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Hathershaw College,45303,139045.37
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Cromwood Housing Ltd,45358,138254.07
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Crompton House School,45322,137635.57
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45363,135785.63
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45317,135500
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45348,135500
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Cromwood Housing Ltd,45337,135400.07
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Harmony Trust Ltd T/A Greenhill Academy,45377,135176.76
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45301,135000
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Cromwood Housing Ltd,45365,132318.36
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45309,132200
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45364,128992.51
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45369,128901.56
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45296,128673.95
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Cromwood Housing Ltd,45301,128230.71
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45358,125880
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45336,125721.72
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45376,123770
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Limeside,45303,121656.75
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,MioCare Services Ltd,45301,121223.56
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45324,120690.97
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Coppice Primary Academy,45303,120147.82
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45362,120041.85
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Cranmer Education Trust TA Mayfield Primary School,45377,118054.67
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45336,115400
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45378,115400
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45299,114175.99
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45322,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45342,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45371,113946.95
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45372,113100
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Hathershaw College,45377,112934
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45358,112530
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45313,111591.02
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45334,111591.02
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45363,111591.02
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45322,111555.78
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45322,111183.9
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45322,110699.21
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45329,110559.5
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45349,110119.73
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45377,109853.77
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45314,108580.06
