Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,14-Feb-24,51301507920,-£700.00,Redacted Personal Data,INDIVIDUAL,OPPD - Cost of Care - East Cambs - Over 65,East Cambs - O P Team - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
Cambridgeshire County Council,09-Feb-24,51301908690,"-£1,219.25",ASKHAM PLACE PD,CARE ESTABLISHMENT,OPPD - Under 65 - City South,Countywide PD Service - Care,Residential Care
