SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period December 2023,,,,,,
Supplier,Amount,Transaction date,Cost Centre,Account,Department,Summary of Expenditure
0151 Entertainments,"3,450.00",22/11/2023,GN34,R4556,Communities,A.C. - St.Oswald Neth & Orrell - St Oswalds Ward
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,06/12/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,985.55,06/12/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,619.20",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,800.00",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,605.28",06/12/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,816.00",06/12/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1st Steps Day Nursery,544.00,18/10/2023,EA01,R4344,Education Excellence,Early Years And Childcare - Pay-External Providers
24x7 Ltd,"1,088.00",30/11/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,723.00",28/11/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,884.67",28/11/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"2,660.00",28/11/2023,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"3,071.67",30/06/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,244.88",28/11/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.67",28/11/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"5,523.54",28/11/2023,YL12,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"6,519.79",28/11/2023,YL60,R3305,Education Excellence,Post 16 Transport - Specialist Transport Fixed Route
