SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period April 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
24x7 Ltd,"3,071.66",22/03/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,110.62",22/03/2023,YL65,R3310,Education Excellence,Travel Support Team - Out of Borough Transport costs
24x7 Ltd,"3,234.12",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,442.67",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.66",22/03/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"4,305.83",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,118.60",22/03/2023,YL60,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"6,114.90",22/03/2023,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"7,023.72",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"9,015.98",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
4PB,"87,000.00",06/03/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
7BR,935.00,19/04/2023,SL80,R2453,Corporate Resources,Coroners - Fees - Legal
8x8 UK Limited,"4,562.80",07/04/2023,GF16,R2655,Corporate Resources,Customer Services Team - Computer Costs
A A Molyneux Builders Ltd,"5,278.28",02/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
A A Molyneux Builders Ltd,"5,830.84",28/02/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
A E Yates Ltd,"55,450.03",22/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
A Star Support Services Ltd.,910.00,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A1 STREAMLINE ROAD MARKINGS LTD,"1,162.50",31/03/2023,HS06,R2021,Communities,DSW (Dunes Splashworld) - Equipment - Purchase
Aaron Crest Care Home,"1,040.00",26/04/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
AAT (GB) LTD,"5,922.00",08/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
AAT (GB) LTD,"6,435.00",08/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Abbegale Lodge (2006) Li,539.12,26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,609.90,26/04/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,749.12,26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,826.60,26/04/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,467.48",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AN10,R4046,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
Abbegale Lodge (2006) Li,"2,791.80",26/04/2023,AG25,R4041,Adult Social Care,Social Support : Support For Social Isolation / Other - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,908.10",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,916.53",26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,936.02",26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,936.02",26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,290.34",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,795.05",26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,795.05",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,075.35",26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,075.35",26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,075.35",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,871.30",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"12,291.50",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
