SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period May 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbegale Lodge (2006) Li,"-34,378.82",21/06/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"-30,290.81",21/06/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Anchor Trust,"-27,687.80",21/06/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Supplier Name Redacted,"-27,524.00",21/06/2023,AL05,R4054,Adult Social Care,Learning Disability Support -Adults 18-64 - Community Support
Supplier Name Redacted,"-26,700.00",27/06/2023,SG61,R3031,Operational In-House Services,Green Sefton Service - Land Management - Vehicles - Repairs And Maintenance
Avalon Resid'L Homes Ltd,"-26,042.48",21/06/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Locharwoods N H,"-25,882.17",21/06/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Laburnum House (Shaw) Ltd TA Bloomcare,"-22,803.86",21/06/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Autism Initiatives,"-19,162.08",21/06/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Apollo Care Liverpool,"-16,510.00",22/06/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Highpoint Care ( West Derby) Ltd,"-16,450.56",21/06/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Impression Health and Support Liverpool Ltd (Derby House),"-13,500.00",21/06/2023,AP05,R4042,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Nursing Ho
Stocks Hall Care Homes Ltd,"-11,240.46",21/06/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
