SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period July 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Autism Initiatives,"-2,706.00",18/07/2024,AP05,R4054,Adult Social Care,Physical Support - Adults 18-64 - Community Support
Autism Initiatives,"-2,512.13",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Supplier Name Redacted,"-2,435.52",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Home Instead Liverpool Central and North,"-2,253.00",12/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Rosebank,"-2,230.60",18/07/2024,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Unity Homes Ltd,"-2,155.25",18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Midplant Ltd,"-2,105.43",18/07/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Supplier Name Redacted,"-2,074.80",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Unity Homes Ltd,"-2,061.91",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Rosebank,"-2,005.17",18/07/2024,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Thornton Hall,"-2,005.17",18/07/2024,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
Supplier Name Redacted,"-1,946.55",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Options for Supported Living Ltd,"-1,878.24",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
 Yes Care,"-1,676.29",18/07/2024,AL05,R4054,Adult Social Care,Learning Disability Support -Adults 18-64 - Community Support
Care Confidence Ltd,"-1,662.82",11/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Embrace Care Limited,"-1,649.53",18/07/2024,AP10,R4047,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Nursing Homes
Supplier Name Redacted,"-1,608.65",27/06/2024,HA09,R2440,Communities,Programming - Fees - Music
Glade R H,"-1,403.62",18/07/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Southport Rest Home,"-1,359.28",18/07/2024,AP10,R4062,Adult Social Care,Physical Support - Older People 65+ - Transitional Beds - Residential
Autism Initiatives,"-1,353.00",18/07/2024,AL05,R4054,Adult Social Care,Learning Disability Support -Adults 18-64 - Community Support
Royal Masonic Ben Inst,"-1,303.36",18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Green Heys & Kemp Lodge Care Home,"-1,260.38",18/07/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Glade R H,"-1,253.01",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
CRAIGNAIR CARE LTD,"-1,247.78",18/07/2024,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
Autism Initiatives,"-1,238.76",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Assured Care Southport Limited.,"-1,228.92",22/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bloomcare,"-1,221.43",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
DHCH14 The Brunswick,"-1,203.10",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Choices Activity And,"-1,198.62",18/07/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
Prime Care Gb Ltd,"-1,191.06",18/07/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Cic,"-1,183.99",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Autism Initiatives,"-1,148.04",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Tudor Bank N H,"-1,145.80",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Thornton Hall,"-1,134.34",18/07/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
ICare GB Ltd,"-1,082.40",18/07/2024,AP05,R4054,Adult Social Care,Physical Support - Adults 18-64 - Community Support
Assured Care Southport Limited.,"-1,034.88",22/07/2024,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
Locharwoods N H,"-1,002.59",18/07/2024,AN10,R4045,Adult Social Care,Mental Health Support - Older People 65+ - Residential - Short Term
Nazareth House Rh,"-1,002.59",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Sbs Care Homes Ltd,-902.33,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Autism Initiatives,-902,18/07/2024,AP05,R4054,Adult Social Care,Physical Support - Adults 18-64 - Community Support
Local Solutions,-843.12,15/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
ICare GB Ltd,-830.78,03/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Warrencare Ltd,-819.71,12/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Click Travel,-787.5,01/08/2024,PH01,R2723,Health and Wellbeing,"Admin & Development - Officers Travel, Subsistence & Conference Expenses"
Prime Care Gb Ltd,-718.42,18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
DHCH2 Dovehaven House,-707.49,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
