SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period September 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,EXPLANATION OF EXPENDITURE
1 2 1 In The Community Ltd,691.56,12/09/2024,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,691.68,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,717.04,12/09/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64-Day Care
1 2 1 In The Community Ltd,717.12,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,922.24,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,922.24,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,075.68",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,152.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,434.24",12/09/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,434.24",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,440.00",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,792.60",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,792.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"1,792.80",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"2,605.28",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"3,000.00",12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
1 2 1 In The Community Ltd,"3,073.60",12/09/2024,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget-Day Care
24x7 Ltd,"3,926.67",15/08/2024,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel-Out of Borough Transport costs
365 Support Limited,541.20,12/09/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64-Community Support
