,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","190,754.38","190,754.38"
12/10/2023,LIMOUSINES AND TAXICABS,SumUp Cresta Cars pr,210.60,,
12/10/2023,LIMOUSINES AND TAXICABS,SumUp Cresta Cars pr,142.80,,
13/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,52.00,,
13/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,32.95,,
16/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,26.94,,
17/10/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,238.84,,
17/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,179.97,,
18/10/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,-11.39,,
18/10/2023,"ARTIST SUPPLY STORES, CRAFT SHOPS",Hobbycraft Trading Lim,26.00,,
18/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,82.51,,
19/10/2023,VARIETY STORES,PAYPAL ARGOSDIRECT,692.95,,
19/10/2023,VARIETY STORES,PAYPAL ARGOSDIRECT,35.00,,
19/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,36.00,,
19/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.SEFTON.GOV.UK (ICO,10.50,,
19/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.SEFTON.GOV.UK (ICO,10.50,,
21/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,89.82,,
22/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,-22.00,,
17/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,548.25,,
20/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,182.75,,
21/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,"1,185.52",,
24/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,307.00,,
13/12/2023,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEYTRAVEL,68.80,,
18/12/2023,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,67.80,,
28/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,550.60,,
16/11/2023,PREMIER INN,PREMIER INN,65.00,,
23/11/2023,TRAVELODGE,TRAVELODGE,66.28,,
24/11/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE SWAN HOTEL,220.00,,
12/12/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE BOLD HOTEL,300.00,,
15/12/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE BOLD HOTEL,175.00,,
24/11/2023,FAST FOOD RESTAURANTS,Just Eat,67.30,,
19/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-36.00,,
15/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,MERSEY TRAVEL,67.80,,
15/11/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",STORAGE KING LIVERPOOL,99.55,,
15/11/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,308.88,,
17/11/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,300.50,,
17/11/2023,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",CITIZENCARD,30.00,,
20/11/2023,"ARTIST SUPPLY STORES, CRAFT SHOPS",Hobbycraft Trading Lim,75.00,,
21/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,169.85,,
22/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,83.95,,
23/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,11.48,,
23/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,12.98,,
23/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,160.97,,
23/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,MERSEY TRAVEL,20.00,,
23/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,MERSEY TRAVEL,10.00,,
24/11/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,37.42,,
24/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WIRRAL MBC,11.00,,
25/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,118.93,,
27/11/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",STORAGE KING LIVER,60.60,,
04/12/2023,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ADAMS SELFSTORE LLP,96.95,,
05/12/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,MERSEY TRAVEL,101.70,,
07/12/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,179.00,,
08/12/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KNOWSLEY MBC,35.00,,
12/12/2023,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",HAPPY BEDS,50.00,,
14/12/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",STORAGE KING LIVERPOOL,30.99,,
14/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,49.99,,
14/12/2023,LIMOUSINES AND TAXICABS,UBER TRIP,8.91,,
15/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,TESCO ONLINE,42.00,,
18/12/2023,BOWLING ALLEYS,TENPIN.CO.UK,69.60,,
19/12/2023,BOWLING ALLEYS,TENPIN.CO.UK,-30.00,,
19/12/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",STORAGE KING LIVERPOOL,103.95,,
20/12/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,82.50,,
21/12/2023,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",BARRY S SKIP HIRE,235.20,,
22/12/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,55.00,,
24/12/2023,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,46.50,,
28/12/2023,REAL ESTATE AGENTS AND MANAGERS-RENTALS,GUESTAWAYS,770.00,,
04/12/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk HD3KU3Z25,94.96,,
10/10/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,11.90,,
10/10/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,281.64,,
20/10/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
06/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,295.32,,
06/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,176.53,,
13/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,295.28,,
17/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,204.18,,
20/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,60.13,,
24/11/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
24/11/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
27/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,147.83,,
27/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,175.36,,
