SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period September 2023,,,,,,,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE,,,,,,
Abbegale Lodge (2006) Li,539.12,14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,596.20,14/09/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances,,,,,,
Abbegale Lodge (2006) Li,749.12,14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,826.60,14/09/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term,,,,,,
Abbegale Lodge (2006) Li,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,829.32",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN10,R4046,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AG25,R4041,Adult Social Care,Social Support : Support For Social Isolation / Other - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"2,940.36",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"3,608.60",14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"3,608.60",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"3,800.56",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"3,800.56",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Abbegale Lodge (2006) Li,"3,800.56",14/09/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbendon Healthcare Limited,"2,970.04",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbey Healthcare Westmoreland Ltd,"3,109.12",14/09/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Abbey Wood Park Nursing Home,"-2,040.00",14/09/2023,AM10,R4049,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Nursing- Short Term,,,,,,
Abbey Wood Park Nursing Home,-550.58,14/09/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbey Wood Park Nursing Home,"1,444.44",14/09/2023,AN10,R4047,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Nursing Homes,,,,,,
Abbey Wood Park Nursing Home,"2,745.24",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbey Wood Park Nursing Home,"3,083.24",14/09/2023,AN10,R4047,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Nursing Homes,,,,,,
Abbeydale Nursing Home,"3,392.32",14/09/2023,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho,,,,,,
Abbeydale Nursing Home,"5,544.00",14/09/2023,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"-1,145.30",14/09/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term,,,,,,
Abbeyfield North Mersey,-706.63,14/09/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term,,,,,,
Abbeyfield North Mersey,"1,212.57",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"1,250.48",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"1,385.52",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"1,551.84",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"1,557.60",14/09/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term,,,,,,
Abbeyfield North Mersey,"2,004.27",14/09/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term,,,,,,
Abbeyfield North Mersey,"2,672.36",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"2,672.36",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"2,672.36",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"3,817.66",14/09/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Abbeyfield North Mersey,"5,153.84",14/09/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term,,,,,,
ABL Health Ltd,"4,916.00",12/09/2023,YS75,R4051,Children's Social Care,CWD - Care Packages - Domiciliary Care,,,,,,
ABL Health Ltd,"4,916.00",12/09/2023,YS75,R4051,Children's Social Care,CWD - Care Packages - Domiciliary Care,,,,,,
ABL Health Ltd,"50,206.75",01/09/2023,PH30,R4341,Health and Wellbeing,IWS- Smoking & Tobacco - Payments To NHS- General,,,,,,
Abzorb Group,"1,763.15",07/09/2023,YE28,R2615,Children's Social Care,Supporting Families Programme - Mobile Telephones,,,,,,
Accelerate Property Group,942.00,25/08/2023,BI53,R4344,Economic Growth and Housing,Next Steps Accommodation Programme (NSAP) - Pay-External Providers,,,,,,
Access UK Ltd,"1,650.00",01/09/2023,AB25,R2655,Adult Social Care,Central Services - Computer Costs,,,,,,
Access UK Ltd,"1,650.00",04/09/2023,AB25,R2655,Adult Social Care,Central Services - Computer Costs,,,,,,
Access UK Ltd,"5,450.00",30/08/2023,AB25,R2655,Adult Social Care,Central Services - Computer Costs,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AM10,R4046,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term,,,,,,
Accomodating Care,"2,598.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Accomplish Group Lifestyles Ltd,603.96,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,603.96,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,603.96,14/09/2023,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,603.96,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,603.96,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,605.12,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,680.76,14/09/2023,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,729.39,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,756.40,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,756.40,14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,756.40,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,794.22,14/09/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,794.22,14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,794.22,14/09/2023,AG25,R4043,Adult Social Care,Social Support : Support For Social Isolation / Other - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,794.22,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,006.60",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,006.60",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,006.60",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,006.60",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,134.60",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,509.90",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,512.80",14/09/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,531.71",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,588.44",14/09/2023,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,588.44",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,588.44",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,588.44",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,588.44",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,891.00",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"1,966.64",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,269.20",14/09/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,269.20",14/09/2023,AG25,R4043,Adult Social Care,Social Support : Support For Social Isolation / Other - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,269.20",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,269.20",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,483.47",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,647.40",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"2,647.40",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,019.80",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,019.80",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,019.80",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,019.80",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,355.24",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,479.44",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,706.36",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,706.36",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,971.10",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,971.10",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"3,971.10",14/09/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"4,376.31",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"4,765.32",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"4,765.32",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"7,412.72",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"7,984.20",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"7,984.20",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Accomplish Group Lifestyles Ltd,"8,447.04",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
