SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period September 2023,,,,,,,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,633.65,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,657.03,14/09/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,657.03,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,844.87,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,844.87,14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,985.55,14/09/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,056.09",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,161.70",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,314.06",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,619.20",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,642.58",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,642.58",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,642.58",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"1,642.58",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"2,400.00",14/09/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care,,,,,,
1 2 1 In The Community Ltd,"2,816.00",14/09/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care,,,,,,
1880 Ltd,829.89,22/09/2023,GN35,R5145,Communities,A.C. - North Southport - Payment To Organisation,,,,,,
24-7 Locks Ltd,"1,239.25",01/09/2023,GN05,R2461,Communities,Vulnerable Victims Advocates - Security Charges,,,,,,
365 Support Limited,517.44,14/09/2023,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support,,,,,,
3C Payment UK Ltd,550.72,31/08/2023,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges,,,,,,
3C Payment UK Ltd,"1,112.71",31/08/2023,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges,,,,,,
3LG print Ltd,"1,960.00",31/08/2023,CAP1,C1000,Capital,Capital - Capital Expenditure,,,,,,
A Star Support Services Ltd.,910.00,14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
A Star Support Services Ltd.,"4,727.50",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
A&F Sprinklers Ltd,"1,248.00",31/08/2023,BC20,R2024,Highways and Public Protection,Bootle Multi Storey Car Park - Equipment - Repair & Maintenance,,,,,,
AA Signs,"2,499.00",20/09/2023,BT23,R2498,Economic Growth and Housing,British Musical Fireworks - Major Events,,,,,,
AA Signs,"5,307.00",11/09/2023,BT22,R2498,Economic Growth and Housing,Southport Airshow - Major Events,,,,,,
Aaron Crest Care Home,"1,040.00",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
AAT (GB) LTD,"1,669.00",12/09/2023,AE32,R2052,Adult Social Care,"NHSÊ Equipment, Aids & Adaptations - Aids, Appliances And Adaptations",,,,,,
