Detail Spend Analysis by Account ,,,
,,,
,,,
08/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,14.37
08/02/2023,BOOK STORES,AMZN Mktp UK 1Q6IW2VC4,33.68
09/02/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",www.anyvan.com,268
09/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,236
10/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14
10/02/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",www.anyvan.com,340
13/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,11
13/02/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC CALL CEN,11
13/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,11
14/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,40.28
15/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-38
15/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,76
15/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,114
16/02/2023,DISCOUNT STORES,ARGOS LTD,538.95
17/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,16.98
21/02/2023,DISCOUNT STORES,ARGOS LTD,399
21/02/2023,DISCOUNT STORES,ARGOS LTD,198.95
23/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,49.99
23/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,49.69
23/02/2023,"GROCERY STORES, SUPERMARKETS",ASDA GEORGE COM LEEDS,264.45
24/02/2023,MISCELLANEOUS GENERAL MERCHANDISE,WILKO.COM,38.8
24/02/2023,MISCELLANEOUS GENERAL MERCHANDISE,WILKO.COM,37.7
24/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.SEFTON.GOV.UK (ICO,10
28/02/2023,DEPARTMENT STORES,eBay O 22-09756-15683,45.98
01/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,53.95
02/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,257.97
02/03/2023,REAL ESTATE AGENTS AND MANAGERS-RENTALS,ONE VISION HOUSING,246.72
03/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,190.19
03/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,22.99
05/03/2023,"GROCERY STORES, SUPERMARKETS",ASDA GEORGE COM LEEDS,-34.5
07/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,33.98
08/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,35
09/03/2023,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",IANSYST LTD,20.85
12/03/2023,"GROCERY STORES, SUPERMARKETS",ASDA GEORGE COM LEEDS,-12
12/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,33.99
14/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,45.93
14/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,44.98
15/03/2023,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH,PAULS PLACE,97
15/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14
15/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,28
17/03/2023,DISCOUNT STORES,ARGOS LTD,420
24/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,57.99
24/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14
28/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,65
30/03/2023,POSTAL SERVICES-GOVERNMENT ONLY,POST OFFICE COUNTER,16
30/03/2023,POSTAL SERVICES-GOVERNMENT ONLY,POST OFFICE COUNTER,69
30/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,319.9
30/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,176.98
21/02/2023,"AUTOMOTIVE PARTS, ACCESSORIES STORES",HALFORDS E.COMM,77
04/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 166XM1I94,80.98
15/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1A2Q11LK4,136.04
15/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1A6HE1LK4,45.35
17/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1A4RM4TG4,26.97
18/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1A0C58X64,21.98
29/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1O1QW0PL4,12.99
31/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1O2YE1QB4,153.96
13/02/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1382L6O34,64.98
13/02/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1Q10L5UX4,95.96
21/02/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 137EE2IY4,65.98
04/03/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1L2VR89P4,12.6
