,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","194,654.58","194,654.58"
28/02/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,74.50,,
01/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,33.00,,
06/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,74.50,,
07/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEYTRAVEL,45.00,,
11/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,22.00,,
11/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,26.50,,
13/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,37.30,,
15/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,74.50,,
20/03/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,"1,250.00",,
22/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,149.00,,
25/03/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,160.00,,
26/03/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,794.70,,
26/03/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,160.00,,
28/03/2024,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",MERSEY TRAVEL,22.00,,
30/01/2024,PREMIER INN,PREMIER INN,82.99,,
14/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",CASA FRESA LIMITED,632.00,,
23/02/2024,PREMIER INN,PREMIER INN,125.00,,
26/02/2024,TRAVELODGE,TRAVELODGE,89.51,,
26/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",240-467-260 DEPOSIT,200.00,,
27/02/2024,TRAVELODGE,TRAVELODGE,92.51,,
29/02/2024,TRAVELODGE,TRAVELODGE,67.51,,
29/02/2024,TRAVELODGE,TRAVELODGE,73.51,,
12/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",BREEZE-GUEST-HOUSE,280.00,,
20/03/2024,TRAVELODGE,TRAVELODGE,75.51,,
20/03/2024,TRAVELODGE,TRAVELODGE,249.49,,
03/01/2024,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ARMADILLO - LIVERPOOL,388.80,,
05/01/2024,LIMOUSINES AND TAXICABS,GOLDLINE,950.00,,
06/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,61.16,,
07/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,31.98,,
08/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-35.00,,
08/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,70.00,,
08/01/2024,CHILD CARE SERVICES,LITTLE ACORNS CIC,20.88,,
09/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,35.00,,
09/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,137.89,,
10/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,42.60,,
11/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
11/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
12/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
12/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
12/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
15/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
15/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
17/01/2024,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",BRITISH GAS ONLINE,30.00,,
18/01/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,103.95,,
19/01/2024,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,-33.00,,
19/01/2024,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,66.00,,
22/01/2024,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ARMADILLO - LIVERPOOL,388.80,,
25/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,152.00,,
31/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,22.00,,
01/02/2024,"GROCERY STORES, SUPERMARKETS",ASDA STORES 5849,70.00,,
01/02/2024,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,59.99,,
02/02/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,146.95,,
02/02/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,76.00,,
02/02/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,155.95,,
05/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-8564061-77,18.98,,
05/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KNOWSLEY MBC,33.00,,
05/02/2024,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",TEAM SPORT KARTING,65.16,,
07/02/2024,"BUILDING MATERIALS, LUMBER STORES",SCREWFIX DIR LTD,-49.99,,
07/02/2024,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ARMADILLO - LIVERPOOL,47.99,,
07/02/2024,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ARMADILLO - LIVERPOOL,3.00,,
08/02/2024,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,35.00,,
08/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,35.00,,
09/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-7.50,,
09/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
