SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period August 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
1 2 1 In The Community Ltd,"1,152.80",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,434.24",15/08/2024,Physical Support - Adults 18-64,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,434.24",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,440.00",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,792.60",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,792.80",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,792.80",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,845.00",23/08/2024,Learning Disability Support -Adults 18-64,R5064,Adult Social Care,Learning Disability Support -Adults 18-64 - Direct Payment Surpluses
1 2 1 In The Community Ltd,"2,605.28",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"3,073.60",15/08/2024,Learning Disabilities-Pooled Budget,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"10,320.00",15/08/2024,Learning Disability Support -Adults 18-64,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
24x7 Ltd,"1,120.00",29/07/2024,Independent / Non Maintained Special School SEN travel,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"1,884.67",15/08/2024,Independent / Non Maintained Special School SEN travel,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"1,947.50",15/08/2024,SEN Transport to Primary Schools,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"2,390.83",29/07/2024,SEN Transport to Special Schools,R3310,Education Excellence,SEN Transport to Special Schools - Out of Borough Transport costs
24x7 Ltd,"2,660.00",29/07/2024,SEN Transport to Secondary Schools,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"2,660.00",15/08/2024,SEN Transport to Secondary Schools,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"2,881.66",29/07/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,103.00",15/08/2024,Independent / Non Maintained Special School SEN travel,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,244.88",29/07/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,244.88",15/08/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.67",29/07/2024,Independent / Non Maintained Special School SEN travel,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"3,544.67",15/08/2024,Independent / Non Maintained Special School SEN travel,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"5,000.25",29/07/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,523.54",29/07/2024,SEN Transport to Primary Schools,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,523.54",15/08/2024,SEN Transport to Primary Schools,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"6,310.29",29/07/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
