SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period January 2023,,,,,,
Supplier,Amount,Date,Cost Centre,Account,Department,Summary of Expenditure
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"3,200.00",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"3,745.00",04/01/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Avalon Resid'L Homes Ltd,"11,760.00",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
AvePoint UK Ltd,"88,920.00",30/01/2023,GF63,R2655,Corporate Resouces,ICT Contracts - Computer Costs
Ballicom Ltd,685.15,12/10/2022,GF30,R2655,Corporate Resouces,ICT - Rechargeable Costs - Computer Costs
Bank View Hire Ltd,525.00,26/01/2023,SV23,R3301,Operational In-House Services,Hired Account - Hired Transport General
Bank View Hire Ltd,525.00,24/01/2023,SV23,R3301,Operational In-House Services,Hired Account - Hired Transport General
Bank View Hire Ltd,525.00,29/12/2022,SV23,R3301,Operational In-House Services,Hired Account - Hired Transport General
Bank View Hire Ltd,957.67,21/12/2022,SV23,R3301,Operational In-House Services,Hired Account - Hired Transport General
Bank View Hire Ltd,"1,371.33",23/01/2023,SV23,R3301,Operational In-House Services,Hired Account - Hired Transport General
Barbour EHS Ltd,"3,000.00",25/10/2022,GF03,R2868,Corporate Resouces,Finance - Risk and Audit Services - Subscriptions
Barchester Group,"1,170.68",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Barchester Group,"1,451.64",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Barchester Group,"1,982.00",04/01/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term
Barchester Group,"2,269.32",04/01/2023,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Barchester Group,"2,314.00",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Barchester Group,"2,968.93",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Barchester Group,"7,420.29",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Barchester Healthcare - Sherwood Court,"5,400.00",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Bate & Holland Funeral Services Ltd,"11,175.00",01/01/2023,SL80,R2436,Corporate Resouces,Coroners - Fees - Funeral Directors
Bauer Radio T/A Rock FM,"1,482.75",31/12/2022,HA01,R2927,Communities,The Atkinson - Advertising & Marketing
Beechkeys Ltd t/a The Aurora Group,"2,253.00",06/12/2022,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Beechkeys Ltd t/a The Aurora Group,"2,571.00",06/12/2022,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Beechkeys Ltd t/a The Aurora Group,"4,261.00",30/09/2022,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Beechkeys Ltd t/a The Aurora Group,"13,984.00",09/12/2022,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Beechwood (Liverpool) Ltd,526.40,04/01/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Beechwood (Liverpool) Ltd,"2,780.84",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Beechwood (Liverpool) Ltd,"4,410.76",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Beechwood (Liverpool) Ltd,"5,433.12",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Beechwood (Liverpool) Ltd,"5,623.00",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Beechwood (Liverpool) Ltd,"11,043.16",04/01/2023,AL05,R4042,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Nursing Ho
Bellfred Limited T/A Radfield Home Care Liverpool North,"-3,649.00",10/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,522.00,10/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Bellfred Limited T/A Radfield Home Care Liverpool North,540.00,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,555.50,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,584.00,10/01/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,616.00,10/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,654.00,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,896.00,10/01/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,916.00,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,940.00,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,940.00,10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,955.50,10/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,116.00",10/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,263.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,458.00",10/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,614.00",10/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,832.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,880.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,880.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,880.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,923.00",10/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,958.00",10/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"1,995.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,003.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,051.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,088.50",10/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,136.50",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,220.00",10/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,307.50",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"2,868.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"3,760.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"4,102.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"4,102.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bellfred Limited T/A Radfield Home Care Liverpool North,"4,102.00",10/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Belong Limited,"2,280.00",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Bennett Workplace Solutions Ltd,"4,205.00",16/01/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Bennett Workplace Solutions Ltd,"4,291.00",13/01/2023,AE32,R2052,Adult Social Care,"NHS  Equipment, Aids & Adaptations - Aids, Appliances And Adaptations"
Benridge Care Homes Ltd,"-3,400.72",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"-2,389.70",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,-860.88,04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,558.12,04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,821.40,04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"1,080.00",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"1,140.81",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"1,481.96",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"2,849.25",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"2,905.00",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Benridge Care Homes Ltd,"2,905.00",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Benridge Care Homes Ltd,"3,010.90",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"3,124.99",04/01/2023,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"3,492.63",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Benridge Care Homes Ltd,"3,764.16",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Benridge Care Homes Ltd,"4,080.00",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Bernard Taylor Partnership Ltd,"7,570.00",19/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
Bernard Taylor Partnership Ltd,"8,516.25",19/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
Bes Rehab Ltd,630.65,24/11/2022,YS81,R2052,Children's Social Care,"Childrens Special Equipment - Aids, Appliances And Adaptations"
Bes Rehab Ltd,800.00,24/01/2023,YS81,R2052,Children's Social Care,"Childrens Special Equipment - Aids, Appliances And Adaptations"
Bes Rehab Ltd,945.55,15/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
Bethshan Nursing Home Lt,"2,252.00",04/01/2023,AL10,R4041,Adult Social Care,Learning Disability Support - Older People 65+ - Private Residential Care Rest Homes
Bigdude Hotels Limited,"4,333.32",06/01/2023,YS28,R2116,Children's Social Care,Locality South - Personal Needs
Bigdude Hotels Limited,"4,333.41",12/01/2023,YS28,R2116,Children's Social Care,Locality South - Personal Needs
Bigdude Hotels Limited,"5,820.83",26/12/2022,BI39,R4344,Communities,Housing Accommodation-Bed & Breakfast - Pay-External Providers
Bigdude Hotels Limited,"6,404.16",16/01/2023,BI39,R4344,Communities,Housing Accommodation-Bed & Breakfast - Pay-External Providers
Bigdude Hotels Limited,"6,487.50",19/12/2022,BI39,R4344,Communities,Housing Accommodation-Bed & Breakfast - Pay-External Providers
Bigdude Hotels Limited,"6,820.83",02/01/2023,BI39,R4344,Communities,Housing Accommodation-Bed & Breakfast - Pay-External Providers
Binary North Ltd,587.00,20/01/2023,HA01,R1001,Communities,The Atkinson - Repair & Mtce Of Land & Buildings
Birkdale Park Nursing Home,637.64,04/01/2023,AM10,R4047,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Property Case - Residential Nursing Homes
Birkdale Park Nursing Home,"1,347.64",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,278.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Birkdale Park Nursing Home,"2,342.04",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,342.04",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,342.04",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,342.04",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,342.04",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Birkdale Park Nursing Home,"2,599.16",04/01/2023,AM10,R4047,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Property Case - Residential Nursing Homes
Birkdale Park Nursing Home,"3,678.64",04/01/2023,AL10,R4042,Adult Social Care,Learning Disability Support - Older People 65+ - Private Residential Care Nursing Ho
Birtenshaw Merseyside,805.77,01/01/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Birtenshaw Merseyside,"1,043.15",01/01/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Birtenshaw Merseyside,"2,120.00",01/01/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Birtenshaw Merseyside,"4,745.00",01/01/2023,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Birtenshaw Merseyside,"5,412.33",01/01/2023,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Birtenshaw Merseyside,"5,663.67",01/01/2023,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Birtenshaw Merseyside,"6,096.33",01/01/2023,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Blair House Care Home Limited,749.12,04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"1,034.96",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,021.20",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,102.84",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,102.84",04/01/2023,AP05,R4042,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,102.84",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,102.84",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,281.16",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,281.20",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,282.68",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,294.24",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,305.52",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,432.92",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,565.04",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,565.04",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"2,565.04",04/01/2023,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Blair House Care Home Limited,"3,600.00",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Blair House Care Home Limited,"3,600.00",04/01/2023,AG25,R4042,Adult Social Care,Social Support : Support For Social Isolation / Other - Private Residential Care Nursing Ho
Blair House Care Home Limited,"3,985.71",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Blair House Care Home Limited,"4,426.80",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Bloom Procurement Services,"1,627.50",09/01/2023,UA01,R2451,Corporate,Corporate Costs - Fees & Services - Other
Bluebird Care (Sefton),927.50,09/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"1,125.40",09/01/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"1,436.65",09/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Bluebird Care (Sefton),"1,579.15",09/01/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"1,760.50",09/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"2,945.70",09/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"3,857.80",09/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"4,030.00",09/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Bluebird Care (Sefton),"4,445.00",09/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Bluebird Care (Sefton),"4,560.40",09/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Blundellsands Kindergarten,"1,634.50",01/12/2022,EH05,R2451,Education Excellence,Resourced Nursery  Sen Support - Fees & Services - Other
BLUNDELLSANDS METHODIST CHURCH,800.00,29/01/2023,BI54,R4171,Communities,Resettlement - Voluntary & Faith Sector
Bmc Ltd,"1,086.98",11/01/2023,TB02,H0101,Operational In-House Services,Stock / Stock Adjustment Account - Stock - Hawthorne Road Depot - Vehicle Maintenance
Bolinda,"1,246.46",17/01/2023,HL04,R2248,Communities,Bibliographical Service - Books
Bolinda,"1,710.93",17/01/2023,HL04,R2248,Communities,Bibliographical Service - Books
BONDCARE WILLINGTON LIMITED,"2,168.00",04/01/2023,AL10,R4042,Adult Social Care,Learning Disability Support - Older People 65+ - Private Residential Care Nursing Ho
Bosco Society,"8,000.00",01/01/2023,BI49,R4344,Economic Growth and Housing,Rough Sleeper Initiative - Pay-External Providers
Bosco Society,"231,956.00",19/12/2022,BI35,R4344,Economic Growth and Housing,Homelessness Grant - Pay-External Providers
Boston Construction & Surveyors Ltd,"6,340.00",13/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
Boston Construction & Surveyors Ltd,"9,945.00",09/01/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Brenntag UK Ltd,663.30,04/01/2023,HS05,R2030,Communities,BLC (Bootle Leisure Centre) - Equipment Furniture & Materials
Brenntag UK Ltd,"1,173.69",26/01/2023,HS03,R2030,Communities,Meadows - Equipment Furniture & Materials
Bridge Inn Community Farm,"1,060.60",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
British Telecom Plc,"4,133.67",28/12/2022,GF38,R2613,Corporate Resouces,Central Landline Telephones - Landline Telephones (Excluding Arvato)
British Telecom Plc,"4,204.76",28/01/2023,GF38,R2613,Corporate Resouces,Central Landline Telephones - Landline Telephones (Excluding Arvato)
Brook View Health Care Ltd,"2,450.72",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Brook View Health Care Ltd,"13,263.88",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Brook View Health Care Ltd,"13,875.00",04/01/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Brook View Health Care Ltd,"13,875.00",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Brook View Health Care Ltd,"14,588.04",04/01/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Brook View Health Care Ltd,"15,866.04",04/01/2023,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho
Brothers Of Charity,567.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Brothers Of Charity,917.74,04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Brothers Of Charity,"1,019.66",04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Brothers Of Charity,"1,019.66",04/01/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Brothers Of Charity,"1,019.66",04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Brothers Of Charity,"1,100.76",04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Brothers Of Charity,"1,153.08",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Brothers Of Charity,"1,210.20",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
