SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period November 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
0151 LTD,"1,150.00",28/11/2024,GN03,R2969,Communities,Miscellaneous Expenses - High Street Innovation Fund
1 2 1 In The Community Ltd,691.56,07/11/2024,AN05,R4053,Adult Social Care,Day Care - Mental Health Support - Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AG25,R4053,Adult Social Care,Day Care - Social Support : Support For Social Isolation / Other
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,691.68,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,717.04,07/11/2024,AP05,R4053,Adult Social Care,Day Care - Physical Support - Adults 18-64
1 2 1 In The Community Ltd,717.12,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,922.24,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,922.24,07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,075.68",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,152.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,434.24",07/11/2024,AP05,R4053,Adult Social Care,Day Care - Physical Support - Adults 18-64
1 2 1 In The Community Ltd,"1,434.24",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,440.00",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,792.60",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,792.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"1,792.80",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"2,400.00",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"2,605.28",07/11/2024,AL05,R4053,Adult Social Care,Day Care - Learning Disability Support -Adults 18-64
1 2 1 In The Community Ltd,"3,073.60",07/11/2024,AH10,R4053,Adult Social Care,Day Care - Learning Disabilities-Pooled Budget
24x7 Ltd,"-2,736.16",15/11/2024,YL36,R3307,Education Excellence,Specialist Transport Ad Hoc - Independent / Non Maintained Special School SEN travel
24x7 Ltd,"1,120.00",15/08/2024,YL36,R3310,Education Excellence,Out of Borough Transport costs - Independent / Non Maintained Special School SEN travel
24x7 Ltd,"2,280.00",13/11/2024,YL60,R3305,Education Excellence,Specialist Transport Fixed Route - Post 16 Transport
24x7 Ltd,"2,390.83",15/08/2024,YL31,R3310,Education Excellence,Out of Borough Transport costs - SEN Transport to Special Schools
24x7 Ltd,"2,736.16",31/10/2024,YL36,R3307,Education Excellence,Specialist Transport Ad Hoc - Independent / Non Maintained Special School SEN travel
24x7 Ltd,"2,881.66",15/08/2024,YL31,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Special Schools
24x7 Ltd,"3,110.58",13/11/2024,YL12,R3310,Education Excellence,Out of Borough Transport costs - SEN Transport to Primary Schools
24x7 Ltd,"4,639.17",13/11/2024,YL12,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Primary Schools
24x7 Ltd,"5,000.25",15/08/2024,YL31,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Special Schools
24x7 Ltd,"5,656.50",13/11/2024,YL12,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Primary Schools
24x7 Ltd,"5,732.92",13/11/2024,YL36,R3310,Education Excellence,Out of Borough Transport costs - Independent / Non Maintained Special School SEN travel
24x7 Ltd,"5,747.50",13/11/2024,YL36,R3310,Education Excellence,Out of Borough Transport costs - Independent / Non Maintained Special School SEN travel
24x7 Ltd,"6,103.33",13/11/2024,YL22,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Secondary Schools
24x7 Ltd,"6,310.29",15/08/2024,YL31,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Special Schools
24x7 Ltd,"6,519.75",13/11/2024,YL60,R3305,Education Excellence,Specialist Transport Fixed Route - Post 16 Transport
24x7 Ltd,"6,530.92",13/11/2024,YL22,R3305,Education Excellence,Specialist Transport Fixed Route - SEN Transport to Secondary Schools
