Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,Butleigh Primary School,Teaching Personnel Ltd,2023-05-22 00:00:00,SC01-000010480|SC-ISC-100005340|S0002959|5638674256,572.55,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Butleigh Primary School,Teaching Personnel Ltd,2023-05-22 00:00:00,SC01-000010480|SC-ISC-100005341|S0002959|5638674256,572.55,Fees & Hired - Prof/Tech Serv Curric
Somerset Council,2023-09-30 00:00:00,Coroners,R MILLARD & SON,2023-05-22 00:00:00,SC01-000010482|6775|S0002698|5639175175,1212.5,Direct Transport - Conveyance of Bodies
Somerset Council,2023-09-30 00:00:00,SAXONVALE,Frome SV Ltd,2023-05-22 00:00:00,SC01-000010488|6780|S0000494|5639295785,3791.5,Fees & Hired - Fees & Hired
Somerset Council,2023-09-30 00:00:00,SSom LT Phys Support - Day Care,Laurel Homecare Limited,2023-05-22 00:00:00,SC01-000010524|6799|S0013557|5638632775,8085.24,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,ICM - Discharge to Assess,Butterfields Home Services Limited,2023-05-22 00:00:00,SC01-000010569|6835|S0009118|5638361537,4375,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,ICM - Discharge to Assess,Butterfields Home Services Limited,2023-05-22 00:00:00,SC01-000010571|6837|S0009118|5638361537,5037.5,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Martock Primary School,Figs Catering Ltd,2023-05-22 00:00:00,SC01-000010618|SC-ISC-100005374|S0009429|5638363158,832.8,Catering - Catering
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Covenant Care Limited,2023-05-22 00:00:00,SC01-000010674|6902|S0014360|5639005003,10697.5,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Homecare Tton,Crimson Hill Support Limited,2023-05-22 00:00:00,SC01-000010685|6909|S0004972|5639299336,1579.46,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Covenant Care Limited,2023-05-22 00:00:00,SC01-000010706|6921|S0014360|5639005003,3261.12,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Covenant Care Limited,2023-05-22 00:00:00,SC01-000010709|6923|S0014360|5639005003,7183.4,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Supp Living Tton,Covenant Care Limited,2023-05-22 00:00:00,SC01-000010710|6924|S0014360|5639005003,5685.64,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,Frome Community College,AQA,2023-05-22 00:00:00,SC01-000010718|SC-ISC-100005432|S0003210|5638553368,3872,Fees & Hired - Examination Fees (Schools only)
