Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,11/07/2023,PAY01692006,ESTM,Estates Management,COUN,310.61,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,12/07/2023,PAY01692194,ESTM,Estates Management,COUN,350.00,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Sport and Recreation,4RC,New Construction n Conversion,PB,New Construction n Conversion,PBL5,19/07/2023,PAY01694090,SPLE,Sport and Leisure,COUN,33350.74,Capital,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,19/07/2023,PAY01694116,PSHG,Private Sector Housing,COUN,528.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,New Construction n Conversion,PB,New Construction n Conversion,PBL5,26/07/2023,PAY01696473,PSHG,Private Sector Housing,COUN,5340.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Supplies and Services,E,Services,EF,11/07/2023,PAY01692184,LEGS,Legal Services,COUN,2858.97,Revenue,Abbotstone Law LLP
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Fostering,FLF,Supplies and Services,E,Miscellaneous Expenses,EM,03/07/2023,PAY01689967,CHIC,Fostering and Adoption,COUN,250.00,Revenue,ABC Magazine Sussex
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,27/07/2023,PAY01697209,LDCC,Learning Disability Comm Care,COUN,-483.20,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,27/07/2023,PAY01697209,LDCC,Learning Disability Comm Care,COUN,6674.32,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Indirect Employees,B,Training,BM,21/07/2023,PAY01695980,HREM,Repairs & Maintenance,COUN,370.83,Revenue,Able Skills Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,12/07/2023,PAY01692347,HHIA,Housing Invt & Asset Mngmnt,COUN,1708.04,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,21/07/2023,PAY01695661,HHIA,Housing Invt & Asset Mngmnt,COUN,4058.11,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Cultural and Related Serv,BVACUL,Recreation and Sport,REC,Third Party Payments,F,Independent Units of Council,FA,26/07/2023,PAY01696811,SPLE,Sport and Leisure,COUN,24336.00,Revenue,ACC Leisure Maintenance Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,05/07/2023,PAY01690452,PSHG,Private Sector Housing,COUN,9180.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,11/07/2023,PAY01692096,PSHG,Private Sector Housing,COUN,4460.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,20/07/2023,PAY01694809,HREM,Repairs & Maintenance,COUN,485.00,Revenue,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Parking Services,PRK,Supplies and Services,E,Services,EF,26/07/2023,PAY01696468,PARK,Parking Services,COUN,1500.00,Revenue,Access Independent Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Supplies and Services,E,Services,EF,25/07/2023,PAY01696333,COMU,Communications,COUN,4000.00,Revenue,Access Intelligence Media & Communications Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Supplies and Services,E,Communications n Computing,EH,04/07/2023,PAY01690276,ICTA,ICT,COUN,5000.00,Revenue,Access UK Limited 
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,26/07/2023,PAY01696619,PHYS,Physical Support,COUN,8286.76,Revenue,Accomplish Group
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Other Env Services,4EV,New Construction n Conversion,PB,New Construction n Conversion,PBL5,28/07/2023,PAY01697979,MJPR,Major Projects,COUN,2960.00,Capital,Accord Housing Association Ltd
