Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,19/10/2023,PAY01722505,MENH,Mental Health Support,COUN,1793.92,Revenue,17CARE UK LTD T/A CARE SPECTRUM
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,03/10/2023,PAY01716529,ESTM,Estates Management,COUN,162.50,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Sport and Recreation,4RC,New Construction n Conversion,PB,New Construction n Conversion,PBL5,03/10/2023,PAY01716529,CIPK,City Parks,COUN,5699.03,Capital,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,20/10/2023,PAY01722626,ESTM,Estates Management,COUN,237.50,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Economic Development,ECD,Supplies and Services,E,Grants n Subscriptions,EK,06/10/2023,PAY01718237,CMNY,Communities and Equalities,COUN,1000.00,Revenue,A Little Poorly Brighton
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Mgmt and Support Services,EMG,Indirect Employees,B,Training,BM,23/10/2023,PAY01722996,ESOT,ES - Other,COUN,715.00,Revenue,A1 (Sussex) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,New Construction n Conversion,PB,New Construction n Conversion,PBL5,04/10/2023,PAY01716842,PSHG,Private Sector Housing,COUN,6424.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Fostering,FLF,Supplies and Services,E,Miscellaneous Expenses,EM,04/10/2023,PAY01716819,CHIC,Fostering and Adoption,COUN,250.00,Revenue,ABC Magazine Sussex
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,19/10/2023,PAY01721943,LDCC,Learning Disability Comm Care,COUN,-483.20,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,19/10/2023,PAY01721943,LDCC,Learning Disability Comm Care,COUN,6674.32,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Other Yth Jstce,FYX,Indirect Employees,B,Training,BM,19/10/2023,PAY01722595,ASER,Adolescent Service,COUN,830.00,Revenue,Ability Smart Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,11/10/2023,PAY01718805,HHSS,Head of Strategy & Supply,COUN,688.75,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,20/10/2023,PAY01722726,HHSS,Head of Strategy & Supply,COUN,2181.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,31/10/2023,PAY01725215,HHIA,Housing Invt & Asset Mngmnt,COUN,5719.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,04/10/2023,PAY01716954,HHIA,Housing Invt & Asset Mngmnt,COUN,1087.82,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,20/10/2023,PAY01722764,HHIA,Housing Invt & Asset Mngmnt,COUN,2870.28,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,25/10/2023,PAY01723463,HHIA,Housing Invt & Asset Mngmnt,COUN,482.18,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,19/10/2023,PAY01722311,FABS,Facilities & Building Services,COUN,312.50,Revenue,ABS Electrical Supplies Ltd t/a SELS
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,24/10/2023,PAY01723245,FABS,Facilities & Building Services,COUN,535.25,Revenue,ABS Electrical Supplies Ltd t/a SELS
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,03/10/2023,PAY01716649,PSHG,Private Sector Housing,COUN,5556.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,12/10/2023,PAY01719424,HHSS,Head of Strategy & Supply,COUN,6450.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,13/10/2023,PAY01720191,HHSS,Head of Strategy & Supply,COUN,2995.00,Capital,Access & Automation Ltd
