Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Environmental Health,EVH,Supplies and Services,E,Equip't Furniture n Materials,EA,26/04/2023,PAY01669571,SCOM,Safer Communties,COUN,576.00,Revenue,1env Solutions Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Fostering,FLF,Supplies and Services,E,Services,EF,06/04/2023,PAY01665027,CHIC,Fostering and Adoption,COUN,750.00,Revenue,A Step at a Time Therapies
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Mgmt and Support Services,EMG,Indirect Employees,B,Training,BM,14/04/2023,PAY01666493,ESOT,ES - Other,COUN,1100.00,Revenue,A1 (Sussex) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs Leaving Care,FAL,Supplies and Services,E,Miscellaneous Expenses,EM,19/04/2023,PAY01667396,CHPL,Children`s Placements,COUN,690.00,Revenue,ABC Removals
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,12/04/2023,PAY01665255,LDCC,Learning Disability Comm Care,COUN,-438.80,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,12/04/2023,PAY01665255,LDCC,Learning Disability Comm Care,COUN,6515.40,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Othr LAC Svcs,FLX,Third Party Payments,F,Other Establishments,FH,21/04/2023,PAY01668881,CHPL,Children`s Placements,COUN,17850.00,Revenue,Abiding Limited T/A Abiding Care
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Indirect Employees,B,Training,BM,05/04/2023,PAY01662971,POLI,Policy and Initiatives,COUN,1428.00,Revenue,Ability Net Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,05/04/2023,PAY01663147,HHIA,Housing Invt & Asset Mngmnt,COUN,400.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,21/04/2023,PAY01668258,HHSS,Head of Strategy & Supply,COUN,365.00,Capital,ABIR Architects Ltd
