Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,09/02/2024,PAY01754521,MENH,Mental Health Support,COUN,4628.40,Revenue,17CARE UK LTD T/A CARE SPECTRUM
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Environmental Health,EVH,Supplies and Services,E,Equip't Furniture n Materials,EA,13/02/2024,PAY01755119,SCOM,Safer Communties,COUN,805.40,Revenue,1env Solutions Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Ed Other LA Attrib Sch,ELA,Transport Related,D,Other Transport Costs,DG,15/02/2024,PAY01756352,HTST,Home to School Transport,COUN,12650.19,Revenue,24x7 LTD
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Ed Other LA Attrib Sch,ELA,Transport Related,D,Public Transport,DD,15/02/2024,PAY01756352,HTST,Home to School Transport,COUN,3815.28,Revenue,24x7 LTD
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Mgmnt and Suppt Services,4PT,New Construction n Conversion,PB,New Construction n Conversion,PBL5,08/02/2024,PAY01753876,PROP,Property and Design,COUN,16924.50,Capital,3D Aluminium Plas Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Education Services,4ED,New Construction n Conversion,PB,New Construction n Conversion,PBL5,06/02/2024,PAY01752797,EYRS,Early Years,COUN,1065.77,Capital,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,09/02/2024,PAY01754176,ESTM,Estates Management,COUN,1362.50,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Sport and Recreation,4RC,New Construction n Conversion,PB,New Construction n Conversion,PBL5,27/02/2024,PAY01759137,SPLE,Sport and Leisure,COUN,4212.00,Capital,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,29/02/2024,PAY01759760,ESTM,Estates Management,COUN,280.00,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,New Construction n Conversion,PB,New Construction n Conversion,PBL5,02/02/2024,PAY01751805,PSHG,Private Sector Housing,COUN,6888.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,New Construction n Conversion,PB,New Construction n Conversion,PBL5,21/02/2024,PAY01757321,PSHG,Private Sector Housing,COUN,8100.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Fostering,FLF,Supplies and Services,E,Miscellaneous Expenses,EM,02/02/2024,PAY01751758,CHIC,Fostering and Adoption,COUN,250.00,Revenue,ABC Magazine Sussex
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,09/02/2024,PAY01754347,LDCC,Learning Disability Comm Care,COUN,-483.20,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,09/02/2024,PAY01754347,LDCC,Learning Disability Comm Care,COUN,6674.32,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,08/02/2024,PAY01753587,HHIA,Housing Invt & Asset Mngmnt,COUN,3025.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,15/02/2024,PAY01755816,HHIA,Housing Invt & Asset Mngmnt,COUN,900.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,02/02/2024,PAY01752169,HHIA,Housing Invt & Asset Mngmnt,COUN,218.44,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,07/02/2024,PAY01753072,HHIA,Housing Invt & Asset Mngmnt,COUN,958.83,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,14/02/2024,PAY01755300,HHIA,Housing Invt & Asset Mngmnt,COUN,947.55,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,29/02/2024,PAY01760085,HHIA,Housing Invt & Asset Mngmnt,COUN,1053.79,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,09/02/2024,PAY01754463,FABS,Facilities & Building Services,COUN,589.65,Revenue,ABS Electrical Supplies Ltd t/a SELS
