Month,Supplier,Account Code,Transaction Ref,£
May,CLARITY INFORMATION SOLUTIONS LTD,Bank Charges,AAAplkAAMAACdJjAAW,2696.54
May,CLARITY INFORMATION SOLUTIONS LTD,Bank Charges,AAAplkAAMAACdJjAAa,2886.38
May,CLARITY INFORMATION SOLUTIONS LTD,Bank Charges,AAAplkAAMAACdJjAAZ,1037.51
May,Clarus Networks Limited,Hardware - Purchase,AAAplkAAFAADFHAAAW,2500
May,Cloudbreak Analysis Limited,External Training Courses,AAAplkAAMAACdRbAAQ,700
May,Cloudbreak Analysis Limited,External Training Courses,AAAplkAAMAACdRbAAR,700
May,College of Policing - Coventry,External Training Courses,AAAplkAAMAACdMaAAC,4247
May,College of Policing - Coventry,External Training Courses,AAAplkAAMAACdMaAAE,7398
May,College of Policing - Coventry,External Training Courses,AAAplkAAMAACdHnAAD,7805.35
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADK2JAAC,1650
May,College of Policing - Coventry,External Training Courses,AAAplkAAMAACdMaAAA,3081.5
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADK2rAAX,1316.5
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADK2fAAH,4151.5
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADKyJAAG,1670
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADK2rAAV,1316.5
May,College of Policing - Coventry,External Training Courses,AAAplkAAFAADK2rAAT,628
May,College of Policing - Coventry,External Assessment Centres,AAAplkAAMAACdObAAN,4057.02
May,College of Policing - Coventry,External Assessment Centres,AAAplkAAFAADKxxAAC,17057.95
May,College of Policing - Coventry,External Assessment Centres,AAAplkAAMAACdHnAAA,592.02
May,Communicorp UK Ltd,Operational Equipment,AAAplkAAFAADK2PAAQ,3940
May,Conflict Management Plus Ltd,Consultants Fees,AAAplkAAMAACdLtAAK,1352
May,Control-F Ltd,External Training Courses,AAAplkAAMAACdHhAAA,7200
May,COONEEN PROTECTION LTD,Uniform,AAAplkAAFAADK2yAAL,515.5
May,COONEEN PROTECTION LTD,Uniform,AAAplkAAFAADK2JAAJ,689.31
May,COONEEN PROTECTION LTD,Uniform,AAAplkAAFAADK2JAAN,721.7
May,CPOSA,Insurance NPCC/Supt Legal Prot,AAAplkAAFAADFHQAAT,2800
May,CROSSBOW EDUCATION LTD,Software Licences,AAAplkAAFAADKwBAAS,9347
May,Crown Pet Foods Ltd,Dogs - Feed/Kennel/Vets,AAAplkAAMAACdLbAAK,827.5
May,Crown Pet Foods Ltd,Dogs - Feed/Kennel/Vets,AAAplkAAMAACdLbAAL,1491.25
May,CVL SYSTEMS LTD,Annual Servicing,AAAplkAAFAADFIYAAf,2498.75
May,CVL SYSTEMS LTD,Reactive Building Works,AAAplkAAFAADK1rAAP,695
May,CVL SYSTEMS LTD,Reactive Building Works,AAAplkAAMAACdRrAAU,1552
May,CVL SYSTEMS LTD,Reactive Building Works,AAAplkAAFAADKycAAL,615
May,CVL SYSTEMS LTD,Stationery & Office Materials,AAAplkAAFAADFIoAAa,6900
May,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAFAADFTuAAN,1083.33
May,CYCLESCHEME LTD,Sal Deductns - Cycle to Work,AAAplkAAFAADFLlAAC,1000
May,DATA PRO IT LTD,Hardware - Purchase,AAAplkAAMAACdPfAAD,2340
May,DATA PRO IT LTD,Hardware - Purchase,AAAplkAAMAACdPfAAG,1269
May,DATA PRO IT LTD,Break-Fix Expenses/Consumables,AAAplkAAFAADFIYAAQ,590
May,DESIGNS SIGNAGE SOLUTIONS LTD,Vehicles - Road,AAAplkAAMAACdRbAAD,1100
May,DFP SERVICES LTD,Annual Servicing,AAAplkAAFAADKvUAAM,544.5
May,DFP SERVICES LTD,Costs From Annual Servicing,AAAplkAAFAADK1rAAb,500
May,DFP SERVICES LTD,Reactive Building Works,AAAplkAAMAACdHDAAD,720
May,DFP SERVICES LTD,Reactive Building Works,AAAplkAAMAACdHDAAE,1041
May,Digital Hearing Care Solutions Ltd,Dyslexia Testing,AAAplkAAFAADKtJAAA,1225
May,Digital Hearing Care Solutions Ltd,Dyslexia Testing,AAAplkAAFAADKtJAAC,2535
May,Dodd Group (Midlands) Ltd,Commissioned Services,AAAplkAAFAADKuXAAA,19832.69
May,DR P WILLIAMS,Expert Statements,AAAplkAAFAADK2GAAA,525
May,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAFAADK2LAAD,782
May,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAFAADK2LAAY,759
May,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACdR6AAP,905
May,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACdIaAAA,1150
