Month,Supplier,Account Code,Transaction Ref,£
Jun,ACRC Ltd,Costs From Annual Servicing,AAAplkAAFAADdO3AAU,1445
Jun,ACRC Ltd,Planned Building Works,AAAplkAAFAADdP3AAG,3295
Jun,ACRC Ltd,Reactive Building Works,AAAplkAAFAADdP3AAJ,2995
Jun,ACRC Ltd,Reactive Building Works,AAAplkAAFAADdQXAAE,1895
Jun,ACRC Ltd,Reactive Building Works,AAAplkAAFAADdUVAAK,890
Jun,ACRC Ltd,Reactive Building Works,AAAplkAAFAADdQHAAJ,3695
Jun,ACS BUSINESS SUPPLIES LTD,Domestic Equipment,AAAplkAAMAACrO0AAS,606.15
Jun,ACS BUSINESS SUPPLIES LTD,Stationery & Office Materials,AAAplkAAFAADdUPAAX,540
Jun,Adecco UK Limited,Agency/Temp Staff,AAAplkAAMAACdMqAAQ,727.79
Jun,Adecco UK Limited,Agency/Temp Staff,AAAplkAAMAACdMqAAT,658.95
Jun,Adecco UK Limited,Agency/Temp Staff,AAAplkAAMAACdMqAAW,727.79
Jun,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADdPwAAc,708
Jun,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADdPwAAB,590
Jun,AERO HEALTHCARE LTD,First Aid Equip/Consumables,AAAplkAAFAADdPwAAD,708
Jun,AERO HEALTHCARE LTD,Operational Consum Equip/Mtn,AAAplkAAMAACdHSAAc,590
Jun,AIRSERVICES (UK),External Training Courses,AAAplkAAMAACdMUAAM,562.54
Jun,AIRWAVE SOLUTIONS LTD,Airwave Service Charges,AAAplkAAMAACdOOAAC,58007.76
Jun,AMAZON EU SARL,Operational Consum Equip/Mtn,AAAplkAAMAACdGTAAE,640
Jun,AMAZON EU SARL,Operational Equipment,AAAplkAAMAACdRdAAb,1666.64
Jun,AMAZON EU SARL,Operational Equipment,AAAplkAAMAACdJCAAB,533.28
Jun,AMP Clean Energy Services Limited,Annual Servicing,AAAplkAAMAACdHiAAO,500
Jun,Amplivox Ltd,Operational Consum Equip/Mtn,AAAplkAAMAACdHCAAe,4425
Jun,Animal Care Services Midlands Ltd - ACS,Seized Dogs,AAAplkAAFAADdU/AAB,19161.7
Jun,Animal Care Services Midlands Ltd - ACS,Seized Dogs,AAAplkAAFAADdUvAAR,15572.59
Jun,ARB Training,External Training Courses,AAAplkAAMAACdMXAAU,2391
Jun,ARKTIS ENDURANCE TEXTILES LTD,Uniform,AAAplkAAFAADdPnAAD,803.2
Jun,ASHFIELD DISTRICT COUNCIL,Rent,AAAplkAAFAADdTvAAX,3166.66
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPHAAc,22954
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPXAAd,864.52
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPnAAQ,691.61
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPnAAS,677.22
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPnAAU,691.61
Jun,ASHFIELD DISTRICT COUNCIL,General Rates,AAAplkAAFAADdPXAAf,979.79
