PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT)
02/01/2024,42 Bedford Row,HOUSING OPTIONS G FUND,HOUSING NEEDS,LEGAL FEES,600
02/01/2024,Alzheimers Society,VOLUNTARY SECTOR CONTRACTS,COMMUNITY MENTAL HEALTH,PAYMENTS TO VOLUNTARY SECTOR,70577.75
02/01/2024,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,3823.94
02/01/2024,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,4228.32
02/01/2024,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,5110.6
02/01/2024,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,4567.97
02/01/2024,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,1831.56
02/01/2024,Castle Water,HOSTELS: GENERAL,HOUSING NEEDS SERVICES - HRA,WATER AND SEWERAGE,-804
02/01/2024,Castle Water,HOSTELS: GENERAL,HOUSING NEEDS SERVICES - HRA,WATER AND SEWERAGE,1480.99
02/01/2024,Clarke Willmott LLP,HOUSING MAMAGEMENT SERVICES,HOUSING MANAGEMENT DIVISION - HRA,LEGAL FEES,350
02/01/2024,Clarke Willmott LLP,HOUSING MAMAGEMENT SERVICES,HOUSING MANAGEMENT DIVISION - HRA,LEGAL FEES,350
02/01/2024,Clarke Willmott LLP,HOUSING MAMAGEMENT SERVICES,HOUSING MANAGEMENT DIVISION - HRA,LEGAL FEES,280
