PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/09/2023,33 Bedford Row,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,700,
01/09/2023,Achieve Together Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,8014.92,
01/09/2023,Achieve Together Ltd,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,8474.65,
01/09/2023,Action for Children Services Ltd,LEAVING CARE ACCOMMODATION ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,6485.25,
01/09/2023,Action for Children Services Ltd,LEAVING CARE ACCOMMODATION ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,2730,
01/09/2023,Allied Care Services Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,6478.2,
01/09/2023,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,21145.83,
01/09/2023,Alternative Learning Trust t/a North West Kent Alternative Provision Service,CWCN: SEN ACADEMIES AND FREE SCHOOLS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,3000,
01/09/2023,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,594,
01/09/2023,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,288.4,
01/09/2023,Aurora Nexus,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,246639.68,
01/09/2023,Aurora Nexus,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,39594.68,
01/09/2023,Aurora Nexus,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,43203.89,
01/09/2023,BNP Paribas Real Estate,PLANNING DEVELOPMENT CONTROL,PLANNING,CONSULTANCY FEES,3000,
01/09/2023,BSW Heating Limited,CAPITALISED REPAIRS,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2239.99,
01/09/2023,BSW Heating Limited,CAPITALISED REPAIRS,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2020,
01/09/2023,Bright Heart Education Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,3712.76,
01/09/2023,Browne Jacobson,ADULT SERVICES BUSINESS SUPPORT,SERVICE DEVELOPMENT AND  IMPROVEMENT UNIT,LEGAL FEES,2360.1,
01/09/2023,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,2649.12,
01/09/2023,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,2123.64,
01/09/2023,By Education (Lewisham) Ltd,SCHOOLS PFI CHANGE REQUESTS,SGM ESTATE COMPLIANCE,PRIVATE CONTRACTORS PAYMENT - OTHER,5518.95,
01/09/2023,CANTERBURY CARE AND SUPPORT LTD,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,30274.5,
01/09/2023,Care 2 Share 1 Ltd,"MASH, REFERRAL & ASSESSMENT MANAGEMENT","REFERRAL AND ASSESSMENT, MASH, SAFE SPACE & EDT",SECTION 17 - COMMISSIONED FAMILY SUPPORT SERVICES,1227,
01/09/2023,Care Outlook Ltd,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,5767.32,
01/09/2023,Care Outlook Ltd,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,312994.52,
01/09/2023,Carefocus Theraputic Children's Homes,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,20659.28,
01/09/2023,Careoline Carers Services Ltd,CLA-CARE (Excludes placement costs),CORPORATE PARENTING,CLIENT TRAVEL- TAXIS & OTHER,368.75,
01/09/2023,Careoline Carers Services Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,837.5,
01/09/2023,Careoline Carers Services Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,837.5,
01/09/2023,"Change, Grow, Live (CGL)",DAAT-ADULTS SUBSTANCE MISUSE SERVICE,DRUG ACTION TEAM,AGENCY STAFF,476838.5,
01/09/2023,"Change, Grow, Live (CGL)",DAAT-ADULTS SUBSTANCE MISUSE SERVICE,DRUG ACTION TEAM,AGENCY STAFF,476838.5,
01/09/2023,Channels and Choices,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,4596.38,
01/09/2023,Channels and Choices,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),3000,
01/09/2023,City of London,INTEGRATED SEXUAL HEALTH TARIFF(ISHT),SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,84655.69,
01/09/2023,City of London,INTEGRATED SEXUAL HEALTH TARIFF(ISHT),SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,85352.09,
