PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT ,DESCRIPTION,£ SPEND (EXCLUDING VAT,
01/02/2024,Achieve Together Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,4083.1,
01/02/2024,Anchor Foster Care Services,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),5442.6,
01/02/2024,Anchor Foster Care Services,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),5624.02,
01/02/2024,Anchor Foster Care Services,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),5624.02,
01/02/2024,Anthony Collins Solicitors LLP,GRADUATE & APPRENTICE SUPPORT,PEOPLE AND ORGANISATIONAL DEVELOPMENT,PROFESSIONAL SERVICES ,1250,
01/02/2024,Bevan Brittan LLP,GRADUATE & APPRENTICE SUPPORT,PEOPLE AND ORGANISATIONAL DEVELOPMENT,PROFESSIONAL SERVICES ,727.5,
01/02/2024,Bright Future Care Services Limited,CLA PLACEMENTS ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,1714.29,
01/02/2024,Bright Future Care Services Limited,CLA PLACEMENTS ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,5314.29,
01/02/2024,Cansford Laboratories Limited,FAMILY SUPPORT & SAFEGUARDING SERVICE MANAGEMENT,FAMILY SOCIAL WORK SERVICE,INDEPENDENT ASSESSMENT,446.29,
01/02/2024,Catford Regeneration Partnership Ltd,CORPORATE ESTATE RENTS RATES & SERVICE CHARGES,SGM CAPITAL PROGRAMME,RENTS PAYABLE,17750,
01/02/2024,Cedars Care Group,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2754.09,
01/02/2024,Chartwells,EMU: CATERING,EDUCATION CATERING,REFRESHMENTS AND CATERING,298277.71,
01/02/2024,Children of Colour Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4827.14,
01/02/2024,Children of Colour Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4827.14,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1708.8,
01/02/2024,City of London,INTEGRATED SEXUAL HEALTH TARIFF(ISHT),SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,73025.43,
01/02/2024,Community Building Management,LEAVING CARE ACCOMMODATION ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,1733.45,
01/02/2024,Community Housing Group,SUPP PEOPLE: YOUNG PEOPLE AT RISK,SUPPORTING PEOPLE,HEALTHCARE SERVICES - GENERAL,65045.5,
01/02/2024,Consort Frozen Foods Ltd,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,ARTS AND LEISURE SERVICES,507.12,
01/02/2024,Coram Voice,CHILDREN LOOKED AFTER COSTS,CORPORATE PARENTING,EMOTIONAL WELLBEING & MENTAL HEALTH SUPPORT,398.12,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,1188.88,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,8281.98,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,4784.64,
01/02/2024,Eileen Say Catering Equipment,KITCHEN EQUIMENT FOR UFSM,EDUCATION CATERING,CATERING EQUIPMENT,15632,
01/02/2024,Eliali MPC Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,12400,
01/02/2024,Redacted,SENSORY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,2506.08,
01/02/2024,Redacted,SUPPORT AND MEMORY COGNITION NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,2890.88,
