PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT)
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,678.28
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,549.94
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,659.68
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1186.99
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1186.99
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,730.36
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,730.36
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,1095.85
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,858.08
02/05/2023,Allan White Motors,FLEET SERVICES,FLEET SERVICES,VEHICLE HIRE,547.77
