PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT)
02/10/2023,1GC Family Law,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,925
02/10/2023,33 Bedford Row,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,1350
02/10/2023,Active Care Group,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,11589.53
02/10/2023,Active Care Group,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,10644.07
02/10/2023,Africa Advocacy Foundation,SEXUAL HEALTH IN PRIMARY CARE,SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,2500
02/10/2023,Belz Care Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,2780.7
02/10/2023,Birketts LLP,"PROPERTY, PLANNING & ENVIRONMENT",LAW,LEGAL FEES,431
02/10/2023,Breyer Group Plc,2023 - ATHELNEY (ROOF),CAPITAL,ASSETS UNDER CONSTRUCTION COST,445334.41
02/10/2023,BUPA Care Homes,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,2984.76
02/10/2023,BUPA Care Homes,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,3400
02/10/2023,Burntwood Lodge,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5169.66
