PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/11/2023,1GC Family Law,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,990,
01/11/2023,5 Pump Court,LEGAL COSTS,FAMILY SOCIAL WORK SERVICE,LEGAL FEES,650,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,776.8,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,699.12,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1165.2,
01/11/2023,Access for Living,MENTAL HEALTH SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1553.6,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,699.12,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,466.08,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,932.16,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1242.88,
01/11/2023,Access for Living,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,932.16,
01/11/2023,Access for Living,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,310.72,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,466.08,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,388.4,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,310.72,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,776.8,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,699.12,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1165.2,
01/11/2023,Access for Living,MENTAL HEALTH SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1553.6,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,699.12,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,466.08,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,932.16,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1398.24,
01/11/2023,Access for Living,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,932.16,
01/11/2023,Access for Living,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,310.72,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,466.08,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1087.52,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1009.84,
01/11/2023,Access for Living,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,699.12,
