Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
45055,GI,3201470,540,HC100185,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45070,II,4124859,2740,HC101284,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45070,II,4124860,3873.8,HC101284,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45054,II,4122637,6420,HC102766,Redacted,202402,Housing,Supplies & Services,No
45054,II,4122638,6440,HC102766,Redacted,202402,Housing,Supplies & Services,No
45061,II,4123090,6395,HC102766,Redacted,202402,Housing,Supplies & Services,No
45063,II,4123773,6424,HC102766,Redacted,202402,Housing,Supplies & Services,No
45061,II,4121213,3032,HC103195,Redacted,202402,Safeguarding and Family Support,Third Party Payments,No
45055,II,4122244,1573,HC103358,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45063,II,4123798,1077,HC103358,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45064,II,4123799,2094.38,HC103358,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45052,II,4122309,5869.55,HC103959,Redacted,202402,Housing,Supplies & Services,No
45061,II,4123246,420,HC104143,Redacted,202402,Housing,Premises-Related Expenditure,No
45061,II,4123248,420,HC104143,Redacted,202402,Housing,Premises-Related Expenditure,No
45055,GI,3201460,660,HC104888,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201454,534,HC106104,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201458,636,HC106104,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201467,570,HC106104,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201468,540,HC106104,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201469,636,HC106104,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201452,4333.33,HC106816,Redacted,202402,Housing,Premises-Related Expenditure,No
45055,GI,3201447,750,HC106831,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45065,GI,3205126,2122.51,HC107953,Redacted,202402,Housing,Premises-Related Expenditure,No
45065,GI,3205126,54641.76,HC107953,Redacted,202402,Housing,Supplies & Services,No
45065,GI,3205126,9896.1,HC107953,Redacted,202402,Safeguarding and Family Support,Supplies & Services,No
45055,GI,3201449,660,HC108221,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201448,510,HC108451,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201450,624,HC108905,Redacted,202402,Housing,Premises-Related Expenditure,Yes
45055,GI,3201451,570,HC109338,Redacted,202402,Housing,Premises-Related Expenditure,Yes
