Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
01/12/2023,GI,3279284,1400,HC201441,Browne Jacobson LLP Client Account,202409,Major Infrastructure Programme Board,Capital Expenditure,No
01/12/2023,GI,3279286,4605.53,HC105275,Ledbury Primary School Imprest,202409,Schools,Supplies & Services,No
01/12/2023,GI,3279356,514.15,HC129573,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
01/12/2023,GI,3279416,437.5,HC130588,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
01/12/2023,GI,3279432,1463.6,HC105573,Luston C P School Imprest,202409,Schools,Supplies & Services,No
04/12/2023,GI,3279577,746.13,HC130806,Redacted,202409,Education and Commissioning,Transport-Related Expenditure,Yes
04/12/2023,GI,3279578,1320,HC132346,Redacted,202409,Education and Commissioning,Transport-Related Expenditure,Yes
04/12/2023,GI,3279582,631.18,HC130597,Redacted,202409,Education and Commissioning,Transport-Related Expenditure,Yes
04/12/2023,GI,3279583,1123.62,HC130827,Redacted,202409,Education and Commissioning,Transport-Related Expenditure,Yes
04/12/2023,GI,3279585,434.95,HC101118,Bosbury C E Primary Imprest,202409,Schools,Supplies & Services,No
04/12/2023,GI,3279736,450,HC113047,Redacted,202409,Safeguarding and Family Support,Supplies & Services,No
05/12/2023,GI,3279852,29500,HC108643,Herefordshire Marches Federation - St Weonards Primary,202409,Strategic Finance,Support Services,No
05/12/2023,GI,3279854,1524.31,HC111924,Bromyard Community Transport Ltd,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279855,2221.9,HC112080,CVS Ledbury & District (Ledbury Ring & Ride),202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279856,1888.54,HC102478,Dore Community Transport,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279857,632.59,HC101381,Hay & District Dial a Ride,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279858,2399.89,HC103982,HVOSS,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279859,702.98,HC101379,Ross Country Cars,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279860,1917.28,HC110743,The Plynlimon Trust Community Car Scheme,202409,"Highways, Environment and Waste",Supplies & Services,No
05/12/2023,GI,3279861,7833.33,HC103982,HVOSS,202409,Talk Community Programme,Third Party Payments,No
05/12/2023,GI,3279862,464,HC200448,Redacted,202409,Physical Disabilities,Third Party Payments,Yes
05/12/2023,GI,3279863,750,HC106831,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279864,660,HC108221,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279865,624,HC108905,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279866,570,HC109338,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279867,816,HC110272,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279868,534,HC106104,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279869,630,HC116314,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279870,660,HC121939,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279871,780,HC122259,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279872,636,HC106104,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279873,660,HC124399,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279874,660,HC104888,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279875,600,HC124860,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279876,1100,HC125780,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279877,480,HC125894,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279878,480,HC125884,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279879,720,HC125945,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279880,570,HC106104,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279881,540,HC106104,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279882,636,HC106104,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279883,540,HC100185,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279884,570,HC126091,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279885,570,HC126091,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279886,2916.66,HC127457,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279887,660,HC111106,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279888,540,HC128740,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279889,720,HC111970,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279890,720,HC202862,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279891,636,HC130409,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279892,780,HC124399,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279893,3000,HC202928,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279894,780,HC124399,Redacted,202409,Housing,Premises-Related Expenditure,Yes
05/12/2023,GI,3279895,3166.66,HC128639,Redacted,202409,Housing,Premises-Related Expenditure,No
05/12/2023,GI,3279896,420,HC132119,Redacted,202409,Housing,Premises-Related Expenditure,Yes
06/12/2023,GI,3280009,692.22,HC116536,Much Birch CE School Imprest,202409,Schools,Supplies & Services,No
06/12/2023,GI,3280010,433.54,HC111024,Trinity Primary School (Imprest/Petty Cash),202409,Schools,Premises-Related Expenditure,No
06/12/2023,GI,3280010,3729.03,HC111024,Trinity Primary School (Imprest/Petty Cash),202409,Schools,Supplies & Services,No
07/12/2023,GI,3280290,3849.44,HC103069,Redacted,202409,Housing,Supplies & Services,No
07/12/2023,GI,3280291,1550,HC125994,Redacted,202409,Housing,Supplies & Services,No
07/12/2023,GI,3280292,2450,HC125794,Flint & Cook,202409,Commissioned Services,Supplies & Services,No
07/12/2023,GI,3280293,1780,HC132675,Redacted,202409,Commissioned Services,Supplies & Services,Yes
08/12/2023,GI,3280618,3668.14,HC121175,Redacted,202409,Housing,Employees,No
08/12/2023,GI,3280618,54121.69,HC121175,Redacted,202409,Safeguarding and Family Support,Employees,No
08/12/2023,GI,3280618,22588.27,HC121175,Matrix SCM Ltd,202409,Care Operations,Employees,No
08/12/2023,GI,3280618,18090.22,HC121175,Matrix SCM Ltd,202409,Central Childrens Directorate Costs,Employees,No
08/12/2023,GI,3280618,3800.53,HC121175,Matrix SCM Ltd,202409,Economy and Growth,Employees,No
08/12/2023,GI,3280618,3054.3,HC121175,Matrix SCM Ltd,202409,Education and Commissioning,Employees,No
08/12/2023,GI,3280618,27237.32,HC121175,Matrix SCM Ltd,202409,Governance and Legal Services,Employees,No
08/12/2023,GI,3280618,11346.59,HC121175,Matrix SCM Ltd,202409,"Performance, Quality Assurance and Safeguarding",Employees,No
08/12/2023,GI,3280618,2994.3,HC121175,Matrix SCM Ltd,202409,Prevention and Support,Employees,No
08/12/2023,GI,3280618,72227.41,HC121175,Matrix SCM Ltd,202409,Safeguarding and Family Support,Employees,No
08/12/2023,GI,3280618,8458.45,HC121175,Matrix SCM Ltd,202409,"Transformation, PMO and Performance",Employees,No
08/12/2023,GI,3280637,514.15,HC129573,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
08/12/2023,GI,3280668,946.92,HC132672,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
08/12/2023,GI,3280670,631.28,HC132670,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
08/12/2023,GI,3280673,709.73,HC132441,Redacted,202409,Safeguarding and Family Support,Third Party Payments,Yes
08/12/2023,GI,3280691,2059.72,HC111414,West Mercia  Womens Aid,202409,Safeguarding and Family Support,Supplies & Services,No
08/12/2023,GI,3280692,514.93,HC111414,West Mercia  Womens Aid,202409,Safeguarding and Family Support,Supplies & Services,No
08/12/2023,GI,3280693,500,HC132537,Redacted,202409,Safeguarding and Family Support,Supplies & Services,Yes
11/12/2023,GI,3280826,1596.56,HC110064,St James CE Primary School Imprest,202409,Schools,Supplies & Services,No
12/12/2023,GI,3280972,504.81,HC101118,Bosbury C E Primary Imprest,202409,Schools,Supplies & Services,No
12/12/2023,GI,3280973,4860,HC201005,NMiTE,202409,Holding Codes,Holding Codes,No
12/12/2023,GI,3280974,8865.6,HC201005,NMiTE,202409,Holding Codes,Holding Codes,No
12/12/2023,GI,3280975,1080,HC201005,NMiTE,202409,Holding Codes,Holding Codes,No
12/12/2023,GI,3280976,1258.4,HC127849,Friends of Castle Green CIC,202409,Holding Codes,Holding Codes,No
12/12/2023,GI,3280977,1440,HC127849,Friends of Castle Green CIC,202409,Holding Codes,Holding Codes,No
12/12/2023,GI,3280978,820,HC113047,Redacted,202409,Safeguarding and Family Support,Supplies & Services,No
12/12/2023,GI,3280979,452.4,HC107831,Much Marcle CE Primary School Imprest A/C,202409,Schools,Supplies & Services,No
12/12/2023,GI,3280980,681.08,HC111765,St Marys C.E.Primary Imprest (Fownhope),202409,Schools,Supplies & Services,No
13/12/2023,GI,3281031,2400,HC123715,Belvoir Hereford,202409,Commissioned Services,Supplies & Services,No
13/12/2023,GI,3281033,522.77,HC123355,Stonewater Limited,202409,Commissioned Services,Supplies & Services,No
13/12/2023,GI,3281035,424.5,HC132701,Redacted,202409,Housing,Supplies & Services,Yes
13/12/2023,GI,3281036,2480,HC132702,Redacted,202409,Housing,Supplies & Services,Yes
13/12/2023,GI,3281037,943.7,HC102673,Eardisley Primary School Imprest,202409,Schools,Supplies & Services,No
13/12/2023,GI,3282029,430.69,HC111475,Whitchurch Ce Primary (Imprest),202409,Schools,Supplies & Services,No
13/12/2023,GI,3282030,1763.3,HC102068,Cradley Primary School Imprest,202409,Schools,Supplies & Services,No
13/12/2023,GI,3282031,4254.03,HC121175,Redacted,202409,Housing,Employees,No
13/12/2023,GI,3282031,51188.65,HC121175,Redacted,202409,Safeguarding and Family Support,Employees,No
13/12/2023,GI,3282031,18063.1,HC121175,Matrix SCM Ltd,202409,Care Operations,Employees,No
13/12/2023,GI,3282031,25044.06,HC121175,Matrix SCM Ltd,202409,Central Childrens Directorate Costs,Employees,No
13/12/2023,GI,3282031,1866.28,HC121175,Matrix SCM Ltd,202409,Economy and Growth,Employees,No
13/12/2023,GI,3282031,7766.31,HC121175,Matrix SCM Ltd,202409,Governance and Legal Services,Employees,No
13/12/2023,GI,3282031,6063.63,HC121175,Matrix SCM Ltd,202409,"Performance, Quality Assurance and Safeguarding",Employees,No
