Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
20/07/2023,II,4133232,3540,HC126125,Attenti Consulting,202404,Central Childrens Directorate Costs,Employees,No
24/07/2023,II,4133831,3245,HC126125,Attenti Consulting,202404,Central Childrens Directorate Costs,Employees,No
31/07/2023,II,4135077,3540,HC126125,Attenti Consulting,202404,Central Childrens Directorate Costs,Employees,No
31/07/2023,II,4135078,3245,HC126125,Attenti Consulting,202404,Central Childrens Directorate Costs,Employees,No
31/07/2023,II,4135079,3894,HC126125,Attenti Consulting,202404,Central Childrens Directorate Costs,Employees,No
27/07/2023,II,4133392,2345,HC126267,Core Business Systems Limited T/A Cascade3d,202404,Prevention and Support,Supplies & Services,No
31/07/2023,II,4135168,697,HC126276,Imovesdance UK Ltd,202404,Schools,Supplies & Services,No
27/07/2023,II,4134613,6252,HC126281,Severn Wye Energy Agency,202404,Economy and Growth,Supplies & Services,No
25/07/2023,II,4122075,12150,HC126281,Severn Wye Energy Agency,202404,"Highways, Environment and Waste",Supplies & Services,No
31/07/2023,II,4135130,1325,HC126326,Redacted,202404,Governance and Legal Services,Supplies & Services,No
31/07/2023,II,4135133,475,HC126326,Redacted,202404,Governance and Legal Services,Supplies & Services,No
12/07/2023,II,4131923,32677,HC126348,Worcestershire Children First,202404,Central Childrens Directorate Costs,Third Party Payments,No
27/07/2023,II,4134690,23191.7,HC126356,Meadow Arts,202404,Holding Codes,Holding Codes,No
25/07/2023,II,4134102,1750,HC126371,Redacted,202404,Schools,Supplies & Services,Yes
25/07/2023,II,4134105,1250,HC126371,Redacted,202404,Schools,Supplies & Services,Yes
27/07/2023,II,4134540,1600,HC126371,Redacted,202404,Schools,Supplies & Services,Yes
27/07/2023,II,4134541,700,HC126371,Redacted,202404,Schools,Supplies & Services,Yes
20/07/2023,II,4133243,1000,HC126371,Redacted,202404,Schools,Support Services,Yes
26/07/2023,II,4134269,500,HC126371,Redacted,202404,Schools,Support Services,Yes
07/07/2023,GI,3222925,645,HC126483,Newham Removals,202404,Safeguarding and Family Support,Supplies & Services,No
25/07/2023,II,4134219,500,HC126558,Syed & Quinn Ltd,202404,Transformation and Improvement,Supplies & Services,No
