Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
17/11/2023,II,4148558,835,HC108836,Assessments & Learning,202408,Schools,Supplies & Services,No
17/11/2023,II,4148562,3386,HC124596,City & County of Swansea,202408,Schools,Supplies & Services,No
17/11/2023,II,4148566,2875,HC101109,Border Contracts Fencing Ltd,202408,Schools,Premises-Related Expenditure,No
17/11/2023,II,4148571,750,HC102982,Redacted,202408,Schools,Supplies & Services,Yes
24/11/2023,II,4148572,1528.8,HC100385,Alliance In Partnership,202408,Schools,Supplies & Services,No
17/11/2023,II,4148576,891,HC108191,OCR,202408,Schools,Supplies & Services,No
17/11/2023,II,4148577,4000,HC111685,Yeomans Travel Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148579,594.71,HC129215,Iris Software Limited,202408,Schools,Supplies & Services,No
17/11/2023,II,4148580,455.79,HC110030,Sports Directory UK,202408,Schools,Supplies & Services,No
17/11/2023,II,4148581,524.95,HC110030,Sports Directory UK,202408,Schools,Supplies & Services,No
17/11/2023,II,4148582,720,HC120123,Horizon Training,202408,Schools,Supplies & Services,No
17/11/2023,II,4148583,1680,HC125201,SSS Learning Ltd,202408,Schools,Employees,No
17/11/2023,II,4148584,4999,HC202760,Grazing Management Ltd,202408,Sustainable Living Programme Board,Capital Expenditure,No
17/11/2023,II,4148586,9000,HC130002,Redacted,202408,Safeguarding and Family Support,Supplies & Services,No
17/11/2023,II,4148591,886.77,HC132096,SITECH Support Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148592,530,HC102982,Redacted,202408,Schools,Supplies & Services,Yes
17/11/2023,II,4148595,700,HC106469,Grindles Coaches Ltd,202408,Schools,Transport-Related Expenditure,No
17/11/2023,II,4148596,663.99,HC109835,Siemens Financial Services Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148600,942.95,HC111941,Yorkshire Purchasing,202408,Schools,Supplies & Services,No
17/11/2023,II,4148613,1865.79,HC101861,Clearview Cleaning Services,202408,Schools,Premises-Related Expenditure,No
17/11/2023,II,4148622,1152.72,HC202735,Juniper Education Services Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148627,16265,HC104761,Herefordshire Marches Federation-Lord Scudamore,202408,Schools,Supplies & Services,No
17/11/2023,II,4148628,570.61,HC104761,Herefordshire Marches Federation-Lord Scudamore,202408,Schools,Supplies & Services,No
17/11/2023,II,4148629,20000,HC104761,Herefordshire Marches Federation-Lord Scudamore,202408,Schools,Supplies & Services,No
17/11/2023,II,4148633,1332,HC200096,Catercater Limited,202408,Schools,Supplies & Services,No
23/11/2023,II,4148636,6425,HC111431,West Midlands Employers,202408,Central Childrens Directorate Costs,Supplies & Services,No
17/11/2023,II,4148637,1539,HC117492,Redacted,202408,Herefordshire Council Capital,Capital Expenditure,No
17/11/2023,II,4148643,437,HC110573,The Courtyard Trust,202408,Schools,Supplies & Services,No
17/11/2023,II,4148644,468,HC101863,Clearwell Mine Management Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148650,4131,HC125844,Schools'Mutual Sickness Cost Pooling Scheme,202408,Schools,Employees,No
21/11/2023,II,4148656,6271,HC130238,Redacted,202408,Sustainable Living Programme Board,Capital Expenditure,Yes
17/11/2023,II,4148658,455,HC127151,Redacted,202408,"Performance, Quality Assurance and Safeguarding",Supplies & Services,Yes
17/11/2023,II,4148659,1067.78,HC128520,AHR Building Consultancy Ltd,202408,Children & Young People Capital,Capital Expenditure,No
17/11/2023,II,4148660,15707.76,HC128520,AHR Building Consultancy Ltd,202408,Children & Young People Capital,Capital Expenditure,No
17/11/2023,II,4148665,1050,HC100254,Redacted,202408,Schools,Supplies & Services,Yes
20/11/2023,II,4148666,3601.68,HC100385,Alliance In Partnership,202408,Schools,Supplies & Services,No
17/11/2023,II,4148668,1625,HC111053,Trustees Of Great Western Railway,202408,Strategic Assets,Premises-Related Expenditure,No
22/11/2023,II,4148669,1650,HC104102,Hope Under Dinmore G P C,202408,"Highways, Environment and Waste",Third Party Payments,No
17/11/2023,II,4148670,1110,HC100254,Redacted,202408,Schools,Supplies & Services,Yes
17/11/2023,II,4148678,4228.46,HC118977,Redacted,202408,Housing,Third Party Payments,No
17/11/2023,II,4148679,650,HC107851,Hereford Diocesan Board of Finance,202408,Schools,Supplies & Services,No
17/11/2023,II,4148686,1267.2,HC200096,Catercater Limited,202408,Schools,Supplies & Services,No
17/11/2023,II,4148690,1991.45,HC104761,Herefordshire Marches Federation-Lord Scudamore,202408,Schools,Supplies & Services,No
17/11/2023,II,4148693,14982.18,HC117989,Orbis Education & Care,202408,Dedicated Schools Grant,Supplies & Services,No
17/11/2023,II,4148694,16000,HC124494,Mercia Learning Ltd  inc Magikats,202408,Dedicated Schools Grant,Supplies & Services,No
17/11/2023,II,4148695,16000,HC124494,Mercia Learning Ltd  inc Magikats,202408,Dedicated Schools Grant,Supplies & Services,No
17/11/2023,II,4148696,15856,HC124494,Mercia Learning Ltd  inc Magikats,202408,Dedicated Schools Grant,Supplies & Services,No
17/11/2023,II,4148697,16120,HC124494,Mercia Learning Ltd  inc Magikats,202408,Dedicated Schools Grant,Supplies & Services,No
