Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,14/11/2023,90281241,"1,647.00",KING ATHELSTAN PRIMARY SCHOOL ,SCHOOL FUNDS,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,17/11/2023,90282231,"1,684.80",KING ATHELSTAN PRIMARY SCHOOL ,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,23/11/2023,90283493,"3,333.00",KING ATHELSTAN PRIMARY SCHOOL ,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281143,"4,233.60",KINGS MEADOW PRE-SCHOOL,ACADEMIC INSTNS - OTHER,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,14/11/2023,90281187,"2,178.00",KINGS MEADOW PRE-SCHOOL,ACADEMIC INSTNS - OTHER,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,09/11/2023,90280936,"1,674.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281040,"6,845.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281069,"2,923.59",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281106,"51,470.63",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281107,"1,897.50",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281163,"4,704.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,14/11/2023,90281253,"3,010.50",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,23/11/2023,90283494,"13,500.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,23/11/2023,90283495,"4,167.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,23/11/2023,90283496,"2,374.00",KINGS OAK PRIMARY SCHOOL,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,17/10/2023,70058648,"59,950.00",KINGSTON CARERS NETWORK,GRANTS & EX GRATIA PAYMENTS,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,20/10/2023,70057009,"106,033.50",KINGSTON CENTRE FOR INDEPENDENT LIVING,GRANTS & EX GRATIA PAYMENTS,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,20/10/2023,70058842,"4,300.00",KINGSTON CENTRE FOR INDEPENDENT LIVING,GRANTS & EX GRATIA PAYMENTS,Corporate & Communities,Publicity And Promotions,A45026
Royal Borough of Kingston,30/09/2023,70058788,"24,126.75",KINGSTON CHURCHES ACTION ON HOMELESSNESS,GRANTS & EX GRATIA PAYMENTS,Place,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,05/07/2023,70058891,759.98,KINGSTON CHURCHES ACTION ON HOMELESSNESS,GRANTS & EX GRATIA PAYMENTS,Place,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,05/07/2023,70059091,"15,204.50",KINGSTON CHURCHES ACTION ON HOMELESSNESS,GRANTS & EX GRATIA PAYMENTS,Place,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,12/10/2023,70058631,"9,040.00",Kingston International Film Festival Limited,GRANTS & EX GRATIA PAYMENTS,Place,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,01/11/2023,90284329,"10,330.84",BAGSHOT REHABILITATION  CENTRE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,18/09/2023,70057814,525.00,KINGSTON UNIVERSITY,ACADEMIC INSTNS - OTHER,Corporate & Communities,Leadership Development,A15023
Royal Borough of Kingston,13/10/2023,70056468,"70,000.00",KINGSTON VOLUNTARY ACTION CIO,CHARITIES & VOLUNTARY ORGNS,Adult Social Care & Health,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,06/11/2023,90284902,864.00,KINGSTON VOLUNTARY ACTION CIO,CHARITIES & VOLUNTARY ORGNS,Adult Social Care & Health,Personal Budget - Third Party,A61019
Royal Borough of Kingston,06/11/2023,90285616,648.00,KINGSTON VOLUNTARY ACTION CIO,CHARITIES & VOLUNTARY ORGNS,Adult Social Care & Health,Personal Budget - Third Party,A61019
Royal Borough of Kingston,07/11/2023,90279656,500.00,REDACTED - PERSONAL DATA,CHARITIES & VOLUNTARY ORGNS,Adult Social Care & Health,"Grants, Contributions & Donations",A47005
Royal Borough of Kingston,23/11/2023,90283756,"1,375.00",REDACTED - PERSONAL DATA,PLS LANDLORDS,Place,PSL Payments To Landlords,A22031
