Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,16-Jun-23,51500931712,£840.00,Global Radio Services Ltd T/A Heart 103.3,Adult Services,Commissioning & Contracts,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,23-Jun-23,51500933858,"£4,681.40",Global Radio Services Ltd T/A Heart 103.3,Adult Services,Commissioning & Contracts,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,23-Jun-23,51500933855,"£1,407.52",Global Radio Services Ltd T/A Heart 103.3,Adult Services,Commissioning & Contracts,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,26-Jun-23,51500935758,£575.36,Water Hall Care Home T/A Water Hall Healthcare Ltd,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
Milton Keynes City Council,16-Jun-23,51500902491,"-£59,877.06",Local Government Association,Customer and Community Services,Policy & Performance,Subscriptions
Milton Keynes City Council,16-Jun-23,51500902492,"£59,877.06",Local Government Association,Customer and Community Services,Policy & Performance,Subscriptions
Milton Keynes City Council,26-Jun-23,51500935757,"£13,006.71",Water Hall Care Home T/A Water Hall Healthcare Ltd,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
Milton Keynes City Council,26-Jun-23,51500935755,"£12,587.14",Water Hall Care Home T/A Water Hall Healthcare Ltd,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
Milton Keynes City Council,07-Jun-23,51500927841,"£1,680.00",11KBW Limited,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,02-Jun-23,51500922988,"£3,900.00",The Fostering Network,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,30-Jun-23,51500938799,"£1,036.10",Supreme Linguistic Services Ltd,Law & Governance,Legal,Testing
Milton Keynes City Council,16-Jun-23,51500860574,"-£1,400.00",Flourish Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,19-Jun-23,51500932288,"£3,448.98",Great Ormond Street Hospital for Children,Law & Governance,Legal,Testing
Milton Keynes City Council,09-Jun-23,51500927958,"£1,560.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,19-Jun-23,51500932342,£756.00,Great Ormond Street Hospital for Children,Law & Governance,Legal,Testing
Milton Keynes City Council,30-Jun-23,51500939043,"£1,860.00",Tersus Consultancy Limited,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,21-Jun-23,51500932195,"£3,196.25",Oxbridge Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,28-Jun-23,51500806398,-£869.00,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806401,-£869.00,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806392,-£869.00,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806395,-£869.00,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806397,-£626.12,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806391,-£626.12,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806400,-£626.12,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,28-Jun-23,51500806394,-£626.12,Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,05-Jun-23,51500926864,"£20,993.76",5 Dimensions Trust t/a The Hazeley Academy,Children and Families,"Education, Effectiveness & Participation",Buildings - Externals
Milton Keynes City Council,09-Jun-23,51500928244,"£3,383.17",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,12-Jun-23,51500832438,"£3,884.50",JNP Group Consulting Engineers Ltd,Customer and Community Services,Head of Service - Regulatory,Consultancy
Milton Keynes City Council,09-Jun-23,51500928245,"£4,030.99",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,09-Jun-23,51500928246,"£3,935.01",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,21-Jun-23,51500933005,"£3,750.00",Leicestershire County Council,Environment & Property,Head of Service - Highways and Transport,Subscriptions
Milton Keynes City Council,21-Jun-23,51500932549,"£1,420.80",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,09-Jun-23,51500928550,"£3,183.20",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,09-Jun-23,51500928551,"£2,703.32",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,14-Jun-23,51500928316,"£1,928.57",Dwell-In Group of Companies Ltd T/A Dwell-In Social Care,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jun-23,51500864471,"£6,266.51",JNP Group Consulting Engineers Ltd,Customer and Community Services,Head of Service - Regulatory,Consultancy
Milton Keynes City Council,26-Jun-23,51500935756,"£13,006.71",Water Hall Care Home T/A Water Hall Healthcare Ltd,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
Milton Keynes City Council,09-Jun-23,51500928552,"£1,919.52",Rolsky Care Limited,Children's Services,Children's Social Work,Childcare Costs
Milton Keynes City Council,07-Jun-23,51500901872,"£5,936.45",Sanctuary Personnel Ltd,Children's Services,Group Head – Children and Families,Agency Staff
Milton Keynes City Council,16-Jun-23,51500928899,£535.92,Oakridge Park Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,16-Jun-23,51500928901,£548.30,Oakridge Park Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,23-Jun-23,51500929120,£643.50,Harrold Medical Practice,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,02-Jun-23,51500926238,"£10,952.80",Humly Milton Keynes Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,30-Jun-23,51500939264,"£1,185.00",Paragon Customer Communications,Finance & Resources - Services,ICT,Printing
Milton Keynes City Council,12-Jun-23,51500928655,"£5,400.00",Gleeds Cost Management Ltd,Housing & Regeneration - HRA,New Council Housing,Construction - External Professional Fees
Milton Keynes City Council,26-Jun-23,51500935754,"£13,006.71",Water Hall Care Home T/A Water Hall Healthcare Ltd,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
Milton Keynes City Council,26-Jun-23,51500935761,"£26,571.43",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Rehabilitation And Respite Care
