Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,02-Oct-23,65500006253,"-£672,000.00",Edenred (UK Group) Ltd,Finance & Resources - Services,Revenue & Benefits,Bank Charges
Milton Keynes City Council,02-Oct-23,51500980320,"-£105,931.00",iPrescribe Exercise Ltd (t/a EXI),Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500978821,"-£96,480.00",iPrescribe Exercise Ltd (t/a EXI),Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500963284,"-£9,297.60",Pell Frischmann Consultants Ltd,Environment & Property,Head of Service - Highways and Transport,Consultancy
Milton Keynes City Council,02-Oct-23,51500980270,£504.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,02-Oct-23,51500974132,£507.50,SMART CJS,Adult Services,Mental Health,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500974133,£507.50,SMART CJS,Adult Services,Mental Health,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500972204,£517.50,CCS Media Limited,Finance & Resources - Services,ICT,Computer hardware - purchase
Milton Keynes City Council,02-Oct-23,51500980295,£521.59,Happy Man And Van Ltd,Customer and Community Services,Policy & Performance,Other Service User Support
Milton Keynes City Council,02-Oct-23,51500972493,£527.76,CCS Media Limited,Finance & Resources - Services,ICT,Computer hardware - purchase
Milton Keynes City Council,02-Oct-23,51500981497,£536.55,"Shelter, the National Campaign for Homeless People Ltd",Finance & Resources - Services,Revenues and Benefits Service,Publications
Milton Keynes City Council,02-Oct-23,51500976084,£540.00,The Association Of Electoral Administrators Ltd,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,02-Oct-23,51500976446,£552.00,MoJo Promotions Ltd,Customer and Community Services,Community Safety,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Oct-23,51500972569,£592.80,Eversheds Sutherland International LLP,Finance & Resources - Services,HR,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500981646,£600.00,Neves Solicitors,Finance & Resources - Services,Internal Audit,Professional Fees and Hired Services
Milton Keynes City Council,02-Oct-23,51500972565,£601.56,National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,02-Oct-23,51500981738,£614.39,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
Milton Keynes City Council,02-Oct-23,51500972376,£621.60,Matchtech,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,02-Oct-23,51500981737,£644.58,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
