Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,06-Feb-24,51501038258,"-£944,963.24",Thalia MK SPV Ltd,Environment & Property,Head of Service - Env and Waste,Cleaning and Domestic Supplies
Milton Keynes City Council,12-Feb-24,51501019618,"-£81,773.80",Bedford Borough Council,Public Health,Weight Management,Professional Fees and Hired Services
Milton Keynes City Council,23-Feb-24,51501054011,"-£75,311.53",Excelcare Holdings PLC Re: The Willows Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,23-Feb-24,51501054014,"-£72,801.14",Excelcare Holdings PLC Re: The Willows Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,23-Feb-24,51501054015,"-£61,195.55",Excelcare Holdings PLC Re: The Willows Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,12-Feb-24,51501046824,"-£53,634.07",Local Partnerships LLP,Customer and Community Services,Head of Service - Regulatory,Partnership Costs and Expenses
Milton Keynes City Council,19-Feb-24,51501049883,"-£46,367.51",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,15-Feb-24,51501034061,"-£45,000.00",Charis Grants Ltd Online Shop,Finance & Resources - Services,Revenue & Benefits,Professional Fees and Hired Services
Milton Keynes City Council,05-Feb-24,51501038928,"-£32,338.91",Chargemaster PLC,Planning and Placemaking,Innovation,Expenditure on Grants
Milton Keynes City Council,05-Feb-24,51501038919,"-£27,921.66",Chargemaster PLC,Planning and Placemaking,Innovation,Expenditure on Grants
Milton Keynes City Council,02-Feb-24,51501041052,"-£11,501.24",MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,02-Feb-24,51501042717,"-£11,010.31",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,16-Feb-24,51500998397,"-£9,362.40",Onefix Recruitment Ltd,Finance & Resources - Services,HR,Recruitment Advertising
Milton Keynes City Council,02-Feb-24,51501042151,"-£8,961.12",SSA Quality Care ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,02-Feb-24,51501042148,"-£8,961.12",SSA Quality Care ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,02-Feb-24,51501042156,"-£8,961.12",SSA Quality Care ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,02-Feb-24,51501042162,"-£8,961.12",SSA Quality Care ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,02-Feb-24,51501042002,"-£8,828.60",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,02-Feb-24,51501041997,"-£8,828.60",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,23-Feb-24,51501054013,"-£8,440.77",Excelcare Holdings PLC Re: The Willows Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,21-Feb-24,65500006508,"-£8,042.00",Redacted Personal Data,Finance & Resources - Holding Accounts,Holding Accounts,Other Service User Support
Milton Keynes City Council,02-Feb-24,51501041308,"-£3,980.00",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,02-Feb-24,51501041304,"-£3,980.00",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,02-Feb-24,51501041995,"-£6,073.92",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,07-Feb-24,51501043971,"-£5,844.57",Total Gas and Power Limited,Environment & Property,Head of Service - Property,Gas
Milton Keynes City Council,28-Feb-24,51501054192,"-£5,760.00",Waterman Aspen Ltd,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,26-Feb-24,51501047601,"-£5,555.66",Egis Projects UK Ltd,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,02-Feb-24,51501042014,"-£5,209.23",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Feb-24,51501043390,"-£5,142.00",Nutshell Creative Marketing Ltd,Chief Executive,Chief Executive,Professional Fees and Hired Services
Milton Keynes City Council,02-Feb-24,51501041993,"-£4,555.44",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,16-Feb-24,51501049515,"-£4,521.16",Sharoot Limited t/a Orchard Lodge Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,02-Feb-24,51501041983,"-£4,428.90",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,02-Feb-24,51501041483,"-£4,000.00",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,02-Feb-24,51501041773,"-£4,000.00",Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,02-Feb-24,51501041484,"-£4,000.00",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,02-Feb-24,51501041306,"-£3,980.00",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
