Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,08-Dec-23,51501015171,£650.04,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501016081,£652.13,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
Milton Keynes City Council,08-Dec-23,51501005364,£656.40,Saffron Health Partnership,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,08-Dec-23,51501008152,£661.75,Bryan Lecoche Ltd,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,08-Dec-23,51501015296,£664.34,FirstCare (GB) Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015878,£674.88,Intrust Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015674,£674.88,Macintyre Care,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015402,£674.88,Blue Lotus Healthcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015401,£674.88,Blue Lotus Healthcare Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015841,£674.88,Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015576,£674.88,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015577,£674.88,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015961,£674.88,SSA Quality Care ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015338,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015336,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015337,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015333,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015335,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015327,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015329,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015331,£674.88,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015507,£675.24,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015506,£675.24,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014315,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014317,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014329,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014238,£679.04,MK SNAP,Adult Services,Physical Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014239,£679.04,MK SNAP,Adult Services,Physical Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014451,£679.04,Macintyre Care,Adult Services,Learning Disability,Homecare
