Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,08-Dec-23,51501014542,£947.52,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014543,£947.52,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014539,£947.52,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501007891,£963.18,Workwear Trade Centre Ltd T/A WTC,Customer and Community Services,Head of Service - Regulatory,Clothing / Uniform
Milton Keynes City Council,08-Dec-23,51501015676,£970.14,Macintyre Care,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014215,£975.38,Palace Day Nursery,Children's Services,Assistant Director - Children and Families,Professional Fees and Hired Services
Milton Keynes City Council,08-Dec-23,51501014844,£977.68,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501014041,£992.57,Homes For Students,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,08-Dec-23,51501015463,"£1,012.32",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015778,"£1,012.32",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015779,"£1,012.32",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015407,"£1,012.32",Vital Healthcare Services Ltd,Adult Services,Autism,Living support grants
