Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,01-Sep-23,51500968538,"-£3,911.32",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968535,"-£1,317.00",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968537,"-£1,112.96",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968540,"-£1,080.20",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968541,-£935.88,Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968539,-£921.28,Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968561,-£725.80,Sharoot Limited t/a Orchard Lodge Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,51500968536,-£706.96,Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,01-Sep-23,65500006194,-£625.00,R Bill Decorators,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,01-Sep-23,51500958653,£507.00,T J Training Ltd,Children's Services,Safeguarding,Staff Training & Development
Milton Keynes City Council,01-Sep-23,51500968409,£508.60,Sarmey Healthcare Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Sep-23,51500958820,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Sep-23,51500968280,£570.36,Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,01-Sep-23,51500958810,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Sep-23,51500958811,£571.62,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Sep-23,51500963391,£600.00,K and S General Construction Ltd,Law & Governance,Democratic Services,Building Repair and Maintenance
Milton Keynes City Council,01-Sep-23,51500968254,£607.08,Toolstation Ltd,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500967116,£612.09,Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,01-Sep-23,51500971312,£625.00,R Bill Decorators,Environment & Property,Head of Service - Property,Building Repair and Maintenance
Milton Keynes City Council,01-Sep-23,51500968361,£632.90,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
Milton Keynes City Council,01-Sep-23,51500967171,£658.68,Luton Borough Council,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500968342,£662.40,Freeths LLP,Planning and Placemaking,Head of Economic Development,External Legal Fees
Milton Keynes City Council,01-Sep-23,51500968195,£663.79,Orange Grove Fostercare Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Sep-23,51500968413,£666.00,Redacted Personal Data,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - other
Milton Keynes City Council,01-Sep-23,51500968360,£668.52,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Contract
Milton Keynes City Council,01-Sep-23,51500958658,£669.59,IC&P Wipers Ltd t/a ICP Hygiene,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500968555,£674.88,AmBience Healthcare Ltd –Sycamore House,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,01-Sep-23,51500968279,£695.35,Redacted Personal Data,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,01-Sep-23,51500967120,£698.63,Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,01-Sep-23,51500968368,£703.80,Geldards LLP,Customer and Community Services,Head of Service - Regulatory,Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500967191,£704.20,Saffron Health Partnership,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500963297,£711.22,Arrow Business Communications Ltd,Finance & Resources - Services,ICT,Telephone costs
Milton Keynes City Council,01-Sep-23,51500958846,£714.00,Liquiline Ltd,Chief Executive,Chief Executive,Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500968187,£720.00,Andrew Golland Associates,Planning and Placemaking,Head of Economic Development,Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500967548,£733.24,Ravenstone Parish Council,Environment & Property,Head of Service - Env and Waste,Grants
Milton Keynes City Council,01-Sep-23,51500958735,£737.50,Askews & Holts Library Services Ltd,Children's Services,"Access to Education, Employment and Training",Books and Multimedia Supplies
Milton Keynes City Council,01-Sep-23,51500967566,£756.00,Ark Farm Ltd,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,01-Sep-23,51500967458,£770.00,Golden Living Property Consultants Ltd,Children's Services,Group Head – Children and Families,Professional Fees and Hired Services
