Cost Centre,Supplier,Date,Account,Amount
Administration Services,ADECCO UK LTD,11/10/2023,Agency / Temp Staff,588.75
Administration Services,ADECCO UK LTD,25/10/2023,Agency / Temp Staff,930.23
Administration Services,ADECCO UK LTD,25/10/2023,Agency / Temp Staff,1157.87
Administration Services,ADECCO UK LTD,01/11/2023,Agency / Temp Staff,455.30
Administration Services,ADECCO UK LTD,01/11/2023,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,08/11/2023,Agency / Temp Staff,1157.88
Administration Services,ADECCO UK LTD,29/11/2023,Agency / Temp Staff,2423.76
Administration Services,ADECCO UK LTD,29/11/2023,Agency / Temp Staff,1087.23
Administration Services,ADECCO UK LTD,13/12/2023,Agency / Temp Staff,1727.01
Administration Services,ADECCO UK LTD,20/12/2023,Agency / Temp Staff,796.78
Administration Services,ADECCO UK LTD,20/12/2023,Agency / Temp Staff,1138.25
Administration Services,ADECCO UK LTD,20/12/2023,Agency / Temp Staff,1138.26
Administration Services,BIDFOOD LTD,11/10/2023,Detained Persons - Meals / Refreshments,763.98
Administration Services,ADECCO UK LTD,01/11/2023,IR35 Agency Staff,588.75
Administration Services,ABBOTT TOXICOLOGY LTD,22/11/2023,Medical & Hygiene Supplies,900.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,08/11/2023,Vehicles - Road,28369.38
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,29/11/2023,Vehicles - Road,28369.38
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,29/11/2023,Vehicles - Road,28369.38
Annual Vehicle Replacement,HAMPSON GROUP LTD T/A INDIVIDUAL AUTO DESIGN UK-SEATSKINZ UK,06/12/2023,Vehicles - Road,1059.00
Annual Vehicle Replacement,INTOMOVE LTD,01/11/2023,Vehicles - Road,14353.74
Annual Vehicle Replacement,INTOMOVE LTD,15/11/2023,Vehicles - Road,7176.87
Annual Vehicle Replacement,INTOMOVE LTD,29/11/2023,Vehicles - Road,4932.98
Annual Vehicle Replacement,INTOMOVE LTD,13/12/2023,Vehicles - Road,4559.52
Annual Vehicle Replacement,INTOMOVE LTD,20/12/2023,Vehicles - Road,6795.81
Annual Vehicle Replacement,INTOMOVE LTD,20/12/2023,Vehicles - Road,7170.28
Annual Vehicle Replacement,INTOMOVE LTD,20/12/2023,Vehicles - Road,14340.56
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,11/10/2023,Vehicles - Road,22360.63
