Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
04/12/2024,II,4181586,3099.72,HC125262,Orleton School Food CIC,202509,Schools,Supplies & Services,No
03/12/2024,II,4187674,1106.5,HC132096,SITECH Support Ltd,202509,Schools,Supplies & Services,No
31/12/2024,II,4187803,1952,HC101731,Chipside Ltd,202509,"Highways, Environment and Waste",Supplies & Services,No
09/12/2024,II,4189170,1929.9,HC121994,Cummins Allison Ltd,202509,"Highways, Environment and Waste",Supplies & Services,No
02/12/2024,II,4194632,2688,HC129092,PTSG Electrical Services Ltd,202509,Strategic Assets,Third Party Payments,No
31/12/2024,II,4195544,2364.35,HC121757,Planet Merchant Services Ltd,202509,"Highways, Environment and Waste",Premises-Related Expenditure,No
31/12/2024,II,4195545,2689.45,HC121757,Planet Merchant Services Ltd,202509,"Highways, Environment and Waste",Premises-Related Expenditure,No
06/12/2024,II,4195664,2417.6,HC128843,Matchtech Group Uk Ltd,202509,Major Infrastructure Programme Board,Capital Expenditure,No
09/12/2024,II,4195672,9779.92,HC115532,Enigma CCTV Ltd,202509,Economy and Growth,Third Party Payments,No
02/12/2024,II,4195840,657.66,HC103526,Gough Marketing Limited,202509,Economy and Growth,Supplies & Services,No
02/12/2024,II,4195885,543.54,HC103526,Gough Marketing Limited,202509,Economy and Growth,Supplies & Services,No
09/12/2024,II,4195935,2414,HC109458,S C Joseph Ltd,202509,Strategic Assets,Third Party Payments,No
05/12/2024,II,4196515,1265,HC109717,Sentinel Security Systems,202509,Strategic Assets,Third Party Payments,No
12/12/2024,II,4196804,11564,HC129007,Tile Hill Interim & Executive Ltd,202509,"Highways, Environment and Waste",Employees,No
02/12/2024,II,4197003,657.66,HC103526,Gough Marketing Limited,202509,Economy and Growth,Supplies & Services,No
11/12/2024,II,4197085,896.72,HC106975,Hoople Group Ltd,202509,Schools,Premises-Related Expenditure,No
23/12/2024,II,4197360,508.35,HC106003,Metric Group Ltd,202509,"Highways, Environment and Waste",Supplies & Services,No
02/12/2024,II,4197412,4764.25,HC132151,Starfish Search Limited,202509,Public Health,Supplies & Services,No
03/12/2024,II,4197608,5000,HC128901,Wright Silverwood Ltd,202509,Strategic Assets,Supplies & Services,No
02/12/2024,II,4197831,1023.6,HC105933,Mayglothling Waste  Disposal Ltd,202509,Strategic Assets,Third Party Payments,No
10/12/2024,II,4197868,525,HC111757,Sharpe Pritchard LLP,202509,Herefordshire Council Capital,Capital Expenditure,No
02/12/2024,II,4197952,900,HC133917,Avoira Limited,202509,Corporate Support Services,Supplies & Services,No
02/12/2024,II,4197971,747.38,HC110250,RJ & RB Mailes,202509,Schools,Supplies & Services,No
11/12/2024,II,4197974,2909.69,HC115602,Total Gas & Power Ltd,202509,Strategic Assets,Premises-Related Expenditure,No
02/12/2024,II,4197977,1267,HC132624,The Endorphins Group,202509,Safeguarding and Family Support,Supplies & Services,No
05/12/2024,II,4197978,3854.3,HC115602,Total Gas & Power Ltd,202509,Strategic Assets,Premises-Related Expenditure,No
02/12/2024,II,4197992,525,HC124899,Dirty Feet,202509,Public Health,Transfer Payments,No
02/12/2024,II,4197997,12513.24,HC118419,Redacted,202509,Safeguarding and Family Support,Supplies & Services,No
18/12/2024,II,4198079,39158,HC111414,West Mercia  Womens Aid,202509,All Ages Commissioning,Supplies & Services,No
02/12/2024,II,4198088,1110,HC128303,Dudley Fencing & Landscaping Ltd,202509,Strategic Assets,Third Party Payments,No
02/12/2024,II,4198089,5880,HC128303,Dudley Fencing & Landscaping Ltd,202509,Strategic Assets,Third Party Payments,No
09/12/2024,II,4198101,37635.53,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198102,30268.48,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198103,29064.66,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198104,30535.98,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198105,33202.66,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198106,29136,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198107,28202.66,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
06/12/2024,II,4198108,30576.66,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
09/12/2024,II,4198109,35119.45,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
02/12/2024,II,4198137,482.33,HC101648,CF Roberts (Electrical Contractors) Plc,202509,Corporate Property Programme Board,Capital Expenditure,No
02/12/2024,II,4198176,550,HC111428,West Midland Childrens Theatre(Touring) Ltd,202509,Schools,Supplies & Services,No
09/12/2024,II,4198184,5000,HC114369,Redacted,202509,Adult Social Care and Housing,Supplies & Services,No
02/12/2024,II,4198206,1267,HC132624,The Endorphins Group,202509,Safeguarding and Family Support,Supplies & Services,No
02/12/2024,II,4198224,4967.03,HC130638,Snape Contracting Services Ltd,202509,Children & Young People Capital,Capital Expenditure,No
02/12/2024,II,4198232,2472,HC117490,Badenoch & Clark T/A Adecco,202509,Adult Social Care and Housing,Supplies & Services,No
04/12/2024,II,4198233,4420,HC117490,Badenoch & Clark T/A Adecco,202509,Major Infrastructure Programme Board,Capital Expenditure,No
04/12/2024,II,4198234,4415,HC117490,Badenoch & Clark T/A Adecco,202509,Management,Employees,No
05/12/2024,II,4198241,7366.59,HC129144,Ashdown Group Limited,202509,HR and Organisational Development,Supplies & Services,No
02/12/2024,II,4198263,1425,HC104015,HiTown Transport Ltd,202509,Education and Commissioning,Transport-Related Expenditure,No
02/12/2024,II,4198268,1375,HC101648,CF Roberts (Electrical Contractors) Plc,202509,Schools,Premises-Related Expenditure,No
02/12/2024,II,4198272,525,HC110459,The Key Support Services Ltd,202509,Schools,Supplies & Services,No
02/12/2024,II,4198286,2000,HC111414,West Mercia  Womens Aid,202509,"Performance, Quality Assurance and Safeguarding",Transfer Payments,No
09/12/2024,II,4198327,31574.21,HC127046,Queenswood School - Woodbury House Priory,202509,Dedicated Schools Grant,Supplies & Services,No
02/12/2024,II,4198332,1400,HC133553,Chill Den,202509,Public Health,Transfer Payments,No
